State,Year,Undergrad,Graduate,Professional,Total
Alabama,1975,3,17,1,21
Alabama,1976,4,16,0,20
Alabama,1977,3,20,0,23
Alabama,1978,2,10,0,12
Alabama,1979,1,12,0,13
Alabama,1980,3,13,0,16
Alabama,1981,6,15,1,22
Alabama,1982,6,13,0,19
Alabama,1983,7,10,0,17
Alabama,1984,8,11,0,19
Alabama,1985,5,12,0,17
Alabama,1986,10,15,0,25
Alabama,1987,13,12,0,25
Alabama,1988,8,13,0,21
Alabama,1989,7,9,1,17
Alabama,1990,11,14,1,26
Alabama,1991,11,10,1,22
Alabama,1992,13,10,0,23
Alabama,1993,10,10,0,20
Alabama,1994,8,12,0,20
Alabama,1995,12,20,0,32
Alabama,1996,14,24,0,38
Alabama,1997,14,22,1,37
Alabama,1998,13,2,18,33
Alabama,1999,19,2,21,42
Alabama,2000,20,1,21,42
Alabama,2001,21,0,20,41
Alabama,2002,22,0,23,45
Alabama,2003,23,0,26,49
Alabama,2004,16,0,8,24
Alabama,2005,16,0,5,21
Alabama,2006,11,1,9,21
Alabama,2007,11,3,9,23
Alabama,2008,12,2,8,22
Alabama,2009,13,2,7,22
Alabama,2010,13,2,7,22
Alabama,2011,15,2,10,27
Alabama,2012,9,1,10,20
Alabama,2013,7,1,11,19
Alabama,2014,10,0,17,27
Alabama,2015,15,1,15,31
Alabama,2016,17,2,15,34
Alabama,2017,20,2,14,36
Alaska,1975,0,2,0,2
Alaska,1976,1,2,0,3
Alaska,1977,1,1,0,2
Alaska,1978,0,2,0,2
Alaska,1979,0,1,0,1
Alaska,1980,0,2,0,2
Alaska,1981,0,2,0,2
Alaska,1982,1,3,0,4
Alaska,1983,0,3,0,3
Alaska,1984,0,0,0,0
Alaska,1985,0,,0,0
Alaska,1986,0,0,0,0
Alaska,1987,0,0,0,0
Alaska,1988,2,4,0,6
Alaska,1989,5,3,0,8
Alaska,1990,5,3,0,8
Alaska,1991,3,3,0,6
Alaska,1992,2,3,0,5
Alaska,1993,1,4,0,5
Alaska,1994,3,7,0,10
Alaska,1995,6,15,0,21
Alaska,1996,5,10,0,15
Alaska,1997,6,8,0,14
Alaska,1998,5,0,7,12
Alaska,1999,5,0,14,19
Alaska,2000,5,0,11,16
Alaska,2001,5,0,11,16
Alaska,2002,5,0,5,10
Alaska,2003,5,1,8,14
Alaska,2004,4,1,1,6
Alaska,2005,5,1,3,9
Alaska,2006,3,1,4,8
Alaska,2007,2,0,4,6
Alaska,2008,3,2,4,9
Alaska,2009,6,1,5,12
Alaska,2010,6,1,5,12
Alaska,2011,6,0,4,10
Alaska,2012,5,0,4,9
Alaska,2013,3,0,3,6
Alaska,2014,3,0,7,10
Alaska,2015,2,0,5,7
Alaska,2016,3,0,4,7
Alaska,2017,5,0,6,11
Arizona,1975,3,10,0,13
Arizona,1976,1,16,1,18
Arizona,1977,3,18,1,22
Arizona,1978,4,13,0,17
Arizona,1979,3,10,0,13
Arizona,1980,4,7,0,11
Arizona,1981,4,8,0,12
Arizona,1982,4,8,0,12
Arizona,1983,3,8,0,11
Arizona,1984,4,11,0,15
Arizona,1985,4,11,0,15
Arizona,1986,6,14,0,20
Arizona,1987,12,9,0,21
Arizona,1988,13,9,0,22
Arizona,1989,9,11,1,21
Arizona,1990,11,10,0,21
Arizona,1991,8,14,0,22
Arizona,1992,10,19,0,29
Arizona,1993,13,15,1,29
Arizona,1994,17,14,1,32
Arizona,1995,17,24,1,42
Arizona,1996,14,18,3,35
Arizona,1997,10,18,4,32
Arizona,1998,11,4,20,35
Arizona,1999,12,4,23,39
Arizona,2000,14,1,26,41
Arizona,2001,21,3,26,50
Arizona,2002,22,3,27,52
Arizona,2003,24,1,35,60
Arizona,2004,22,2,16,40
Arizona,2005,26,4,13,43
Arizona,2006,25,6,9,40
Arizona,2007,17,4,8,29
Arizona,2008,19,6,7,32
Arizona,2009,20,4,16,40
Arizona,2010,20,4,16,40
Arizona,2011,15,2,17,34
Arizona,2012,22,3,17,42
Arizona,2013,18,3,22,43
Arizona,2014,28,3,21,52
Arizona,2015,37,3,26,66
Arizona,2016,34,5,31,70
Arizona,2017,39,7,59,105
Arkansas,1975,5,5,1,11
Arkansas,1976,4,9,0,13
Arkansas,1977,6,11,0,17
Arkansas,1978,6,5,0,11
Arkansas,1979,8,5,0,13
Arkansas,1980,5,4,0,9
Arkansas,1981,3,4,0,7
Arkansas,1982,7,5,0,12
Arkansas,1983,6,8,0,14
Arkansas,1984,4,11,0,15
Arkansas,1985,4,11,0,15
Arkansas,1986,5,6,1,12
Arkansas,1987,5,10,1,16
Arkansas,1988,6,4,0,10
Arkansas,1989,5,6,1,12
Arkansas,1990,8,6,0,14
Arkansas,1991,4,6,3,13
Arkansas,1992,5,9,2,16
Arkansas,1993,5,7,1,13
Arkansas,1994,4,,0,4
Arkansas,1995,6,12,0,18
Arkansas,1996,10,11,0,21
Arkansas,1997,15,14,2,31
Arkansas,1998,14,2,18,34
Arkansas,1999,14,2,23,39
Arkansas,2000,11,3,19,33
Arkansas,2001,8,1,16,25
Arkansas,2002,11,1,16,28
Arkansas,2003,14,0,20,34
Arkansas,2004,17,0,6,23
Arkansas,2005,13,0,10,23
Arkansas,2006,9,0,11,20
Arkansas,2007,8,2,12,22
Arkansas,2008,3,2,10,15
Arkansas,2009,8,2,6,16
Arkansas,2010,8,2,6,16
Arkansas,2011,10,2,9,21
Arkansas,2012,10,2,12,24
Arkansas,2013,12,2,10,24
Arkansas,2014,10,1,8,19
Arkansas,2015,9,1,12,22
Arkansas,2016,10,1,13,24
Arkansas,2017,6,2,14,22
California,1975,18,97,2,117
California,1976,18,89,2,109
California,1977,14,104,0,118
California,1978,16,87,2,105
California,1979,12,79,1,92
California,1980,2,101,0,103
California,1981,39,81,1,121
California,1982,50,90,1,141
California,1983,41,113,1,155
California,1984,64,107,0,171
California,1985,62,115,0,177
California,1986,60,100,0,160
California,1987,65,112,1,178
California,1988,79,84,3,166
California,1989,63,77,6,146
California,1990,81,79,4,164
California,1991,66,101,4,171
California,1992,69,106,16,191
California,1993,89,114,14,217
California,1994,82,108,14,204
California,1995,102,133,14,249
California,1996,116,168,28,312
California,1997,113,206,27,346
California,1998,108,26,211,345
California,1999,102,28,215,345
California,2000,121,28,233,382
California,2001,146,28,223,397
California,2002,155,34,221,410
California,2003,176,35,251,462
California,2004,179,32,83,294
California,2005,159,27,112,298
California,2006,158,21,122,301
California,2007,152,22,121,295
California,2008,145,25,136,306
California,2009,187,48,161,396
California,2010,187,48,161,396
California,2011,262,43,161,466
California,2012,366,40,172,578
California,2013,490,33,169,692
California,2014,643,37,204,884
California,2015,828,38,232,1098
California,2016,937,42,226,1205
California,2017,1011,43,425,1479
Colorado,1975,3,21,2,26
Colorado,1976,4,14,0,18
Colorado,1977,5,12,0,17
Colorado,1978,2,10,0,12
Colorado,1979,8,16,0,24
Colorado,1980,7,1,1,9
Colorado,1981,13,12,0,25
Colorado,1982,10,16,1,27
Colorado,1983,10,21,1,32
Colorado,1984,10,31,0,41
Colorado,1985,11,18,1,30
Colorado,1986,11,23,1,35
Colorado,1987,15,29,0,44
Colorado,1988,14,20,1,35
Colorado,1989,9,21,0,30
Colorado,1990,22,17,0,39
Colorado,1991,27,21,0,48
Colorado,1992,28,26,0,54
Colorado,1993,32,24,0,56
Colorado,1994,34,22,0,56
Colorado,1995,33,25,0,58
Colorado,1996,31,30,2,63
Colorado,1997,33,37,1,71
Colorado,1998,26,2,41,69
Colorado,1999,33,3,46,82
Colorado,2000,31,5,45,81
Colorado,2001,30,7,42,79
Colorado,2002,39,7,42,88
Colorado,2003,35,8,36,79
Colorado,2004,30,3,12,45
Colorado,2005,30,2,17,49
Colorado,2006,27,1,15,43
Colorado,2007,20,1,14,35
Colorado,2008,20,4,15,39
Colorado,2009,23,6,20,49
Colorado,2010,23,6,20,49
Colorado,2011,28,10,15,53
Colorado,2012,41,6,16,63
Colorado,2013,47,6,16,69
Colorado,2014,51,2,27,80
Colorado,2015,52,0,33,85
Colorado,2016,52,3,33,88
Colorado,2017,47,5,67,119
Connecticut,1975,8,38,1,47
Connecticut,1976,12,34,1,47
Connecticut,1977,21,31,3,55
Connecticut,1978,20,20,1,41
Connecticut,1979,19,23,1,43
Connecticut,1980,18,29,2,49
Connecticut,1981,15,28,1,44
Connecticut,1982,10,31,0,41
Connecticut,1983,9,23,2,34
Connecticut,1984,11,23,1,35
Connecticut,1985,15,22,2,39
Connecticut,1986,19,18,3,40
Connecticut,1987,25,9,3,37
Connecticut,1988,28,6,1,35
Connecticut,1989,31,13,2,46
Connecticut,1990,33,14,2,49
Connecticut,1991,29,19,3,51
Connecticut,1992,29,20,1,50
Connecticut,1993,32,20,1,53
Connecticut,1994,27,16,0,43
Connecticut,1995,33,24,0,57
Connecticut,1996,30,29,1,60
Connecticut,1997,32,29,2,63
Connecticut,1998,30,3,25,58
Connecticut,1999,27,3,24,54
Connecticut,2000,35,6,24,65
Connecticut,2001,29,6,21,56
Connecticut,2002,32,7,26,65
Connecticut,2003,34,7,34,75
Connecticut,2004,18,4,9,31
Connecticut,2005,24,3,12,39
Connecticut,2006,22,4,13,39
Connecticut,2007,21,3,13,37
Connecticut,2008,28,4,17,49
Connecticut,2009,32,3,21,56
Connecticut,2010,32,3,21,56
Connecticut,2011,35,5,24,64
Connecticut,2012,31,4,17,52
Connecticut,2013,39,4,20,63
Connecticut,2014,34,3,19,56
Connecticut,2015,40,3,22,65
Connecticut,2016,43,4,21,68
Connecticut,2017,40,6,39,85
Delaware,1975,1,7,2,10
Delaware,1976,1,6,1,8
Delaware,1977,3,8,2,13
Delaware,1978,1,9,1,11
Delaware,1979,3,6,0,9
Delaware,1980,3,7,0,10
Delaware,1981,2,7,0,9
Delaware,1982,2,8,0,10
Delaware,1983,4,5,0,9
Delaware,1984,4,5,0,9
Delaware,1985,2,6,0,8
Delaware,1986,2,7,0,9
Delaware,1987,3,0,0,3
Delaware,1988,6,3,0,9
Delaware,1989,6,3,0,9
Delaware,1990,6,3,0,9
Delaware,1991,5,7,1,13
Delaware,1992,3,5,2,10
Delaware,1993,9,2,1,12
Delaware,1994,7,4,0,11
Delaware,1995,8,9,0,17
Delaware,1996,7,9,0,16
Delaware,1997,3,7,0,10
Delaware,1998,4,0,7,11
Delaware,1999,4,0,8,12
Delaware,2000,5,1,5,11
Delaware,2001,4,1,6,11
Delaware,2002,4,1,5,10
Delaware,2003,2,0,3,5
Delaware,2004,4,0,2,6
Delaware,2005,4,0,2,6
Delaware,2006,5,0,4,9
Delaware,2007,7,0,5,12
Delaware,2008,5,0,5,10
Delaware,2009,1,1,6,8
Delaware,2010,1,1,6,8
Delaware,2011,2,1,5,8
Delaware,2012,6,0,7,13
Delaware,2013,6,0,5,11
Delaware,2014,7,0,5,12
Delaware,2015,4,0,4,8
Delaware,2016,6,0,3,9
Delaware,2017,5,0,3,8
District of Columbia,1975,3,0,4,7
District of Columbia,1976,3,0,5,8
District of Columbia,1977,3,0,7,10
District of Columbia,1978,5,0,4,9
District of Columbia,1979,2,0,3,5
District of Columbia,1980,3,0,8,11
District of Columbia,1981,2,0,7,9
District of Columbia,1982,3,0,7,10
District of Columbia,1983,2,0,4,6
District of Columbia,1984,1,0,7,8
District of Columbia,1985,1,0,5,6
District of Columbia,1986,0,0,8,8
District of Columbia,1987,1,0,5,6
District of Columbia,1988,1,0,4,5
District of Columbia,1989,0,0,3,3
District of Columbia,1990,3,0,1,4
District of Columbia,1991,1,0,3,4
District of Columbia,1992,1,0,2,3
District of Columbia,1993,2,0,4,6
District of Columbia,1994,4,0,2,6
District of Columbia,1995,5,0,3,8
District of Columbia,1996,2,0,3,5
District of Columbia,1997,4,1,6,11
District of Columbia,1998,2,1,7,10
District of Columbia,1999,2,2,8,12
District of Columbia,2000,3,2,13,18
District of Columbia,2001,2,2,9,13
District of Columbia,2002,2,1,8,11
District of Columbia,2003,3,0,7,10
District of Columbia,2004,2,1,5,8
District of Columbia,2005,2,0,1,3
District of Columbia,2006,7,1,1,9
District of Columbia,2007,8,0,6,14
District of Columbia,2008,12,0,6,18
District of Columbia,2009,10,0,6,16
District of Columbia,2010,10,0,6,16
District of Columbia,2011,5,0,4,9
District of Columbia,2012,3,0,5,8
District of Columbia,2013,2,1,4,7
District of Columbia,2014,5,1,4,10
District of Columbia,2015,5,1,4,10
District of Columbia,2016,4,2,3,9
District of Columbia,2017,2,1,9,12
Florida,1975,14,31,1,46
Florida,1976,16,31,4,51
Florida,1977,17,37,3,57
