Year,Term,YearTerm,Subject,Number,Name,Description,Credit Hours,Section Info,Degree Attributes,Schedule Information,CRN,Section,Status Code,Part of Term,Section Title,Section Credit Hours,Section Status,Enrollment Status,Type,Type Code,Start Time,End Time,Days of Week,Room,Building,Instructors
2019,Summer,2019-su,AAS,290,Individual Study,Supervised reading and research in Asian American Studies chosen by the student with instructor approval. May be repeated to a maximum of 6 hours. Prerequisite: AAS 100.,2 TO 3 hours.,May be repeated to a maximum of 6 hours. Prerequisite: AAS 100.,,,10027,,A,1,,,A,UNKNOWN,Independent Study,IND,ARRANGED,,,,,
2019,Summer,2019-su,AAS,310,Race and Cultural Diversity,"Same as AFRO 310, EPS 310, and LLS 310. See EPS 310.",4 hours.,"Same as AFRO 310, EPS 310, and LLS 310. See EPS 310.","Advanced Composition, and Cultural Studies - US Minority course.",,37440,A,A,S2,,,A,UNKNOWN,Online,ONL,05:00 PM,07:00 PM,M,,,"Moton, T;Turner, F"
2019,Summer,2019-su,ABE,199,Undergraduate Open Seminar,May be repeated to a maximum of 12 hours.,1 TO 5 hours.,May be repeated to a maximum of 12 hours.,,,10141,,A,1,,,A,UNKNOWN,Independent Study,IND,ARRANGED,,,,,
2019,Summer,2019-su,ABE,397,Independent Study,"Individual research, special problems, thesis, development or design work under the supervision of a member of the faculty. May be repeated to a maximum of 8 hours. Prerequisite: Consent of instructor.",1 TO 4 hours.,May be repeated to a maximum of 8 hours. Prerequisite: Consent of instructor.,,,39506,,A,1,,,A,UNKNOWN,Independent Study,IND,ARRANGED,,,,,
2019,Summer,2019-su,ABE,397,Independent Study,"Individual research, special problems, thesis, development or design work under the supervision of a member of the faculty. May be repeated to a maximum of 8 hours. Prerequisite: Consent of instructor.",1 TO 4 hours.,May be repeated to a maximum of 8 hours. Prerequisite: Consent of instructor.,,,39495,KB,A,1,,,A,UNKNOWN,Independent Study,IND,ARRANGED,,,,,"Bhalerao, K"
2019,Summer,2019-su,ABE,497,Independent Study,"Individual research, special problems, thesis, development or design work under the supervision of a member of the faculty. 1 to 4 undergraduate hours. No graduate credit. May be repeated to a maximum of 8 hours. Prerequisite: Consent of instructor.",1 TO 4 hours.,1 to 4 undergraduate hours. No graduate credit. May be repeated to a maximum of 8 hours. Prerequisite: Consent of instructor.,,,33767,,A,1,,,A,UNKNOWN,Independent Study,IND,ARRANGED,,,,,
2019,Summer,2019-su,ABE,498,Special Topics,Subject offerings of new and developing areas of knowledge in agricultural and biological engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary to a maximum of 16 hours.,1 to 4 hours.,1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary to a maximum of 16 hours.,,,10169,,A,1,,,A,UNKNOWN,Independent Study,IND,ARRANGED,,,,,
2019,Summer,2019-su,ABE,597,Independent Study,Individual investigations or studies of any phases of agricultural engineering selected by the student and approved by the advisor and the faculty member who will supervise the study. May be repeated to a maximum of 16 hours. Prerequisite: Consent of instructor.,1 TO 4 hours.,May be repeated to a maximum of 16 hours. Prerequisite: Consent of instructor.,,,10174,,A,1,,,A,UNKNOWN,Independent Study,IND,ARRANGED,,,,,
2019,Summer,2019-su,ABE,599,Thesis Research,Approved for S/U grading only. May be repeated.,0 TO 16 hours.,Approved for S/U grading only. May be repeated.,,,10177,,A,1,,,A,UNKNOWN,Independent Study,IND,ARRANGED,,,,,
2019,Summer,2019-su,ACCY,199,Undergraduate Open Seminar,May be repeated.,1 TO 5 hours.,May be repeated.,,,10033,,A,1,,,A,UNKNOWN,Independent Study,IND,ARRANGED,,,,,
2019,Summer,2019-su,ACCY,200,Fundamentals of Accounting,Survey course in the principles of accounting for students registered in schools and colleges other than the College of Business. Credit is not given for both ACCY 200 and either ACCY 201 or ACCY 202. Prerequisite: Sophomore standing.,3 hours.,Credit is not given for both ACCY 200 and either ACCY 201 or ACCY 202. Prerequisite: Sophomore standing.,,,37453,ONL,A,S2,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Silhan, P"
2019,Summer,2019-su,ACCY,290,Prof Internship in Accountancy,"Formalized learning experience in combination with practice of accounting while engaged in an internship with a public accounting firm, business, or other off-campus organization; prior approval of learning plan and a summary report of learning experience are required. Approved for Letter and S/U grading. May be repeated in subsequent terms to a maximum of 3 hours. Prerequisite: Open to Department of Accountancy students; completion of ACCY 201 and ACCY 202 (or equivalent); and consent of department.",0 TO 3 hours.,Approved for Letter and S/U grading. May be repeated in subsequent terms to a maximum of 3 hours. Prerequisite: Open to Department of Accountancy students; completion of ACCY 201 and ACCY 202 (or equivalent); and consent of department.,,,33779,O,A,S2,,,A,UNKNOWN,Conference,CNF,ARRANGED,,,,,"Shapland, J"
2019,Summer,2019-su,ACCY,301,Atg Measurement &amp; Disclosure,"Introduction to measurement and reporting of organizational performance for strategic and operational purposes with a focus on a variety of financial and non-financial performance measures suitable for both internal and external decision-making. Projects, together with a series of practical workshops, facilitate self-discovery of knowledge and development of a variety of professional skills and attitudes. Prerequisite: ACCY 202 or equivalent and recommend concurrent enrollment in ACCY 302 for Accountancy majors.",3 hours.,Prerequisite: ACCY 202 or equivalent and recommend concurrent enrollment in ACCY 302 for Accountancy majors.,,,30026,AE2,A,S2,,,A,UNKNOWN,Lecture-Discussion,LCD,12:30 PM,01:50 PM,MTWR,3001,Business Instructional Fac,"Jang, H"
2019,Summer,2019-su,ACCY,302,Decision Making for Atg,"Decision making implications of information provided to organization managers and to external stakeholders such as investors, creditors, customers, and regulators. Concepts from economics, statistics, and psychology emphasize the use of quantitative techniques to comprehend uncertainty and risk. Projects, together with a series of practical workshops, facilitate self-discovery of knowledge and development of a variety of professional skills and attitudes. Prerequisite: ACCY 202 or equivalent; BADM 210 or concurrent enrollment; and recommend concurrent enrollment in ACCY 301 for Accountancy majors.",3 hours.,Prerequisite: ACCY 202 or equivalent; BADM 210 or concurrent enrollment; and recommend concurrent enrollment in ACCY 301 for Accountancy majors.,,,30037,AE2,A,S2,,,A,UNKNOWN,Lecture-Discussion,LCD,02:00 PM,03:20 PM,MTWR,3001,Business Instructional Fac,"Han, J"
2019,Summer,2019-su,ACCY,303,Atg Institutions and Reg,"Regulation theory and practice as applied to accounting information. A general framework for regulation of accounting procedures is developed. This framework is applied to reporting, taxation, and regulated business activities. Projects facilitate self-discovery of knowledge and the development of professional attitudes and skills with emphasis on professional research. Prerequisite: ACCY 301 and ECON 302 and FIN 221; or consent of department.",3 hours.,Prerequisite: ACCY 301 and ECON 302 and FIN 221; or consent of department.,,,30041,AE1,A,S2,,,A,UNKNOWN,Lecture-Discussion,LCD,11:00 AM,12:20 PM,MTWR,3001,Business Instructional Fac,"Kim, S"
