Year,Term,YearTerm,Subject,Number,Name,Description,Credit Hours,Section Info,Degree Attributes,Schedule Information,CRN,Section,Status Code,Part of Term,Section Title,Section Credit Hours,Section Status,Enrollment Status,Type,Type Code,Start Time,End Time,Days of Week,Room,Building,Instructors
2020,Winter,2020-wi,ACE,240,Personal Financial Planning,"Examines principles of financial planning applied to individuals and households, with attention to organizing and analyzing financial information, budgeting, acquiring financial assets, managing credit, planning for taxes, investments, risk management, retirement, and estate planning. Prerequisite: Sophomore standing or consent of instructor.",3 hours.,Prerequisite: Sophomore standing or consent of instructor.,,,10035,ONL,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Stoddard, P"
2020,Winter,2020-wi,ADV,312,Advertising History,"In this course, you will develop a rich knowledge base of advertising and the advertising industry as it has evolved in the United States over the last two centuries. Included will be an analysis of the key events, forces, people and technology.",3 hours.,,,,10003,A,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Chambers, J"
2020,Winter,2020-wi,ADV,490,Advanced Special Topics in Advertising,Covers current issues in various advertising areas not studied extensively in other courses. 1 to 3 undergraduate hours. 1 to 3 graduate hours. May be repeated in the same or separate terms to a maximum of 6 hours. Prerequisite: Announced separately for each topic.,1 TO 3 hours.,1 to 3 undergraduate hours. 1 to 3 graduate hours. May be repeated in the same or separate terms to a maximum of 6 hours. Prerequisite: Announced separately for each topic.,,,10073,C,A,1,Copywriting,3 hours,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Meron, S"
2020,Winter,2020-wi,ANSC,207,Companion Animal Biology &amp;Care,"An introduction to companion animal biology through consideration of the physical structure, nutrition, behavior, and reproduction of animal species most commonly kept as companions. The basic information is applied to discussion of basic preventive health care. Course content is largely focused on cats and dogs, although other mammals, birds and reptiles will be briefly considered. Legal and economic issues, and ethical considerations associated with companion animals are also incorporated into the course discussion. Credit is not given for both ANSC 207 and ANSC 307.",3 hours.,Credit is not given for both ANSC 207 and ANSC 307.,Nat Sci & Tech - Life Sciences course.,"Each week students will be guided through asynchronous lecture/background materials online, and will complete tasks online through the week (Monday through Friday). Students will also log in to one synchronous discussion session per week.",10062,AN1,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Fischer-Brown, A"
2020,Winter,2020-wi,ASTR,100,Introduction to Astronomy,"Introduces the student to the basic concepts of modern astronomy. Covers topics including the night sky; the solar system and its origin; the nature and evolution of stars; stellar remnants, including white dwarfs, neutron stars, and black holes; extrasolar planetary systems; galaxies and quasars; dark matter and dark energy; the Big Bang and the fate of the universe; and life in the universe. Credit is not given for ASTR 100 if credit in any of ASTR 121, ASTR 122, ASTR 210, or equivalent has been earned. Students with credit in PHYS 211 are encouraged to take ASTR 210.",3 hours.,"Credit is not given for ASTR 100 if credit in any of ASTR 121, ASTR 122, ASTR 210, or equivalent has been earned. Students with credit in PHYS 211 are encouraged to take ASTR 210.",Nat Sci & Tech - Phys Sciences course.,"Students interested in ASTR 100 should also consider ASTR 121 or ASTR 122 which covers the same materials and topics but in two semesters instead of one. ASTR 121 and ASTR 122 include two lectures each week and one weekly small discussion meeting for more individual attention. ASTR 121 and ASTR 122 are independent offerings and can be taken in any order. While ASTR 100, ASTR 121 and ASTR 122 are for non-science majors, problem solving with basic algebra is required. Science and astronomy majors should take ASTR 210.",10005,ONL,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Dunne, B"
2020,Winter,2020-wi,ASTR,330,Extraterrestrial Life,"Scientific discussion of the search for extraterrestrial life. Topics include: cosmic evolution (protons to heavy elements to molecules); terrestrial evolution (chemical, biological, and cultural); high technology searches for extraterrestrial life in the solar system (Mars, Venus, outer planets); and beyond the solar system (Drake equation and current SETI projects).",3 hours.,,,,10064,ONL,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Looney, L"
2020,Winter,2020-wi,ATMS,120,Severe and Hazardous Weather,"Most extreme manifestations of weather and climate are analyzed in terms of their physical basis and their historical, economic and human consequences. Emphasis is placed on the interplay between technological advances, the evolution of meteorology as a science, and the impacts of extreme weather (winter storms, floods, severe thunderstorms, hurricanes, El Nino). Technological advances include satellites, weather radars and profilers, and computer models used for weather prediction. Same as ESE 120.",3 hours.,Same as ESE 120.,"Nat Sci & Tech - Phys Sciences, and Quantitative Reasoning II course.",,10002,ONL,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Choate, J"
2020,Winter,2020-wi,BADM,300,The Legal Environment of Bus,"Introduction to law and the legal system, litigation, contracts, business organizations, intellectual property, employment law and governmental regulation of business.",3 hours.,,,,10013,OL,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Fricke, M"
2020,Winter,2020-wi,BADM,310,Mgmt and Organizational Beh,"General analysis of management and organizational behavior from a systems point of view, including classical organizational theory and management, organizational behavior, and management science; environmental forces; planning, organizing, and control processes; motivation, incentives, leadership, communication, and interpersonal relations; and discussion of production and decision-making and mathematical models.",3 hours.,,,,10014,OL,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Gill, S"
2020,Winter,2020-wi,BADM,320,Principles of Marketing,"Emphasizes the concepts of planning, organization, control, and decision making as they are applied in the management of the marketing function. Provides an overview of aspects of the marketing discipline.",3 hours.,,,,10056,OL,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Gill, S"
2020,Winter,2020-wi,BADM,350,IT for Networked Organizations,"Examines the information technology and its impact on modern organizations. Topics include: (1) IT, Internet Technologies, E-Commerce and business models, (2) organizing and modeling enterprise data, (3) Network protocol and architecture, (4) development of IT systems, and (5) IT management and organization design.",3 hours.,,,,10015,OL,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Sachdev, V"
2020,Winter,2020-wi,BADM,375,Operations Management,"Explores methods of design and management of manufacturing and service business processes; central concepts include managing process-speed, -capacity, -inventory, and -uncertainty; additional topics include simultaneous product and process design, and an introduction to quality management, process improvement and lean thinking.",3 hours.,,,,10016,OL,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Scott, N"
2020,Winter,2020-wi,BADM,380,International Business,"Introduces the field of international business and management. Examines the economic, political, and legal environments of international business. Analyzes differences in financial management, marketing, and management practices for firms doing business abroad.",3 hours.,,,,10017,OL,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Bucheli, M"
2020,Winter,2020-wi,CHLH,100,Contemporary Health,"Examines concepts of health and health promotion in contemporary society with emphasis on a healthy lifestyle for individuals and groups. Topics include self care, health insurance, exercise, nutrition and weight control, sexuality, contraception, tobacco, alcohol, cardiovascular health, infectious diseases, and cancer.",3 hours.,,Social & Beh Sci - Soc Sci course.,Enrollment required for Community Health Freshmen and transfer students. Students must register for one discussion and one lecture section.,10028,ON,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Trask, J"
2020,Winter,2020-wi,CLCV,102,Medical Terms-GRK &amp; LAT Roots,Introduction to the study of the Greek and Latin roots of contemporary medical terminology and to the linguistic patterns governing their combination and usage.,3 hours.,,,"This course is offered exclusively online with weekly assignments, but no required class time except for exams. This section has one or more proctored exams, which may carry additional fees. Proctoring options include fee-based ProctorU and approved proctoring centers.",10071,A,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Starr, E"
2020,Winter,2020-wi,DANC,100,Intro to Contemporary Dance,"Overview of major works, figures, and trends responsible for shaping dance as an evolving contemporary art form. The course will have lecture, viewing, discussion and experiential (studio participation) components. For non-dance majors.",3 hours.,For non-dance majors.,"Humanities - Lit & Arts, and Cultural Studies - Western course.",,10027,OL1,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Beck, K;Emadian, E"
2020,Winter,2020-wi,DANC,100,Intro to Contemporary Dance,"Overview of major works, figures, and trends responsible for shaping dance as an evolving contemporary art form. The course will have lecture, viewing, discussion and experiential (studio participation) components. For non-dance majors.",3 hours.,For non-dance majors.,"Humanities - Lit & Arts, and Cultural Studies - Western course.",,10068,OL2,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Beck, K;Rizzuto, R"
2020,Winter,2020-wi,ECON,102,Microeconomic Principles,"Introduction to the functions of individual decision-makers, both consumers and producers, within the larger economic system. Primary emphasis on the nature and functions of product markets, the theory of the firm under varying conditions of competition and monopoly, and the role of government in prompting efficiency in the economy. Credit is not given for ECON 102 and ACE 100.",3 hours.,Credit is not given for ECON 102 and ACE 100.,Social & Beh Sci - Soc Sci course.,Students must register for one quiz and one lecture section.,10019,ONL,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Hardiman, A;Vazquez, J"
2020,Winter,2020-wi,ECON,103,Macroeconomic Principles,"Introduction to the theory of determination of total or aggregate income, employment, output, price levels, and the role of money in the economy. Primary emphasis on monetary and fiscal policy, inflation, unemployment, economic growth, and international economics.",3 hours.,,Social & Beh Sci - Soc Sci course.,You may take ECON 103 before ECON 102. There is no prerequisite. Students must register for one quiz and one lecture section.,10020,ONL,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Laumer, S;McDermott, E"
2020,Winter,2020-wi,ECON,202,Economic Statistics I,"Introduction of basic concepts in statistics including the presentation of data, descriptive statistics, probability theory, discrete and continuous distributions, sampling distributions, estimation, and hypothesis testing. The approach of the class includes both learning the concepts behind basic statistics and also how to apply these concepts in ""real-life"" situations. Utilizes a practical project format. To complete the Business Statistics sequence, students must also complete ECON 203. Credit is not given for ECON 202 if credit for a college-level introductory statistics course such as PSYC 235, SOC 280, or STAT 100 has been earned. Prerequisite: Credit or registration in one of MATH 220, MATH 221, MATH 234.",3 hours.,"Credit is not given for ECON 202 if credit for a college-level introductory statistics course such as PSYC 235, SOC 280, or STAT 100 has been earned. Prerequisite: Credit or registration in one of MATH 220, MATH 221, MATH 234.",Quantitative Reasoning I course.,Instructions will be given during the first lecture as to where you should meet for your TA section. Evening examinations may be offered in this course. Students must register for one lab and one lecture section.,10051,ONL,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Schultz, C;Vogler, J"
2020,Winter,2020-wi,ECON,203,Economic Statistics II,"Continuation of ECON 202. Builds upon point and interval estimation as well as hypothesis testing skills first introduced in ECON 202. Utilizes a practical project format to extend the student skill set to include simple and multiple linear regression and time series techniques. Students will: Understand the relevance of statistics in their future course-work and professions; Be trained to identify the proper statistical technique to apply to a problem; Be adept at finding the answers to statistical queries using excel; Be able to properly interpret the results of their analysis. Students must have completed a course on probability and statistical analysis before taking ECON 203. The best course to meet this requirement is ECON 202 at the University of Illinois. Prerequisite: ECON 202; one of MATH 220, MATH 221, or MATH 234.",3 hours.,"Students must have completed a course on probability and statistical analysis before taking ECON 203. The best course to meet this requirement is ECON 202 at the University of Illinois. Prerequisite: ECON 202; one of MATH 220, MATH 221, or MATH 234.",,,10021,ONL,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Armendariz Buaun, R;Marques de Amorim, G"
2020,Winter,2020-wi,ECON,302,Inter Microeconomic Theory,"Microeconomic analysis including value and distribution theory; analysis of the pricing of the factors of production integrated in a micro-general equilibrium context which builds towards explaining the resource allocation process. Prerequisite: ECON 102 or equivalent. MATH 220, MATH 221, MATH 234 or equivalent.",3 hours.,"Prerequisite: ECON 102 or equivalent. MATH 220, MATH 221, MATH 234 or equivalent.",,First priority for enrollment will be given to students in curricula that require this course.,10026,ONL,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Buckley, B;Fang, C"
2020,Winter,2020-wi,ECON,303,Inter Macroeconomic Theory,"The modern theory of the determination of the level and rate of growth of income, employment, output, and the price level; discusses alternate fiscal and monetary policies to facilitate full employment and economic growth. Prerequisite: ECON 102; ECON 103; and one of MATH 220, MATH 221, MATH 234.",3 hours.,"Prerequisite: ECON 102; ECON 103; and one of MATH 220, MATH 221, MATH 234.",,First priority will be given to students in curricula that require this course.,10052,ONL,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"McDermott, E;Rodrigues Silva Tabak, D"
2020,Winter,2020-wi,ECON,415,Environmental Economics,"Application of economic theory to topical issues such as pollution, climate change, and the environmental impacts of overpopulation. Both market-based and regulatory solutions to these problems are discussed. 3 undergraduate hours. 4 graduate hours. Prerequisite: ECON 202; ECON 302; MATH 220/MATH 221 or other Calculus course.",3 OR 4 hours.,3 undergraduate hours. 4 graduate hours. Prerequisite: ECON 202; ECON 302; MATH 220/MATH 221 or other Calculus course.,,,10081,ONL,A,1,,3 hours,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Buckley, B;Fang, C"
