Year,Term,YearTerm,Subject,Number,Name,Description,Credit Hours,Section Info,Degree Attributes,Schedule Information
2018,Fall,2018-fa,AAS,100,Intro Asian American Studies,,,,,
2018,Fall,2018-fa,AAS,105,Introduction to Arab American Studies,,,,,
2018,Fall,2018-fa,AAS,120,Intro to Asian Am Pop Culture,,,,,
2018,Fall,2018-fa,AAS,199,Undergraduate Open Seminar,,,,,
2018,Fall,2018-fa,AAS,200,U.S. Race and Empire,,,,,
2018,Fall,2018-fa,AAS,201,US Racial &amp; Ethnic Politics,,,,,
2018,Fall,2018-fa,AAS,211,Asian Americans and the Arts,,,,,
2018,Fall,2018-fa,AAS,215,US Citizenship Comparatively,,,,,
2018,Fall,2018-fa,AAS,224,Asian Am Historical Sociology,,,,,
2018,Fall,2018-fa,AAS,246,Asian American Youth in Film,,,,,
2018,Fall,2018-fa,AAS,250,Asian American Ethnic Groups,,,,,
2018,Fall,2018-fa,AAS,258,Muslims in America,,,,,
2018,Fall,2018-fa,AAS,260,Intro Asian American Theatre,,,,,
2018,Fall,2018-fa,AAS,265,Politics of Hip Hop,,,,,
2018,Fall,2018-fa,AAS,275,The Politics of Fashion,,,,,
2018,Fall,2018-fa,AAS,281,Constructing Race in America,,,,,
2018,Fall,2018-fa,AAS,283,Asian American History,,,,,
2018,Fall,2018-fa,AAS,286,Asian American Literature,,,,,
2018,Fall,2018-fa,AAS,287,Food and Asian Americans,,,,,
2018,Fall,2018-fa,AAS,288,Global Islam and Feminisms,,,,,
2018,Fall,2018-fa,AAS,290,Individual Study,,,,,
2018,Fall,2018-fa,AAS,291,Hinduism in the United States,,,,,
2018,Fall,2018-fa,AAS,297,Asian Families in America,,,,,
2018,Fall,2018-fa,AAS,299,Begin Topics Asian Am Studies,,,,,
2018,Fall,2018-fa,AAS,300,"Theories of Race, Gender, and Sexuality",,,,,
2018,Fall,2018-fa,AAS,310,Race and Cultural Diversity,,,,,
2018,Fall,2018-fa,AAS,315,"War, Memory, and Cinema",,,,,
2018,Fall,2018-fa,AAS,317,Asian American Politics,,,,,
2018,Fall,2018-fa,AAS,328,Asian Americans &amp; Inequalities,,,,,
2018,Fall,2018-fa,AAS,346,Asian American Youth,,,,,
2018,Fall,2018-fa,AAS,355,Race and Mixed Race,,,,,
2018,Fall,2018-fa,AAS,365,Asian American Media and Film,,,,,
2018,Fall,2018-fa,AAS,370,"Immigration, Law, and Rights",,,,,
2018,Fall,2018-fa,AAS,375,"Prisons, Race, and Terror",,,,,
2018,Fall,2018-fa,AAS,390,Intermed Topics Asian Am St,,,,,
2018,Fall,2018-fa,AAS,395,Adv Asian Am Undergrad Reading,,,,,
2018,Fall,2018-fa,AAS,400,Critical Ethnic Studies,,,,,
2018,Fall,2018-fa,AAS,402,Asian American Education,,,,,
2018,Fall,2018-fa,AAS,435,Commodifying Difference,,,,,
2018,Fall,2018-fa,AAS,464,Theories &amp; Theologies of Liberation,,,,,
2018,Fall,2018-fa,AAS,465,"Race, Sex, and Deviance",,,,,
2018,Fall,2018-fa,AAS,479,"Race, Medicine, and Society",,,,,
2018,Fall,2018-fa,AAS,490,Adv Topics in Asian Am Studies,,,,,
2018,Fall,2018-fa,AAS,501,Theory and Methods in AAS,,,,,
2018,Fall,2018-fa,AAS,539,"Youth, Culture and Society",,,,,
2018,Fall,2018-fa,AAS,561,Race and Cultural Critique,,,,,
2018,Fall,2018-fa,AAS,589,Readings in Asian Am Studies,,,,,
