Year,Term,YearTerm,Subject,Number,Name,Description,Credit Hours,Section Info,Degree Attributes,Schedule Information
2019,Fall,2019-fa,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",
2019,Fall,2019-fa,AAS,105,Introduction to Arab American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Arab American Studies. Addresses the issues of history, race, social organization, politics, literature, and art related to Arab American experiences.",3 hours.,,Cultural Studies - US Minority course.,
2019,Fall,2019-fa,AAS,120,Intro to Asian Am Pop Culture,Introductory understanding of the way U.S. popular culture has affected Asian Americans and the contributions Asian Americans have made to U.S. media and popular culture since the mid 1880's.,3 hours.,,Cultural Studies - US Minority course.,
2019,Fall,2019-fa,AAS,199,Undergraduate Open Seminar,May be repeated to a maximum of 6 hours.,1 TO 5 hours.,,,
2019,Fall,2019-fa,AAS,200,U.S. Race and Empire,"Invites students to examine histories and narratives of U.S. race and empire, drawing upon multiple theoretical and methodological works in Asian American studies and related fields. Same as LLS 200.",3 hours.,Same as LLS 200.,"Humanities - Hist & Phil, and Cultural Studies - US Minority course.",
2019,Fall,2019-fa,AAS,201,US Racial &amp; Ethnic Politics,"Same as AFRO 201, LLS 201, and PS 201. See PS 201.",3 hours.,"Same as AFRO 201, LLS 201, and PS 201. See PS 201.","Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",
2019,Fall,2019-fa,AAS,211,Asian Americans and the Arts,"Examination of Asian American artistic expressions in the visual and the performing arts providing historical, theoretical, and conceptual foundations of understanding the history of various art genres in Asian American communities. Prerequisite: AAS 100 or AAS 120, or consent of instructor.",3 hours.,,"Humanities - Lit & Arts, and Cultural Studies - US Minority course.",
2019,Fall,2019-fa,AAS,215,US Citizenship Comparatively,"Examines the racial, gendered, and sexualized aspects of US citizenship historically and comparatively. Interdisciplinary course taught from a humanities perspective. Readings draw from critical legal studies, history, literature, literary criticism, and ethnography. Same as AFRO 215, AIS 295, GWS 215, and LLS 215. Prerequisite: One of: AAS 100, AAS 120, AFRO 100 AIS 101, GWS 250, LLS 100.",3 hours.,,"Humanities - Hist & Phil, and Cultural Studies - US Minority course.",
2019,Fall,2019-fa,AAS,224,Asian Am Historical Sociology,"Explores concepts of colonization, international labor migration, race, nation, assimilation, and class formation through socio-historical examinations of diverse groups categorized as Asian Americans. Same as SOC 224. Prerequisite: AAS 100.",3 hours.,,Cultural Studies - US Minority course.,
2019,Fall,2019-fa,AAS,246,Asian American Youth in Film,Examines both mainstream and independent films and documentaries representing and/or produced by Asian American youth. Explores the role of multiculturalism and diversity issues in informing young people's experiences.,3 hours.,,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",
