Year,Term,YearTerm,Subject,Number,Title
2019,Spring,2019-sp,AAS,100,"Intro Asian American Studies"
2019,Spring,2019-sp,AAS,105,"Introduction to Arab American Studies"
2019,Spring,2019-sp,AAS,120,"Intro to Asian Am Pop Culture"
2019,Spring,2019-sp,AAS,199,"Undergraduate Open Seminar"
2019,Spring,2019-sp,AAS,200,"U.S. Race and Empire"
2019,Spring,2019-sp,AAS,201,"US Racial & Ethnic Politics"
2019,Spring,2019-sp,AAS,211,"Asian Americans and the Arts"
2019,Spring,2019-sp,AAS,215,"US Citizenship Comparatively"
2019,Spring,2019-sp,AAS,224,"Asian Am Historical Sociology"
2019,Spring,2019-sp,AAS,246,"Asian American Youth in Film"
2019,Spring,2019-sp,AAS,250,"Asian American Ethnic Groups"
2019,Spring,2019-sp,AAS,258,"Muslims in America"
2019,Spring,2019-sp,AAS,260,"Intro Asian American Theatre"
2019,Spring,2019-sp,AAS,265,"Politics of Hip Hop"
2019,Spring,2019-sp,AAS,275,"The Politics of Fashion"
2019,Spring,2019-sp,AAS,281,"Constructing Race in America"
2019,Spring,2019-sp,AAS,283,"Asian American History"
2019,Spring,2019-sp,AAS,286,"Asian American Literature"
2019,Spring,2019-sp,AAS,287,"Food and Asian Americans"
2019,Spring,2019-sp,AAS,288,"Global Islam and Feminisms"
2019,Spring,2019-sp,AAS,290,"Individual Study"
2019,Spring,2019-sp,AAS,291,"Hinduism in the United States"
2019,Spring,2019-sp,AAS,297,"Asian Families in America"
2019,Spring,2019-sp,AAS,299,"Begin Topics Asian Am Studies"
2019,Spring,2019-sp,AAS,300,"Theories of Race, Gender, and Sexuality"
2019,Spring,2019-sp,AAS,310,"Race and Cultural Diversity"
2019,Spring,2019-sp,AAS,315,"War, Memory, and Cinema"
2019,Spring,2019-sp,AAS,317,"Asian American Politics"
2019,Spring,2019-sp,AAS,328,"Asian Americans & Inequalities"
2019,Spring,2019-sp,AAS,346,"Asian American Youth"
2019,Spring,2019-sp,AAS,355,"Race and Mixed Race"
2019,Spring,2019-sp,AAS,365,"Asian American Media and Film"
2019,Spring,2019-sp,AAS,370,"Immigration, Law, and Rights"
2019,Spring,2019-sp,AAS,375,"Prisons, Race, and Terror"
2019,Spring,2019-sp,AAS,390,"Intermed Topics Asian Am St"
2019,Spring,2019-sp,AAS,395,"Adv Asian Am Undergrad Reading"
2019,Spring,2019-sp,AAS,400,"Critical Ethnic Studies"
2019,Spring,2019-sp,AAS,402,"Asian American Education"
2019,Spring,2019-sp,AAS,435,"Commodifying Difference"
2019,Spring,2019-sp,AAS,464,"Theories & Theologies of Liberation"
2019,Spring,2019-sp,AAS,465,"Race, Sex, and Deviance"
2019,Spring,2019-sp,AAS,479,"Race, Medicine, and Society"
2019,Spring,2019-sp,AAS,490,"Adv Topics in Asian Am Studies"
2019,Spring,2019-sp,AAS,501,"Theory and Methods in AAS"
2019,Spring,2019-sp,AAS,539,"Youth, Culture and Society"
2019,Spring,2019-sp,AAS,561,"Race and Cultural Critique"
2019,Spring,2019-sp,AAS,589,"Readings in Asian Am Studies"
2019,Spring,2019-sp,AAS,590,"Asian Am Studies Seminar"
2019,Spring,2019-sp,ABE,100,"Intro Agric & Biological Engrg"
2019,Spring,2019-sp,ABE,141,"ABE Principles: Biological"
2019,Spring,2019-sp,ABE,199,"Undergraduate Open Seminar"
2019,Spring,2019-sp,ABE,223,"ABE Principles: Machine Syst"
2019,Spring,2019-sp,ABE,224,"ABE Principles: Soil & Water"
2019,Spring,2019-sp,ABE,225,"ABE Principles: Bioenvironment"
2019,Spring,2019-sp,ABE,226,"ABE Principles: Bioprocessing"
2019,Spring,2019-sp,ABE,341,"Transport Processes in ABE"
2019,Spring,2019-sp,ABE,361,"Off-Road Machine Design"
2019,Spring,2019-sp,ABE,397,"Independent Study"
2019,Spring,2019-sp,ABE,398,"Special Topics"
2019,Spring,2019-sp,ABE,425,"Engrg Measurement Systems"
2019,Spring,2019-sp,ABE,430,"Project Management"
2019,Spring,2019-sp,ABE,436,"Renewable Energy Systems"
2019,Spring,2019-sp,ABE,440,"Applied Statistical Methods I"
2019,Spring,2019-sp,ABE,445,"Statistical Methods"
2019,Spring,2019-sp,ABE,446,"Biological Nanoengineering"
2019,Spring,2019-sp,ABE,454,"Environmental Soil Physics"
2019,Spring,2019-sp,ABE,455,"Erosion and Sediment Control"
2019,Spring,2019-sp,ABE,456,"Land & Water Resources Engrg"
2019,Spring,2019-sp,ABE,457,"NPS Pollution Processes"
2019,Spring,2019-sp,ABE,458,"NPS Pollution Modeling"
2019,Spring,2019-sp,ABE,459,"Drainage and Water Management"
2019,Spring,2019-sp,ABE,463,"Electrohydraulic Systems"
2019,Spring,2019-sp,ABE,466,"Engineering Off-Road Vehicles"
2019,Spring,2019-sp,ABE,469,"Industry-Linked Design Project"
2019,Spring,2019-sp,ABE,474,"Indoor Environmental Control"
2019,Spring,2019-sp,ABE,476,"Indoor Air Quality Engineering"
2019,Spring,2019-sp,ABE,482,"Package Engineering"
2019,Spring,2019-sp,ABE,483,"Engrg Properties of Food Matls"
2019,Spring,2019-sp,ABE,488,"Bioprocessing Biomass for Fuel"
2019,Spring,2019-sp,ABE,497,"Independent Study"
2019,Spring,2019-sp,ABE,498,"Special Topics"
2019,Spring,2019-sp,ABE,501,"Graduate Research I"
2019,Spring,2019-sp,ABE,502,"Graduate Research II"
2019,Spring,2019-sp,ABE,594,"Graduate Seminar"
2019,Spring,2019-sp,ABE,597,"Independent Study"
2019,Spring,2019-sp,ABE,598,"Special Topics"
2019,Spring,2019-sp,ABE,599,"Thesis Research"
2019,Spring,2019-sp,ACCY,199,"Undergraduate Open Seminar"
2019,Spring,2019-sp,ACCY,200,"Fundamentals of Accounting"
2019,Spring,2019-sp,ACCY,201,"Accounting and Accountancy I"
2019,Spring,2019-sp,ACCY,202,"Accounting and Accountancy II"
2019,Spring,2019-sp,ACCY,211,"Understanding Financial Statements"
2019,Spring,2019-sp,ACCY,212,"Understanding Accounting for Business Decisions"
2019,Spring,2019-sp,ACCY,290,"Prof Internship in Accountancy"
2019,Spring,2019-sp,ACCY,301,"Atg Measurement & Disclosure"
2019,Spring,2019-sp,ACCY,302,"Decision Making for Atg"
2019,Spring,2019-sp,ACCY,303,"Atg Institutions and Reg"
2019,Spring,2019-sp,ACCY,304,"Accounting Control Systems"
2019,Spring,2019-sp,ACCY,312,"Principles of Taxation"
2019,Spring,2019-sp,ACCY,321,"Principles of Public Policy"
2019,Spring,2019-sp,ACCY,398,"Practical Problems in Atg"
2019,Spring,2019-sp,ACCY,405,"Assurance and Attestation"
2019,Spring,2019-sp,ACCY,410,"Advanced Financial Reporting"
2019,Spring,2019-sp,ACCY,415,"Auditing Stds and Practice"
2019,Spring,2019-sp,ACCY,451,"Advanced Income Tax Problems"
2019,Spring,2019-sp,ACCY,499,"Senior Research"
2019,Spring,2019-sp,ACCY,500,"Accounting Measurement, Reporting, and Control"
2019,Spring,2019-sp,ACCY,501,"Accounting Analysis I"
2019,Spring,2019-sp,ACCY,502,"Accounting Analysis II"
2019,Spring,2019-sp,ACCY,503,"Managerial Accounting"
2019,Spring,2019-sp,ACCY,504,"Auditing"
2019,Spring,2019-sp,ACCY,505,"Federal Taxation"
