Year,Term,TermYear,Course,Course Title,ACP,CS,HUM,NAT,QR,SBS
2019,Fall,2019-fa,AAS 100,Intro Asian American Studies,,US,,,,SS
2019,Fall,2019-fa,AAS 105,Introduction to Arab American Studies,,US,,,,
2019,Fall,2019-fa,AAS 120,Intro to Asian Am Pop Culture,,US,,,,
2019,Fall,2019-fa,AAS 200,U.S. Race and Empire,,US,HP,,,
2019,Fall,2019-fa,AAS 201,US Racial & Ethnic Politics,,US,,,,SS
2019,Fall,2019-fa,AAS 211,Asian Americans and the Arts,,US,LA,,,
2019,Fall,2019-fa,AAS 215,US Citizenship Comparatively,,US,HP,,,
2019,Fall,2019-fa,AAS 224,Asian Am Historical Sociology,,US,,,,
2019,Fall,2019-fa,AAS 246,Asian American Youth in Film,,US,,,,SS
2019,Fall,2019-fa,AAS 258,Muslims in America,,US,,,,SS
2019,Fall,2019-fa,AAS 260,Intro Asian American Theatre,,US,,,,
2019,Fall,2019-fa,AAS 265,Politics of Hip Hop,,US,,,,
2019,Fall,2019-fa,AAS 275,The Politics of Fashion,,US,,,,
2019,Fall,2019-fa,AAS 281,Constructing Race in America,,US,HP,,,
2019,Fall,2019-fa,AAS 283,Asian American History,,US,HP,,,
2019,Fall,2019-fa,AAS 286,Asian American Literature,,US,LA,,,
2019,Fall,2019-fa,AAS 287,Food and Asian Americans,,US,,,,SS
2019,Fall,2019-fa,AAS 288,Global Islam and Feminisms,,NW,,,,
2019,Fall,2019-fa,AAS 297,Asian Families in America,,US,,,,SS
2019,Fall,2019-fa,AAS 300,"Theories of Race, Gender, and Sexuality",ACP,,,,,
2019,Fall,2019-fa,AAS 310,Race and Cultural Diversity,ACP,US,,,,
2019,Fall,2019-fa,AAS 370,"Immigration, Law, and Rights",ACP,,,,,
2019,Fall,2019-fa,AAS 402,Asian American Education,ACP,US,,,,
2019,Fall,2019-fa,ABE 469,Industry-Linked Design Project,ACP,,,,,
2019,Fall,2019-fa,ACE 100,Agr Cons and Resource Econ,,,,,,SS
2019,Fall,2019-fa,ACE 210,Environmental Economics,,,,,,SS
2019,Fall,2019-fa,ACE 251,The World Food Economy,,NW,,,,SS
2019,Fall,2019-fa,ACE 254,Economic Systems in Africa,,NW,,,,SS
2019,Fall,2019-fa,ACE 255,Economics of Food and Environmental Justice,,US,,,,SS
2019,Fall,2019-fa,ACE 261,Applied Statistical Methods,,,,,QR1,
2019,Fall,2019-fa,ACES 102,Intro Sustainable Food Systems,,,,LS,,
2019,Fall,2019-fa,ACES 179,History of Ag in IL Since 1860,,US,HP,,,
2019,Fall,2019-fa,ADV 476,Global Advertising,,WCC,,,,SS
2019,Fall,2019-fa,AE 443,Aerospace Systems Design II,ACP,,,,,
2019,Fall,2019-fa,AFAS 120,Intro to US Armed Forces,,,HP,,,
2019,Fall,2019-fa,AFRO 100,Intro to African American St,,US,,,,SS
2019,Fall,2019-fa,AFRO 101,"Black America, 1619-Present",,US,HP,,,
2019,Fall,2019-fa,AFRO 103,Black Women in the Diaspora,,US,,,,
2019,Fall,2019-fa,AFRO 105,Black Literature in America,,US,LA,,,
2019,Fall,2019-fa,AFRO 106,Hist Arch Americas,,US,HP,,,
2019,Fall,2019-fa,AFRO 132,African American Music,,US,LA,,,
2019,Fall,2019-fa,AFRO 201,US Racial & Ethnic Politics,,US,,,,SS
2019,Fall,2019-fa,AFRO 211,Intro to African-American Film,,US,,,,
2019,Fall,2019-fa,AFRO 212,Intro African American Theat,,US,,,,
2019,Fall,2019-fa,AFRO 215,US Citizenship Comparatively,,US,HP,,,
2019,Fall,2019-fa,AFRO 221,History of the Prison,,WCC,HP,,,
2019,Fall,2019-fa,AFRO 224,Humanist Persp of Afro-Am Exp,,US,LA,,,
2019,Fall,2019-fa,AFRO 228,Hip Hop Music: History and Culture,,US,LA,,,
2019,Fall,2019-fa,AFRO 231,Lang Diff Dis: American Persp,,US,,,,
2019,Fall,2019-fa,AFRO 243,Pan Africanism,,NW,,,,SS
2019,Fall,2019-fa,AFRO 250,Introduction to Health and Wellness in the Black Community,,US,,,,SS
2019,Fall,2019-fa,AFRO 259,Early African American Literature and Culture,,US,,,,
2019,Fall,2019-fa,AFRO 260,Modern African American Literature and Culture,,US,,,,
2019,Fall,2019-fa,AFRO 261,Intro to the African Diaspora,,US,HP,,,
2019,Fall,2019-fa,AFRO 272,Minority Images in Amer Film,,US,LA,,,
2019,Fall,2019-fa,AFRO 275,Afro-American History to 1877,,US,HP,,,
2019,Fall,2019-fa,AFRO 276,Afro-American Hist Since 1877,,US,HP,,,
2019,Fall,2019-fa,AFRO 281,Constructing Race in America,,US,HP,,,
2019,Fall,2019-fa,AFRO 287,African-American Women,,US,HP,,,
2019,Fall,2019-fa,AFRO 290,Af Am Urban Hist Since 1917,,US,HP,,,
2019,Fall,2019-fa,AFRO 310,Race and Cultural Diversity,ACP,US,,,,
2019,Fall,2019-fa,AFRO 340,Dancing Black Popular Culture,,US,HP,,,
2019,Fall,2019-fa,AFRO 372,Class Politics & Blk Community,ACP,,,,,
2019,Fall,2019-fa,AFRO 400,African Diasporic Thought in the Caribbean,,NW,,,,
2019,Fall,2019-fa,AFRO 460,Slavery in the United States,ACP,,,,,
2019,Fall,2019-fa,AFRO 474,"Black Freed Move, 1955-Present",ACP,,,,,
2019,Fall,2019-fa,AFST 103,Black Women in the Diaspora,,US,,,,
2019,Fall,2019-fa,AFST 209,Constr Afr and Carib Identity,,NW,,,,
2019,Fall,2019-fa,AFST 210,Introduction to Modern African Literature,,NW,LA,,,
2019,Fall,2019-fa,AFST 213,African Muslim Societies,,NW,HP,,,
2019,Fall,2019-fa,AFST 222,Introduction to Modern Africa,,NW,,,,
2019,Fall,2019-fa,AFST 243,Pan Africanism,,NW,,,,SS
2019,Fall,2019-fa,AFST 254,Economic Systems in Africa,,NW,,,,SS
2019,Fall,2019-fa,AFST 266,African Film and Society,,NW,,,,
2019,Fall,2019-fa,AGCM 220,Communicating Agriculture,ACP,,,,,
2019,Fall,2019-fa,AGCM 320,Public Information Campaigns,ACP,,,,,
2019,Fall,2019-fa,AGED 230,Leadership Communications,ACP,,,,,SS
2019,Fall,2019-fa,AGED 260,Intro to Leadership Studies,,,,,,SS
2019,Fall,2019-fa,AGED 340,Leadership Ethics & Pluralism,,US,,,,
2019,Fall,2019-fa,AGED 360,Advanced Leadership Studies,,,,,,SS
2019,Fall,2019-fa,AIS 101,Intro to Amer Indian Studies,,US,HP,,,
2019,Fall,2019-fa,AIS 102,Contemp Issues in Ind Country,,US,,,,SS
2019,Fall,2019-fa,AIS 140,Native Religious Traditions,,US,HP,,,
2019,Fall,2019-fa,AIS 165,Lang & Culture Native North Am,,NW,,,,
2019,Fall,2019-fa,AIS 265,Intro to American Indian Lit,,US,LA,,,
2019,Fall,2019-fa,AIS 275,Am Indian and Indigenous Film,,US,LA,,,
2019,Fall,2019-fa,AIS 277,Encounters in Native America,,US,HP,,,
2019,Fall,2019-fa,AIS 278,Native American History,,US,HP,,,
2019,Fall,2019-fa,AIS 285,Indigenous Thinkers,,NW,HP,,,
2019,Fall,2019-fa,AIS 288,American Indians of Illinois,,US,HP,,,
2019,Fall,2019-fa,AIS 295,US Citizenship Comparatively,,US,HP,,,
2019,Fall,2019-fa,ANSC 110,Life With Animals and Biotech,,,,LS,,
2019,Fall,2019-fa,ANSC 205,World Animal Resources,ACP,,,,,
2019,Fall,2019-fa,ANSC 207,Companion Animal Biology &Care,,,,LS,,
2019,Fall,2019-fa,ANSC 250,Companion Animals in Society,,WCC,,,,
2019,Fall,2019-fa,ANSC 305,Human Animal Interactions,,,,,,SS
