Year,Term,TermYear,Course,Course Title,ACP,CS,HUM,NAT,QR,SBS
2023,Spring,2023-sp,AAS 100,Intro Asian American Studies,,US,,,,SS
2023,Spring,2023-sp,AAS 105,Introduction to Arab American Studies,,US,,,,
2023,Spring,2023-sp,AAS 120,Intro to Asian Am Pop Culture,,US,,,,
2023,Spring,2023-sp,AAS 200,U.S. Race and Empire,,US,HP,,,
2023,Spring,2023-sp,AAS 201,US Racial & Ethnic Politics,,US,,,,SS
2023,Spring,2023-sp,AAS 211,Asian Americans and the Arts,,US,LA,,,
2023,Spring,2023-sp,AAS 215,US Citizenship Comparatively,,US,HP,,,
2023,Spring,2023-sp,AAS 246,Asian American Youth in Film,,US,,,,SS
2023,Spring,2023-sp,AAS 258,Muslims in America,,US,,,,SS
2023,Spring,2023-sp,AAS 260,Intro Asian American Theatre,,US,,,,
2023,Spring,2023-sp,AAS 265,Politics of Hip Hop,,US,,,,
2023,Spring,2023-sp,AAS 275,The Politics of Fashion,,US,,,,
2023,Spring,2023-sp,AAS 281,Constructing Race in America,,US,HP,,,
2023,Spring,2023-sp,AAS 282,Feminist and Queer Activisms,,US,,,,
2023,Spring,2023-sp,AAS 283,Asian American History,,US,HP,,,
2023,Spring,2023-sp,AAS 286,Asian American Literature,,US,LA,,,
2023,Spring,2023-sp,AAS 287,Food and Asian Americans,,US,,,,SS
2023,Spring,2023-sp,AAS 288,Global Islam and Feminisms,,NW,,,,
2023,Spring,2023-sp,AAS 297,Asian Families in America,,US,,,,SS
2023,Spring,2023-sp,AAS 300,"Theories of Race, Gender, and Sexuality",ACP,,,,,
2023,Spring,2023-sp,AAS 310,Race and Cultural Diversity,ACP,US,,,,
2023,Spring,2023-sp,AAS 370,"Immigration, Law, and Rights",ACP,,,,,
2023,Spring,2023-sp,AAS 402,Asian American Education,ACP,US,,,,
2023,Spring,2023-sp,ABE 152,Water in the Global Environment,,NW,,PS,,
2023,Spring,2023-sp,ABE 232,Context in International Interventions,,NW,,,,SS
2023,Spring,2023-sp,ABE 469,Industry-Linked Design Project,ACP,,,,,
2023,Spring,2023-sp,ACE 100,Introduction to Applied Microeconomics,,,,,,SS
2023,Spring,2023-sp,ACE 210,Environmental Economics,,,,,,SS
2023,Spring,2023-sp,ACE 251,The World Food Economy,,NW,,,,SS
2023,Spring,2023-sp,ACE 254,Economic Systems in Africa,,NW,,,,SS
2023,Spring,2023-sp,ACE 255,Economics of Food and Environmental Justice,,US,,,,SS
2023,Spring,2023-sp,ACE 262,Applied Statistical Methods and Data Analytics I,,,,,QR1,
2023,Spring,2023-sp,ACES 102,Intro Sustainable Food Systems,,,,LS,,
2023,Spring,2023-sp,ACES 179,History of Ag in IL Since 1860,,US,HP,,,
2023,Spring,2023-sp,ADV 150,Introduction to Advertising,,,,,,SS
2023,Spring,2023-sp,ADV 175,Diversity in Advertising,,US,,,,
2023,Spring,2023-sp,ADV 200,Data Literacy,,,,,QR1,
2023,Spring,2023-sp,ADV 305,Advertising Technology and the Digital World,,,,,,SS
2023,Spring,2023-sp,ADV 312,Advertising History,,,HP,,,
2023,Spring,2023-sp,ADV 393,Advertising and Society,,,,,,SS
2023,Spring,2023-sp,ADV 476,Global Advertising,,WCC,,,,SS
2023,Spring,2023-sp,AE 443,Aerospace Systems Design II,ACP,,,,,
2023,Spring,2023-sp,AFAS 120,Intro to US Armed Forces,,,HP,,,
2023,Spring,2023-sp,AFRO 100,Intro to African American St,,US,,,,SS
2023,Spring,2023-sp,AFRO 101,"Black America, 1619-Present",,US,HP,,,
2023,Spring,2023-sp,AFRO 103,Black Women in the Diaspora,,US,,,,
2023,Spring,2023-sp,AFRO 105,Black Literature in America,,US,LA,,,
2023,Spring,2023-sp,AFRO 106,Hist Arch Americas,,US,HP,,,
2023,Spring,2023-sp,AFRO 132,African American Music,,US,LA,,,
2023,Spring,2023-sp,AFRO 134,"Religion, Race, and Resistance",,US,,,,
2023,Spring,2023-sp,AFRO 201,US Racial & Ethnic Politics,,US,,,,SS
2023,Spring,2023-sp,AFRO 211,Intro to African-American Film,,US,,,,
2023,Spring,2023-sp,AFRO 212,Intro African American Theat,,US,,,,
2023,Spring,2023-sp,AFRO 215,US Citizenship Comparatively,,US,HP,,,
2023,Spring,2023-sp,AFRO 221,History of the Prison,,WCC,HP,,,
2023,Spring,2023-sp,AFRO 224,Humanist Persp of Afro-Am Exp,,US,LA,,,
2023,Spring,2023-sp,AFRO 228,Hip Hop Music: History and Culture,,US,LA,,,
2023,Spring,2023-sp,AFRO 231,Lang Diff Dis: American Persp,,US,,,,
2023,Spring,2023-sp,AFRO 234,Black Religious Imaginations,,US,,,,
2023,Spring,2023-sp,AFRO 243,Pan Africanism,,NW,,,,
2023,Spring,2023-sp,AFRO 250,Introduction to Health and Wellness in the Black Community,,US,,,,SS
2023,Spring,2023-sp,AFRO 259,Early African American Literature and Culture,,US,,,,
2023,Spring,2023-sp,AFRO 260,Modern African American Literature and Culture,,US,,,,
2023,Spring,2023-sp,AFRO 261,Intro to the African Diaspora,,US,HP,,,
2023,Spring,2023-sp,AFRO 275,Afro-American History to 1877,,US,HP,,,
2023,Spring,2023-sp,AFRO 276,Afro-American Hist Since 1877,,US,HP,,,
2023,Spring,2023-sp,AFRO 281,Constructing Race in America,,US,HP,,,
2023,Spring,2023-sp,AFRO 287,African-American Women,,US,HP,,,
2023,Spring,2023-sp,AFRO 290,Af Am Urban Hist Since 1917,,US,HP,,,
2023,Spring,2023-sp,AFRO 310,Race and Cultural Diversity,ACP,US,,,,
2023,Spring,2023-sp,AFRO 340,Dancing Black Popular Culture,,US,HP,,,
2023,Spring,2023-sp,AFRO 400,African Diasporic Thought in the Caribbean,,NW,,,,
2023,Spring,2023-sp,AFRO 460,Slavery in the United States,ACP,,,,,
2023,Spring,2023-sp,AFRO 474,"The Black Freedom Movement, 1955-Present",ACP,,,,,
2023,Spring,2023-sp,AFST 103,Black Women in the Diaspora,,US,,,,
2023,Spring,2023-sp,AFST 111,History of Africa to 1800,,NW,HP,,,
2023,Spring,2023-sp,AFST 112,History of Africa from 1800,,NW,HP,,,
2023,Spring,2023-sp,AFST 210,Introduction to Modern African Literature,,NW,LA,,,
2023,Spring,2023-sp,AFST 213,African Muslim Societies,,NW,HP,,,
2023,Spring,2023-sp,AFST 222,Introduction to Modern Africa,,NW,,,,
2023,Spring,2023-sp,AFST 233,Context in International Interventions,,NW,,,,SS
2023,Spring,2023-sp,AFST 243,Pan Africanism,,NW,,,,
2023,Spring,2023-sp,AFST 254,Economic Systems in Africa,,NW,,,,SS
2023,Spring,2023-sp,AFST 266,African Film and Society,,NW,,,,
2023,Spring,2023-sp,AGCM 220,Communicating Agriculture,ACP,,,,,
2023,Spring,2023-sp,AGED 360,Advanced Leadership Studies,,,,,,SS
2023,Spring,2023-sp,AIS 101,Intro to Amer Indian Studies,,US,HP,,,
2023,Spring,2023-sp,AIS 102,Contemp Issues in Ind Country,,US,,,,SS
2023,Spring,2023-sp,AIS 140,Native Religious Traditions,,US,HP,,,
2023,Spring,2023-sp,AIS 165,Lang & Culture Native North Am,,NW,,,,
2023,Spring,2023-sp,AIS 214,American Indian Law & Politics,,US,,,,SS
2023,Spring,2023-sp,AIS 265,Intro to American Indian Lit,,US,LA,,,
2023,Spring,2023-sp,AIS 275,Am Indian and Indigenous Film,,US,LA,,,
2023,Spring,2023-sp,AIS 277,Encounters in Native America,,US,HP,,,
2023,Spring,2023-sp,AIS 278,Native American History,,US,HP,,,
2023,Spring,2023-sp,AIS 285,Indigenous Thinkers,,NW,HP,,,
2023,Spring,2023-sp,AIS 288,American Indians of Illinois,,US,HP,,,
2023,Spring,2023-sp,AIS 295,US Citizenship Comparatively,,US,HP,,,
2023,Spring,2023-sp,ANSC 110,Life With Animals and Biotech,,,,LS,,
2023,Spring,2023-sp,ANSC 205,World Animal Resources,ACP,,,,,
2023,Spring,2023-sp,ANSC 207,The Science of Pets and How to Care for Them,,,,LS,,
2023,Spring,2023-sp,ANSC 250,Companion Animals in Society,,WCC,,,,
2023,Spring,2023-sp,ANSC 255,Animal Ethics,,,HP,,,
2023,Spring,2023-sp,ANSC 305,Human Animal Interactions,,,,,,SS
2023,Spring,2023-sp,ANTH 101,Introduction to Anthropology,,WCC,,,,SS
2023,Spring,2023-sp,ANTH 102,Human Origins and Culture,,,,,,SS
2023,Spring,2023-sp,ANTH 103,Anthro in a Changing World,,NW,,,,SS
2023,Spring,2023-sp,ANTH 104,Talking Culture,,,,,,SS
2023,Spring,2023-sp,ANTH 105,World Archaeology,,,HP,,,
2023,Spring,2023-sp,ANTH 106,Hist Arch Americas,,US,HP,,,
2023,Spring,2023-sp,ANTH 108,Religion & Society in West I,,WCC,HP,,,
2023,Spring,2023-sp,ANTH 109,Religion & Society in West II,,WCC,HP,,,
2023,Spring,2023-sp,ANTH 110,Humanizing Science,,,,,,SS
2023,Spring,2023-sp,ANTH 126,Humans and Animals - Food or Friend?,,,,,,SS
2023,Spring,2023-sp,ANTH 130,History of South Asia,,NW,HP,,,
2023,Spring,2023-sp,ANTH 143,Biology of Human Behavior,,,,LS,,
2023,Spring,2023-sp,ANTH 157,The Archaeology of Illinois,,,HP,,,
