CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Standard Deviation,% 4.0's
41758,AAS,100,Intro Asian American Studies,AD1,DIS,120158,"Peralta, Christine N",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47100,AAS,100,Intro Asian American Studies,AD2,DIS,120158,"Peralta, Christine N",0,19,1,2,1,1,0,0,0,0,1,0,0,0,3.72,1.341640786,0.76
47102,AAS,100,Intro Asian American Studies,AD3,DIS,120158,"Thomas, Merin A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51248,AAS,100,Intro Asian American Studies,AD4,DIS,120158,"Thomas, Merin A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51249,AAS,100,Intro Asian American Studies,AD5,DIS,120158,"Lee, Sang S",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51932,AAS,100,Intro Asian American Studies,AD6,DIS,120158,"Lee, Sang S",1,13,5,1,3,3,1,0,0,0,0,0,1,1,3.47,1.584187489,0.5
56496,AAS,100,Intro Asian American Studies,B,LCD,120158,"Shinozuka, Jeannie N",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
55765,AAS,215,US Citizenship Comparatively,A,LCD,120158,"Cacho, Lisa M",1,3,5,4,1,6,1,3,2,1,1,1,0,0,2.81,1.454730788,0.137931034
59944,AAS,291,Hinduism in the United States,RP,LCD,120158,"Pandharipande, R V",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
58268,AAS,315,"War, Memory, and Cinema",A,LCD,120158,"Nguyen, Mimi T",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51335,AAS,390,"Prison, Race, and Terror",NP,LCD,120158,"Paik, Angela N",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31301,AAS,490,Critical Ethnic Studies,JRU,LCD,120158,"Rana, Junaid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47822,AAS,490,Race and the Environment,JSG,LCD,120158,"Shinozuka, Jeannie N",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31263,ABE,100,Intro Agric & Biological Engrg,B,LEC,120158,"Green, Angela R",0,27,0,0,11,0,0,2,0,0,0,0,0,0,3.63,2.111555509,0.675
55376,ABE,199,Water in the Global Environ,CHP,LCD,120158,"Kalita, Prasanta K",2,18,0,1,0,0,0,0,0,0,0,0,0,0,3.97,0.394503908,0.952380952
58927,ABE,223,ABE Principles: Machine Syst,AL1,LEC,120158,"Grift, Tony E",1,29,9,10,7,0,4,1,0,1,0,1,0,0,3.5,1.846919357,0.476190476
58931,ABE,224,ABE Principles: Soil & Water,AL1,LEC,120158,"Kalita, Prasanta K",19,30,0,4,0,0,1,2,0,0,0,0,3,0,3.66,2.99250174,0.830508475
57598,ABE,341,Transport Processes in ABE,MGD,LEC,120158,"Rausch, Kent D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29651,ABE,361,Off-Road Machine Design,AL1,LEC,120158,"Hansen, Alan C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
64779,ABE,430,Project Management,CL1,LEC,120158,"Davidson, Paul C",0,119,9,2,1,0,0,0,0,0,0,0,1,0,3.93,1.905927596,0.901515152
29655,ABE,459,Drainage and Water Management,A3,LEC,120158,"Cooke, Richard A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
39805,ABE,459,Drainage and Water Management,A4,LEC,120158,"Cooke, Richard A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
56114,ABE,463,Electrohydraulic Systems,TEG,LEC,120158,"Grift, Tony E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31280,ABE,466,Engineering Off-Road Vehicles,AL1,LEC,120158,"Hansen, Alan C",2,11,11,2,0,2,0,1,1,0,0,0,1,0,3.49,1.687864775,0.419354839
29662,ABE,476,Indoor Air Quality Engineering,AL1,LEC,120158,"Zhang, Yuanhui",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
57478,ABE,488,Bioprocessing Biomass for Fuel,VS,LEC,120158,"Singh, Vijay",6,9,5,4,3,0,2,0,0,0,0,0,0,0,3.63,1.098643102,0.517241379
65024,ABE,498,Eng Tech for Precision Ag,LT3,LEC,120158,"Tian, Lei",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
64787,ABE,498,Environmental Soil Physics,ML1,LEC,120158,"Chu, Ma Librada C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
65025,ABE,498,GIS Applications in Ag,RB3,LEC,120158,"Bhattarai, Rabin",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29670,ACCY,200,Fundamentals of Accounting,OL,ONL,120158,"Silhan, Peter A",5,81,65,44,37,25,28,11,14,7,3,1,0,0,3.21,4.036005657,0.267912773
36478,ACCY,201,Accounting and Accountancy I,AD1,DIS,120158,"Harris, Matthew C",10,8,4,1,0,2,1,2,1,0,1,0,0,0,3.48,1.542076522,0.6
36482,ACCY,201,Accounting and Accountancy I,AD3,DIS,120158,"Harris, Matthew C",0,6,4,5,2,5,4,1,1,0,0,0,1,1,3.02,1.580913941,0.206896552
36484,ACCY,201,Accounting and Accountancy I,AD4,DIS,120158,"Cantieri, Kristen E",8,3,4,3,4,3,2,2,1,0,1,0,1,0,3.13,1.669098831,0.34375
36486,ACCY,201,Accounting and Accountancy I,AD6,DIS,120158,"Dieckman, Carissa M",2,6,3,2,2,4,3,5,0,0,0,0,3,0,2.78,2.160966862,0.266666667
36487,ACCY,201,Accounting and Accountancy I,AD7,DIS,120158,"Ditman, Stephen M",5,5,5,4,2,1,3,1,2,0,0,0,1,0,3.2,1.631870093,0.344827586
