Subject,Course,CRN,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
AAS,100,41758,Intro Asian American Studies,10,15,3,1,0,0,1,0,0,0,0,0,0,0,3.89,"Chung, Ga Young"
AAS,100,47100,Intro Asian American Studies,7,12,1,5,1,0,0,1,1,0,0,0,0,0,3.68,"Chung, Ga Young"
AAS,100,47102,Intro Asian American Studies,6,4,6,3,1,1,0,0,1,0,0,0,0,0,3.61,"Lee, Jean Y"
AAS,100,51248,Intro Asian American Studies,9,6,7,3,1,0,2,0,0,1,0,0,0,0,3.61,"Lee, Jean Y"
AAS,100,51249,Intro Asian American Studies,4,18,2,1,3,0,1,0,1,0,0,1,1,0,3.51,"Atienza, Paul Michael L"
AAS,100,51932,Intro Asian American Studies,2,15,3,0,3,2,1,2,1,0,0,0,0,0,3.49,"Atienza, Paul Michael L"
AAS,246,66200,Asian American Youth in Film,0,27,4,0,1,0,0,0,0,0,0,0,0,0,3.93,"Kwon, Soo Ah"
AAS,258,58913,Muslims in America,0,22,5,1,0,0,0,0,0,0,0,0,0,1,3.92,"Rana, Junaid"
ABE,100,31263,Intro Agric & Biological Engrg,0,30,0,0,11,0,0,1,0,0,0,0,0,0,3.69,"Green, Angela R"
ABE,223,58927,ABE Principles: Machine Syst,1,28,2,1,6,2,0,0,0,0,0,0,0,0,3.75,"Grift, Tony E"
ABE,224,58931,ABE Principles: Soil & Water,1,33,9,3,2,0,0,0,0,0,0,0,1,0,3.78,"Bhattarai, Rabin"
ABE,430,64779,Project Management,0,104,7,0,1,0,0,0,0,0,0,0,1,0,3.94,"Davidson, Paul C"
ABE,466,31280,Engineering Off-Road Vehicles,3,6,8,7,2,0,2,0,0,0,0,0,0,0,3.55,"Hansen, Alan C"
ABE,488,57478,Bioprocessing Biomass for Fuel,6,14,4,2,3,0,0,0,0,0,0,0,0,0,3.8,"Singh, Vijay"
ACCY,200,29670,Fundamentals of Accounting,4,93,57,32,57,22,20,17,4,3,4,2,1,0,3.26,"Silhan, Peter A"
ACCY,201,36478,Accounting and Accountancy I,8,4,8,3,4,3,3,2,3,0,3,0,1,0,3.01,"Chen, Monica S"
ACCY,201,36482,Accounting and Accountancy I,1,0,3,1,2,3,4,3,1,0,3,0,4,0,2.09,"Chen, Monica S"
ACCY,201,36484,Accounting and Accountancy I,4,2,7,4,2,1,2,3,1,0,1,0,1,0,3.04,"Coady, Jennifer J"
ACCY,201,36486,Accounting and Accountancy I,3,5,3,0,4,2,2,3,1,0,2,0,2,0,2.77,"Gebhardt, Abbey L"
ACCY,201,36487,Accounting and Accountancy I,5,3,3,4,4,4,2,1,0,0,2,0,0,1,3.13,"Jones, Brock A"
ACCY,201,36489,Accounting and Accountancy I,5,4,3,2,3,4,1,3,1,0,4,0,1,0,2.82,"Coady, Jennifer J"
ACCY,201,36494,Accounting and Accountancy I,10,6,7,2,5,3,2,0,3,0,3,0,1,0,3.14,"Gebhardt, Abbey L"
ACCY,201,36496,Accounting and Accountancy I,7,7,9,3,4,3,2,2,1,0,2,0,4,0,2.99,"Jones, Brock A"
ACCY,201,36499,Accounting and Accountancy I,6,10,3,3,2,1,1,2,2,0,6,0,3,0,2.8,"Pietura, Magdalena"
ACCY,201,36502,Accounting and Accountancy I,6,7,6,2,2,4,0,2,2,0,4,0,5,1,2.72,"Zhu, Xiaoxiao"
ACCY,201,36506,Accounting and Accountancy I,3,11,7,4,4,2,3,5,0,0,1,0,1,1,3.18,"Silver, Paige R"
ACCY,201,36509,Accounting and Accountancy I,5,11,5,1,5,4,2,0,2,0,3,0,2,0,3.06,"Valentine, Courtney M"
ACCY,201,36516,Accounting and Accountancy I,2,6,4,0,2,2,2,1,1,0,2,0,4,0,2.63,"Pietura, Magdalena"
ACCY,201,36522,Accounting and Accountancy I,2,3,11,4,10,3,4,2,1,0,1,0,0,0,3.11,"Silver, Paige R"
ACCY,201,36526,Accounting and Accountancy I,3,4,8,6,5,5,4,1,1,0,1,0,3,1,2.92,"Waddock, Madeleine K"
ACCY,201,36536,Accounting and Accountancy I,4,9,4,0,4,3,6,2,1,0,2,0,2,0,2.93,"Zhu, Xiaoxiao"
ACCY,201,36538,Accounting and Accountancy I,3,3,12,3,4,5,3,1,2,0,2,0,2,0,2.94,"Valentine, Courtney M"
ACCY,201,36543,Accounting and Accountancy I,7,7,12,3,1,4,3,0,1,0,3,0,1,1,3.22,"Waddock, Madeleine K"
ACCY,202,36552,Accounting and Accountancy II,4,3,4,7,8,0,2,3,1,0,1,0,0,1,3.13,"Agapito, Christina N"
ACCY,202,36556,Accounting and Accountancy II,4,8,4,13,5,1,6,3,2,0,0,0,0,0,3.19,"Agapito, Christina N"
ACCY,202,36560,Accounting and Accountancy II,8,4,5,14,1,0,7,3,1,0,1,0,0,0,3.2,"Schraiber, Rebecca L"
ACCY,202,36565,Accounting and Accountancy II,4,8,1,14,8,3,3,1,1,0,0,0,0,0,3.28,"Schraiber, Rebecca L"
ACCY,202,36568,Accounting and Accountancy II,5,5,7,14,3,0,4,7,0,0,0,0,1,1,3.14,"Shen, Haoqing"
ACCY,202,36574,Accounting and Accountancy II,3,8,6,9,6,0,6,3,1,0,1,0,0,2,3.18,"Shen, Haoqing"
ACCY,301,36577,Atg Measurement & Disclosure,0,6,3,5,3,4,2,1,1,0,0,0,0,0,3.19,"Anderson, Spencer B"
ACCY,301,36581,Atg Measurement & Disclosure,6,5,3,3,5,2,0,1,0,0,0,0,0,0,3.49,"Anderson, Spencer B"
ACCY,301,36584,Atg Measurement & Disclosure,4,5,1,6,4,2,2,0,0,0,1,0,0,0,3.31,"Anderson, Spencer B"
ACCY,301,36587,Atg Measurement & Disclosure,0,8,4,5,1,1,3,2,0,1,0,0,0,0,3.25,"Wang, Zhiguang"
ACCY,301,36590,Atg Measurement & Disclosure,2,3,1,6,8,0,0,0,1,0,0,0,0,0,3.3,"Wang, Zhiguang"
ACCY,301,36592,Atg Measurement & Disclosure,1,4,5,4,5,3,4,0,0,0,0,0,0,0,3.23,"Sougiannis, Theodore"
ACCY,301,36596,Atg Measurement & Disclosure,2,3,7,3,4,6,0,0,0,0,0,0,0,0,3.35,"He, Shuoyuan"
ACCY,301,36598,Atg Measurement & Disclosure,1,7,6,6,2,0,0,0,0,0,1,0,0,0,3.52,"Wang, Zhiguang"
ACCY,301,47781,Atg Measurement & Disclosure,4,3,4,4,7,2,0,0,0,0,0,0,0,1,3.43,"He, Shuoyuan"
ACCY,302,36610,Decision Making for Atg,0,6,6,3,14,3,1,0,1,0,0,0,0,0,3.24,"Finnegan, Thomas"
ACCY,302,36614,Decision Making for Atg,0,6,9,7,11,0,0,0,0,0,0,0,0,0,3.43,"Finnegan, Thomas"
ACCY,302,36618,Decision Making for Atg,1,2,11,10,5,2,0,0,1,0,0,0,0,0,3.37,"Wu, Martin G"
ACCY,302,36680,Decision Making for Atg,0,1,10,11,11,0,0,1,0,0,0,0,0,0,3.3,"Finnegan, Thomas"
ACCY,302,36688,Decision Making for Atg,0,6,8,12,2,4,1,0,0,0,0,0,0,0,3.4,"Chen, Xiaoling"
ACCY,302,49257,Decision Making for Atg,4,3,5,11,6,3,1,1,0,0,0,0,0,0,3.33,"Chen, Xiaoling"
ACCY,302,49258,Decision Making for Atg,2,6,9,10,2,3,1,0,2,0,0,0,0,0,3.37,"Wu, Martin G"
ACCY,303,36692,Atg Institutions and Reg,1,2,11,6,7,1,0,2,0,0,0,1,0,1,3.25,"Li, Wei"
ACCY,303,36700,Atg Institutions and Reg,1,12,9,5,4,1,0,0,1,0,0,2,1,1,3.32,"Li, Wei"
ACCY,303,36701,Atg Institutions and Reg,2,12,10,3,6,2,0,0,1,1,0,0,0,0,3.49,"Brown, Timothy J"
ACCY,303,36713,Atg Institutions and Reg,1,12,4,7,4,6,2,0,0,1,0,0,0,0,3.35,"Brown, Timothy J"
ACCY,303,49259,Atg Institutions and Reg,0,10,11,9,2,0,0,0,1,0,1,3,0,0,3.27,"Li, Wei"
ACCY,303,36703,Atg Institutions and Reg,0,6,6,7,4,10,0,0,2,0,0,1,0,0,3.11,"Brown, Timothy J"
