Subject,Course,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
AAS,100,Intro Asian American Studies,2,17,0,6,5,0,1,0,0,0,1,0,0,0,3.57,"Espiritu, Augusto F"
AAS,100,Intro Asian American Studies,1,5,6,1,3,4,0,1,1,0,2,1,3,0,2.69,"Paik, Angela N"
AAS,100,Intro Asian American Studies,10,7,2,2,2,1,0,1,0,0,0,0,1,0,3.56,"Sharif, Lila A"
AAS,100,Intro Asian American Studies,5,14,1,3,3,1,2,2,0,0,0,1,2,0,3.25,"Lee, Alexander J"
AAS,100,Intro Asian American Studies,5,11,6,3,3,0,0,2,2,0,0,0,1,0,3.4,"Lee, Alexander J"
AAS,100,Intro Asian American Studies,7,5,6,4,3,2,4,2,1,1,0,0,0,0,3.26,"Kang, Yoonjung"
AAS,100,Intro Asian American Studies,7,5,2,1,4,1,1,3,1,1,0,3,3,0,2.71,"Kang, Yoonjung"
AAS,100,Intro Asian American Studies,9,9,1,2,1,1,0,1,0,0,0,1,0,0,3.63,"Chung, Ga Young"
AAS,100,Intro Asian American Studies,4,8,6,4,3,0,1,0,0,0,0,0,0,0,3.64,"Chung, Ga Young"
ABE,100,Intro Agric & Biological Engrg,0,37,0,0,4,0,0,1,0,0,0,0,1,0,3.77,"Green, Angela R"
ABE,223,ABE Principles: Machine Syst,0,24,9,3,5,3,3,1,0,0,0,1,0,0,3.5,"Grift, Tony E"
ABE,224,ABE Principles: Soil & Water,1,23,9,6,4,0,0,0,0,0,0,0,1,0,3.66,"Bhattarai, Rabin"
ABE,341,Transport Processes in ABE,0,12,7,2,6,2,1,0,0,0,0,0,0,0,3.53,"Rausch, Kent D"
ABE,430,Project Management,0,105,7,9,6,0,0,0,0,1,1,0,0,0,3.84,"Davidson, Paul C"
ABE,436,Renewable Energy Systems,1,6,4,5,7,4,1,1,0,0,0,0,0,0,3.29,"Wang, Xinlei"
ABE,466,Engineering Off-Road Vehicles,1,3,9,3,5,4,1,0,0,0,0,0,1,0,3.22,"Hansen, Alan C"
ABE,488,Bioprocessing Biomass for Fuel,2,6,6,5,0,1,0,1,0,0,0,0,0,0,3.59,"Singh, Vijay"
ABE,498,Intro to Field Robotics,3,9,2,3,5,1,0,0,0,0,0,0,0,0,3.61,"Chowdhary, Girish"
ACCY,200,Fundamentals of Accounting,7,82,39,23,36,23,16,10,5,2,1,2,1,0,3.3,"Silhan, Peter A"
ACCY,201,Accounting and Accountancy I,4,4,6,2,3,3,5,2,2,0,0,0,1,0,3.02,"Arends, Alyssa M"
ACCY,201,Accounting and Accountancy I,1,5,4,4,4,3,1,0,2,0,3,0,4,0,2.6,"Arends, Alyssa M"
ACCY,201,Accounting and Accountancy I,0,2,3,0,2,6,2,1,3,0,2,0,2,0,2.38,"Hennessy, Thomas J"
ACCY,201,Accounting and Accountancy I,3,4,5,3,2,1,3,1,1,0,0,0,2,1,3.03,"Kiesewetter, Nathalie A"
ACCY,201,Accounting and Accountancy I,1,3,3,5,0,3,0,1,6,0,2,0,1,0,2.63,"Leman, Grant W"
ACCY,201,Accounting and Accountancy I,3,7,4,3,2,6,2,1,1,0,0,0,2,1,3.07,"Kiesewetter, Nathalie A"
ACCY,201,Accounting and Accountancy I,2,6,7,2,2,5,3,1,1,0,2,0,1,0,3.01,"Leman, Grant W"
ACCY,201,Accounting and Accountancy I,3,5,1,2,3,6,0,2,2,0,1,0,5,0,2.52,"Christiansen, Ryan S"
ACCY,201,Accounting and Accountancy I,1,3,4,4,3,4,4,1,3,0,1,0,0,2,2.89,"Ye, Yina"
ACCY,201,Accounting and Accountancy I,2,6,6,4,4,4,2,2,2,0,1,0,0,0,3.12,"Mammen, Gilbert G"
ACCY,201,Accounting and Accountancy I,1,3,5,3,3,6,1,6,2,0,5,0,1,0,2.56,"Sylvestri, Ross J"
ACCY,201,Accounting and Accountancy I,0,6,2,1,1,6,1,2,4,0,2,0,2,0,2.54,"Christiansen, Ryan S"
