CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A Range,B Range,C Range,D Range,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
41758,AAS,100,Intro Asian American Studies,AD1,DIS,120188,"Thomas, Merin A",,,,,2,8,8,7,3,2,1,0,0,0,0,0,0,0,3.53
47100,AAS,100,Intro Asian American Studies,AD2,DIS,120188,"Lee, Sang S",,,,,0,11,7,4,5,2,0,0,0,0,0,0,2,0,3.33
47102,AAS,100,Intro Asian American Studies,AD3,DIS,120188,"Kang, Yoonjung",,,,,1,6,7,4,4,2,0,0,0,0,0,0,2,0,3.24
51248,AAS,100,Intro Asian American Studies,AD4,DIS,120188,"Thomas, Merin A",,,,,3,5,8,8,2,1,0,1,1,1,0,0,0,0,3.39
51249,AAS,100,Intro Asian American Studies,AD5,DIS,120188,"Lee, Sang S",,,,,0,6,12,2,4,3,0,0,0,0,0,0,1,0,3.38
70169,AAS,105,Intro to Arab Am Studies,A,LCD,120188,"Sharif, Lila A",,,,,10,7,3,2,0,0,0,1,0,0,1,0,0,0,3.69
67896,AAS,211,Asian Americans and the Arts,B,LCD,120188,"Nguyen, Mimi T",,,,,2,6,5,1,4,3,2,1,0,2,0,0,2,0,2.96
66200,AAS,246,Asian American Youth in Film,A,LCD,120188,"Kwon, Soo Ah",,,,,5,17,3,1,3,0,1,0,1,0,0,0,0,1,3.72
58092,AAS,287,Food and Asian Americans,A,LCD,120188,"Sharif, Lila A",,,,,3,25,0,2,0,0,0,0,0,0,0,0,0,0,3.96
31263,ABE,100,Intro Agric & Biological Engrg,B,LEC,120188,"Green-Miller, Angela",,,,,0,44,0,0,7,0,0,2,0,0,0,0,0,0,3.79
58927,ABE,223,ABE Principles: Machine Syst,AL1,LEC,120188,"Grift, Tony E",,,,,0,17,4,6,7,3,3,0,1,0,1,0,0,0,3.37
58931,ABE,224,ABE Principles: Soil & Water,AL1,LEC,120188,"Bhattarai, Rabin",,,,,1,15,16,4,5,0,0,1,0,1,0,0,0,0,3.59
64779,ABE,430,Project Management,AL1,LEC,120188,"Davidson, Paul C",,,,,9,88,10,0,3,0,0,0,0,0,0,0,0,0,3.94
68450,ABE,436,Renewable Energy Systems,XW1,LEC,120188,"Wang, Xinlei",,,,,3,9,3,10,7,3,4,1,1,0,0,0,0,0,3.28
31280,ABE,466,Engineering Off-Road Vehicles,AL1,LEC,120188,"Hansen, Alan C",,,,,2,8,3,1,5,1,2,1,0,0,1,0,0,0,3.32
57478,ABE,488,Bioprocessing Biomass for Fuel,VS,LEC,120188,"Singh, Vijay",,,,,1,11,4,5,6,1,0,2,0,0,0,0,0,0,3.47
29670,ACCY,200,Fundamentals of Accounting,OL,ONL,120188,"Silhan, Peter A",,,,,8,83,44,30,32,21,16,10,7,4,4,1,1,1,3.28
36478,ACCY,201,Accounting and Accountancy I,AD1,DIS,120188,"Fisher, Mitchell B",,,,,7,7,3,4,5,2,0,2,1,0,0,0,0,1,3.43
36482,ACCY,201,Accounting and Accountancy I,AD3,DIS,120188,"Fisher, Mitchell B",,,,,5,10,2,6,4,1,3,1,1,1,1,0,0,1,3.29
36484,ACCY,201,Accounting and Accountancy I,AD4,DIS,120188,"Fisher, Mitchell B",,,,,1,6,4,4,6,4,2,1,4,4,0,0,0,0,2.87
36486,ACCY,201,Accounting and Accountancy I,AD6,DIS,120188,"Fisher, Mitchell B",,,,,5,3,4,9,5,0,2,3,2,0,0,0,1,1,3.11
36487,ACCY,201,Accounting and Accountancy I,AD7,DIS,120188,"Fisher, Mitchell B",,,,,3,7,6,5,2,4,2,3,1,2,0,1,0,0,3.08
36489,ACCY,201,Accounting and Accountancy I,AD8,DIS,120188,"Fisher, Mitchell B",,,,,1,5,6,4,2,2,5,1,1,1,0,0,2,1,2.91
36494,ACCY,201,Accounting and Accountancy I,ADA,DIS,120188,"Fisher, Mitchell B",,,,,6,12,5,3,4,2,1,2,1,0,0,0,0,0,3.49
36496,ACCY,201,Accounting and Accountancy I,ADB,DIS,120188,"Fisher, Mitchell B",,,,,4,5,2,2,4,5,4,2,2,1,0,0,2,0,2.83
36499,ACCY,201,Accounting and Accountancy I,ADC,DIS,120188,"Fisher, Mitchell B",,,,,5,1,5,5,3,2,1,4,2,1,0,0,0,1,3.05
36502,ACCY,201,Accounting and Accountancy I,ADD,DIS,120188,"Fisher, Mitchell B",,,,,2,7,6,6,2,1,3,1,1,1,2,1,0,0,3.07
36506,ACCY,201,Accounting and Accountancy I,ADE,DIS,120188,"Fisher, Mitchell B",,,,,3,7,4,2,6,5,3,2,2,0,1,0,2,0,2.92
36509,ACCY,201,Accounting and Accountancy I,ADF,DIS,120188,"Fisher, Mitchell B",,,,,5,10,3,1,1,2,2,3,3,0,1,1,1,0,3.03
36516,ACCY,201,Accounting and Accountancy I,ADH,DIS,120188,"Fisher, Mitchell B",,,,,8,4,3,4,7,3,1,2,2,0,0,0,2,0,3.08
36522,ACCY,201,Accounting and Accountancy I,ADI,DIS,120188,"Fisher, Mitchell B",,,,,2,8,4,2,4,1,5,5,1,0,0,1,0,0,3.03
36526,ACCY,201,Accounting and Accountancy I,ADJ,DIS,120188,"Fisher, Mitchell B",,,,,4,4,2,6,5,8,0,1,2,1,1,1,1,0,2.89
36536,ACCY,201,Accounting and Accountancy I,ADL,DIS,120188,"Fisher, Mitchell B",,,,,3,5,5,4,3,5,4,2,2,1,0,1,0,0,2.99
36538,ACCY,201,Accounting and Accountancy I,ADM,DIS,120188,"Fisher, Mitchell B",,,,,3,3,5,6,5,5,3,1,3,0,0,1,0,1,3.01
36543,ACCY,201,Accounting and Accountancy I,ADN,DIS,120188,"Fisher, Mitchell B",,,,,3,4,3,6,3,5,3,2,3,1,0,0,1,0,2.9
36552,ACCY,202,Accounting and Accountancy II,AD1,DIS,120188,"Shapland, Julia P",,,,,0,3,1,5,7,1,3,3,0,0,0,0,3,0,2.65
36556,ACCY,202,Accounting and Accountancy II,AD2,DIS,120188,"Shapland, Julia P",,,,,5,10,3,7,9,3,2,1,2,0,0,0,0,0,3.32
36560,ACCY,202,Accounting and Accountancy II,AD3,DIS,120188,"Shapland, Julia P",,,,,4,11,3,5,11,4,2,0,0,0,1,0,0,0,3.34
36565,ACCY,202,Accounting and Accountancy II,AD4,DIS,120188,"Shapland, Julia P",,,,,4,10,1,11,14,0,2,2,1,0,0,0,0,0,3.3
36568,ACCY,202,Accounting and Accountancy II,AD5,DIS,120188,"Shapland, Julia P",,,,,1,5,0,10,10,3,4,4,2,0,1,0,0,0,2.92
36574,ACCY,202,Accounting and Accountancy II,AD6,DIS,120188,"Shapland, Julia P",,,,,3,8,2,5,5,2,0,2,3,0,0,0,1,0,3.14
36577,ACCY,301,Atg Measurement & Disclosure,AE1,LCD,120188,"Li, Wei",,,,,1,8,3,9,1,2,1,1,1,0,1,0,0,0,3.3
36581,ACCY,301,Atg Measurement & Disclosure,AE2,LCD,120188,"Anderson, Spencer B",,,,,0,8,3,4,4,2,2,4,0,1,0,0,0,0,3.13
36584,ACCY,301,Atg Measurement & Disclosure,AE3,LCD,120188,"Anderson, Spencer B",,,,,3,12,4,1,3,1,3,0,0,0,0,0,0,0,3.58
36587,ACCY,301,Atg Measurement & Disclosure,AE4,LCD,120188,"Wang, Zhiguang",,,,,0,6,7,6,4,2,0,0,0,0,0,0,0,0,3.48
36590,ACCY,301,Atg Measurement & Disclosure,AE5,LCD,120188,"Li, Wei",,,,,0,7,5,6,0,2,1,2,1,0,0,0,0,0,3.32
36592,ACCY,301,Atg Measurement & Disclosure,AE6,LCD,120188,"Sougiannis, Theodore",,,,,3,2,5,5,4,2,2,0,1,0,0,0,0,0,3.28
36598,ACCY,301,Atg Measurement & Disclosure,AE8,LCD,120188,"Wang, Zhiguang",,,,,1,2,13,4,1,2,1,1,2,0,0,0,0,0,3.3
49255,ACCY,301,Atg Measurement & Disclosure,AEB,LCD,120188,"Sougiannis, Theodore",,,,,0,6,6,8,1,2,2,1,0,0,0,0,1,0,3.25
36610,ACCY,302,Decision Making for Atg,AE1,LCD,120188,"Finnegan, Thomas",,,,,0,5,5,9,3,5,3,1,0,0,0,0,0,0,3.21
36614,ACCY,302,Decision Making for Atg,AE2,LCD,120188,"Finnegan, Thomas",,,,,0,5,11,8,6,1,1,0,0,0,0,0,0,0,3.44
36618,ACCY,302,Decision Making for Atg,AE3,LCD,120188,"Wu, Martin G",,,,,1,5,10,6,6,2,0,0,0,0,0,0,0,0,3.47
36677,ACCY,302,Decision Making for Atg,AE4,LCD,120188,"Curtis, Susan M",,,,,3,1,8,10,5,4,0,0,0,0,0,0,0,0,3.37
36680,ACCY,302,Decision Making for Atg,AE5,LCD,120188,"Curtis, Susan M",,,,,1,6,12,3,4,2,1,1,0,0,0,0,0,0,3.46
36688,ACCY,302,Decision Making for Atg,AE8,LCD,120188,"Curtis, Susan M",,,,,1,2,10,6,3,6,1,1,0,0,1,0,0,0,3.19
49258,ACCY,302,Decision Making for Atg,AEA,LCD,120188,"Wu, Martin G",,,,,5,1,13,6,5,0,2,0,0,0,0,0,0,0,3.48
36692,ACCY,303,Atg Institutions and Reg,AE1,LCD,120188,"Zhu, Wei",,,,,3,2,6,3,5,2,1,1,0,1,2,1,0,0,2.99
36700,ACCY,303,Atg Institutions and Reg,AE2,LCD,120188,"Zhu, Wei",,,,,5,4,6,4,2,4,2,1,0,2,0,0,0,0,3.24
