Subject,Course ,CRN,Course Title,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
AAS,100,41758,Intro Asian American Studies,DIS,20,6,1,4,1,0,0,0,0,0,0,0,0,0,3.87,"Boonsripaisal, Simon"
AAS,100,47100,Intro Asian American Studies,DIS,16,10,2,2,1,0,0,0,0,0,0,0,0,0,3.9,"Uhall, Michael B"
AAS,100,47102,Intro Asian American Studies,DIS,5,13,2,2,3,2,0,1,0,0,0,0,3,0,3.3,"Kang, Yoonjung"
AAS,100,51248,Intro Asian American Studies,DIS,26,6,1,0,1,0,0,0,0,0,0,0,0,0,3.96,"Boonsripaisal, Simon"
AAS,100,51249,Intro Asian American Studies,DIS,19,4,3,1,2,3,0,0,0,0,0,0,0,0,3.76,"Uhall, Michael B"
AAS,100,51932,Intro Asian American Studies,DIS,4,10,2,3,1,3,0,0,0,0,0,0,3,0,3.24,"Kang, Yoonjung"
AAS,100,59818,Intro Asian American Studies,DIS,3,24,0,1,5,0,0,0,0,0,0,0,1,0,3.72,"Park, Doo Jae"
AAS,100,59819,Intro Asian American Studies,DIS,1,22,0,1,6,0,1,1,0,0,1,0,1,0,3.49,"Park, Doo Jae"
AAS,246,66200,Asian American Youth in Film,LCD,5,47,5,5,4,0,1,2,0,0,0,0,0,0,3.79,"Kwon, Soo Ah"
AAS,287,58092,Food and Asian Americans,LCD,27,29,3,5,2,0,0,0,0,0,0,0,2,0,3.79,"Sharif, Lila A"
AAS,370,67536,"Immigration, Law, and Rights",LCD,0,3,4,6,7,4,2,1,1,1,0,0,0,0,3.03,"Paik, Angela N"
ABE,100,72060,Intro Agric & Biological Engrg,LEC,0,39,0,0,3,0,0,0,0,0,0,0,2,0,3.75,"Green-Miller, Angela"
ABE,199,55376,Water in the Global Environ,LCD,5,21,0,0,1,0,0,0,0,0,0,0,0,0,3.96,"Kalita, Prasanta K"
ABE,223,58927,ABE Principles: Machine Syst,LEC,2,21,2,4,5,3,2,2,0,0,1,1,0,0,3.4,"Grift, Tony E"
ABE,224,58931,ABE Principles: Soil & Water,LEC,10,24,0,7,3,0,0,2,0,0,0,0,2,0,3.59,"Kalita, Prasanta K"
ABE,430,64779,Project Management,LEC,1,81,9,2,5,0,0,0,0,0,0,0,2,0,3.83,"Davidson, Paul C"
ABE,436,68450,Renewable Energy Systems,LEC,1,5,1,5,7,2,2,2,0,0,1,0,1,0,2.97,"Wang, Xinlei"
ABE,436,68451,Renewable Energy Systems,LEC,5,9,5,3,2,0,0,0,0,0,0,0,0,0,3.76,"Wang, Xinlei"
ABE,488,57478,Bioprocessing Biomass for Fuel,LEC,4,12,2,7,0,0,0,0,0,0,0,0,0,0,3.79,"Singh, Vijay"
ABE,498,72232,Eng Design for Solar SmartHome,LCD,8,23,8,2,0,0,0,0,0,0,0,0,0,0,3.91,"Wang, Xinlei"
ACCY,200,29670,Fundamentals of Accounting,ONL,8,69,53,28,35,22,22,10,14,6,5,3,0,1,3.16,"Silhan, Peter A"
