Subject,Course,CRN,Course Title,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
AAS,100,41758,Intro Asian American Studies,OD,10,9,4,0,2,0,0,0,1,0,1,0,1,0,3.55,"Boonsripaisal, Simon"
AAS,100,47100,Intro Asian American Studies,OD,2,11,2,2,5,1,0,2,0,0,1,0,1,0,3.28,"Kang, Yoonjung"
AAS,100,47102,Intro Asian American Studies,OD,1,16,3,3,0,0,0,2,0,0,0,0,2,0,3.44,"Wang, Yu"
AAS,100,51248,Intro Asian American Studies,OD,15,8,1,0,0,2,1,1,0,0,0,0,0,0,3.76,"Boonsripaisal, Simon"
AAS,100,51249,Intro Asian American Studies,OD,4,14,4,3,1,1,0,1,0,1,0,0,1,0,3.52,"Kang, Yoonjung"
AAS,100,51932,Intro Asian American Studies,OD,1,15,0,3,3,1,3,1,0,1,0,0,1,0,3.31,"Wang, Yu"
AAS,100,59818,Intro Asian American Studies,OD,7,11,2,2,3,0,1,1,0,0,0,0,2,0,3.43,"Guruparan, Akil"
AAS,100,59819,Intro Asian American Studies,OD,4,12,4,3,1,0,1,1,1,0,0,0,1,0,3.49,"Guruparan, Akil"
AAS,100,59820,Intro Asian American Studies,OD,2,14,3,2,5,0,0,0,0,1,0,0,0,0,3.63,"Horton, Christina M"
AAS,100,59821,Intro Asian American Studies,OD,7,14,5,0,1,0,0,1,0,0,0,0,0,0,3.83,"Horton, Christina M"
AAS,105,70169,Intro to Arab Am Studies,ONL,13,13,0,1,4,1,0,0,0,0,0,0,1,0,3.7,"Sharif, Lila A"
AAS,120,51394,Intro to Asian Am Pop Culture,ONL,4,2,15,8,1,0,0,0,0,0,0,0,0,0,3.62,"Tabares, Leland"
AAS,200,67473,U.S. Race and Empire,ONL,4,4,13,7,0,1,0,0,0,0,0,0,1,0,3.52,"Tabares, Leland"
ABE,100,72060,Intro Agric & Biological Engrg,ONL,0,25,0,0,2,0,0,0,0,0,2,0,1,0,3.6,"Tucker, Christina M"
ABE,199,55376,Water in the Global Environ,ONL,5,16,0,1,0,0,0,0,0,0,0,0,0,0,3.97,"Kalita, Prasanta K"
ABE,224,58931,ABE Principles: Soil & Water,OLC,8,12,0,13,1,0,0,0,0,0,0,0,0,0,3.71,"Kalita, Prasanta K"
ABE,430,64779,Project Management,OLC,3,28,1,2,1,0,0,0,0,0,0,0,0,0,3.92,"Davidson, Paul C"
ABE,436,68450,Renewable Energy Systems,ONL,2,10,4,4,12,0,2,1,0,0,0,0,0,0,3.41,"Wang, Xinlei"
