Subject,Course,CRN,Course Title,Course Section,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
AAS,100,41758,Intro Asian American Studies,AD1,DIS,2,14,2,3,5,3,0,1,0,0,0,0,0,0,3.54,"Zheng, Reanne"
AAS,100,47100,Intro Asian American Studies,AD2,DIS,0,15,0,3,5,1,0,2,0,0,0,0,1,0,3.39,"Atienza, Paul Michael L"
AAS,100,47102,Intro Asian American Studies,AD3,OD,7,4,1,1,7,0,2,3,0,0,1,0,1,0,3.1,"Wang, Yu"
AAS,100,51248,Intro Asian American Studies,AD4,DIS,1,18,0,2,4,1,0,0,0,0,0,0,0,0,3.74,"Zheng, Reanne"
AAS,100,51249,Intro Asian American Studies,AD5,DIS,0,16,1,3,5,1,0,2,0,0,0,0,0,0,3.55,"Atienza, Paul Michael L"
AAS,100,51932,Intro Asian American Studies,AD6,OD,10,4,2,2,1,1,1,2,0,0,0,0,3,0,3.15,"Wang, Yu"
AAS,100,59818,Intro Asian American Studies,AD7,DIS,5,9,3,0,5,2,0,0,0,0,0,0,3,0,3.24,"Gonzalez, Daniel A"
AAS,100,59819,Intro Asian American Studies,AD8,DIS,2,14,1,2,3,1,0,1,2,0,0,0,0,0,3.51,"Gonzalez, Daniel A"
AAS,100,59820,Intro Asian American Studies,AD9,DIS,5,12,3,0,3,1,0,0,2,0,0,0,0,0,3.62,"Rosado-Torres, Alexander"
AAS,100,59821,Intro Asian American Studies,ADA,DIS,7,11,1,0,3,3,0,1,0,0,0,0,0,0,3.64,"Rosado-Torres, Alexander"
AAS,120,51394,Intro to Asian Am Pop Culture,A,LCD,4,11,7,1,1,1,3,1,1,0,1,0,0,0,3.43,"Park, Doo Jae"
AAS,200,67473,U.S. Race and Empire,C,LCD,10,7,4,4,1,2,1,1,0,1,1,0,0,0,3.47,"Park, Doo Jae"
ABE,100,72060,Intro Agric & Biological Engrg,AGM,LEC,0,20,0,6,2,0,2,0,0,0,0,0,1,0,3.57,"Bhattarai, Rabin"
ABE,224,58931,ABE Principles: Soil & Water,AL1,OLC,3,13,0,2,3,0,0,1,0,0,0,0,0,1,3.71,"Kalita, Prasanta K"
ABE,232,75460,Context Intl Interventions,APW,LCD,11,10,7,3,1,1,1,0,0,0,0,0,0,2,3.76,"Witmer, Ann-Perry"
ABE,430,64779,Project Management,AL1,OLC,0,101,0,8,22,0,3,8,0,0,0,0,1,0,3.63,"Davidson, Paul C"
ABE,436,68450,Renewable Energy Systems,XW1,LEC,2,4,8,9,2,3,2,1,0,0,0,0,0,0,3.35,"Wang, Xinlei"
ABE,488,57478,Bioprocessing Biomass for Fuel,VS,LEC,2,2,4,4,7,7,2,0,2,1,0,0,0,0,3,"Singh, Vijay"
ABE,501,39806,Graduate Research I,A,LCD,0,20,0,0,2,0,0,0,0,0,0,0,0,0,3.91,"Zhang, Yuanhui"
ACCY,200,39539,Fundamentals of Accounting,B,ONL,17,70,3,9,19,10,2,2,0,0,0,0,1,0,3.62,"Zhang, Li"
ACCY,200,29670,Fundamentals of Accounting,OL,ONL,15,65,34,30,31,30,17,10,11,7,3,2,1,2,3.16,"Silhan, Peter A"
ACCY,201,36474,Accounting and Accountancy I,AL1,OLC,18,34,17,22,19,22,19,21,15,10,8,10,11,5,2.65,"Fisher, Mitchell B"
ACCY,201,36477,Accounting and Accountancy I,AL2,OLC,14,19,15,15,24,15,13,28,18,9,8,8,9,8,2.52,"Fisher, Mitchell B"
ACCY,201,71428,Accounting and Accountancy I,AL3,OLC,8,11,2,4,5,2,1,3,0,0,0,0,0,0,3.48,"Fisher, Mitchell B"
ACCY,202,36549,Accounting and Accountancy II,AL1,OLC,27,43,11,42,51,18,21,11,5,0,0,0,3,0,3.19,"Shapland, Julia P"
ACCY,202,71328,Accounting and Accountancy II,AL2,OLC,9,13,4,4,3,0,0,0,0,0,0,0,0,0,3.79,"Shapland, Julia P"
ACCY,301,36581,Atg Measurement & Disclosure,AE2,LCD,5,7,4,3,2,3,1,3,2,0,1,0,0,0,3.2,"Johnson, Jennifer A"
ACCY,301,36584,Atg Measurement & Disclosure,AE3,LCD,10,1,2,6,4,1,1,0,0,0,1,0,1,1,3.31,"Alt, Amanda J"
ACCY,301,36592,Atg Measurement & Disclosure,AE6,LCD,4,9,3,6,3,2,5,1,0,0,0,0,0,0,3.36,"Johnson, Jennifer A"
ACCY,301,49255,Atg Measurement & Disclosure,AEB,LCD,2,5,3,5,2,3,2,2,0,1,0,0,1,0,3.06,"Sougiannis, Theodore"
ACCY,302,36614,Decision Making for Atg,AE2,LCD,2,8,4,5,8,3,1,1,0,0,0,0,0,0,3.36,"Samet, Jordan A"
ACCY,302,36618,Decision Making for Atg,AE3,LCD,1,4,1,3,6,3,2,0,0,0,0,1,0,0,3.1,"Samet, Jordan A"
ACCY,302,36677,Decision Making for Atg,AE4,LCD,4,6,11,3,3,2,0,0,0,1,0,0,0,1,3.53,"Curtis, Susan M"
ACCY,302,36680,Decision Making for Atg,AE5,LCD,5,6,10,5,4,3,0,0,0,0,0,0,1,0,3.45,"Curtis, Susan M"
ACCY,302,36688,Decision Making for Atg,AE8,LCD,9,2,5,7,3,5,0,0,0,0,0,0,0,0,3.48,"Wu, Martin G"
ACCY,303,36700,Atg Institutions and Reg,AE2,LCD,16,1,2,1,3,1,1,1,0,1,1,0,1,0,3.34,"Godsell, David"
ACCY,303,36701,Atg Institutions and Reg,AE3,LCD,16,2,2,1,2,0,0,0,3,0,1,2,0,0,3.31,"Godsell, David"
ACCY,303,36713,Atg Institutions and Reg,AE4,LCD,6,6,3,4,1,4,2,1,0,2,0,0,0,0,3.29,"Pachera, Susan"
ACCY,303,49259,Atg Institutions and Reg,AE5,LCD,11,6,3,2,2,0,0,1,0,0,1,0,2,0,3.38,"Pachera, Susan"
ACCY,303,36703,Atg Institutions and Reg,AE6,LCD,8,6,1,3,3,1,2,0,2,0,0,0,1,0,3.31,"Pachera, Susan"
ACCY,303,67818,Atg Institutions and Reg,AE7,LCD,0,18,3,2,0,1,1,0,0,1,0,1,2,0,3.33,"Hamm, Brian K"
ACCY,304,31318,Accounting Control Systems,AE2,LCD,8,13,4,2,3,1,1,0,1,0,1,0,1,0,3.49,"Hayne, Christie"
ACCY,304,31319,Accounting Control Systems,AE3,LCD,2,7,7,7,6,2,2,1,1,0,0,0,1,0,3.24,"Hayne, Christie"
ACCY,304,31320,Accounting Control Systems,AE4,LCD,0,8,6,8,9,4,0,0,0,0,0,0,0,0,3.38,"Williamson, Michael"
ACCY,304,49280,Accounting Control Systems,AE5,LCD,0,9,7,4,12,3,0,0,0,0,0,0,0,1,3.4,"Williamson, Michael"
ACCY,304,62036,Accounting Control Systems,AE6,LCD,0,8,10,8,7,0,0,1,0,0,0,1,1,0,3.31,"Williamson, Michael"
ACCY,312,31321,Principles of Taxation,A,LCD,0,15,0,0,8,0,0,3,0,0,0,0,0,1,3.46,"Holder, Daniel E"
ACCY,312,31324,Principles of Taxation,B,LCD,13,5,2,1,5,3,2,0,1,0,0,0,0,0,3.5,"Penn, Michael W"
ACCY,312,31330,Principles of Taxation,C,LCD,2,7,2,1,8,8,2,0,0,0,0,0,0,0,3.22,"Vuong, Anh"
ACCY,312,45719,Principles of Taxation,F,LCD,1,10,5,1,4,1,0,0,0,0,1,0,3,2,3.13,"Penn, Michael W"
ACCY,312,45934,Principles of Taxation,G,LCD,10,5,2,8,3,3,0,1,0,0,0,0,0,0,3.53,"Vuong, Anh"
ACCY,398,61229,Practical Problems in Atg,A,ONL,0,23,0,0,1,0,0,0,0,0,0,0,1,0,3.8,"Hutchens, Matthew"
ACCY,405,36754,Assurance and Attestation,AE1,LCD,0,8,2,10,12,1,1,0,0,0,0,0,0,0,3.34,"Kink, Dawn M"
ACCY,405,36758,Assurance and Attestation,AE2,LCD,0,14,1,2,11,3,2,0,0,0,0,0,0,0,3.39,"Kink, Dawn M"
ACCY,405,36764,Assurance and Attestation,AE3,LCD,1,10,10,5,5,2,2,0,0,1,0,0,0,0,3.44,"Lullo, Michael J"
ACCY,405,36768,Assurance and Attestation,AE4,LCD,0,6,4,19,2,2,1,0,0,0,0,0,0,0,3.4,"Thompson, Anne M"
ACCY,405,36771,Assurance and Attestation,AE5,LCD,0,4,6,16,2,3,3,1,0,0,0,0,0,0,3.27,"Thompson, Anne M"
ACCY,405,54162,Assurance and Attestation,AE7,LCD,0,0,5,8,9,4,2,0,2,0,1,0,0,1,2.96,"Lullo, Michael J"
ACCY,410,61231,Advanced Financial Reporting,B3,LCD,5,9,4,2,5,5,0,1,1,0,0,0,0,1,3.43,"Kustanovich, Michael"
ACCY,410,62729,Advanced Financial Reporting,C3,LCD,9,12,3,3,2,1,1,0,0,0,2,0,0,1,3.56,"Kustanovich, Michael"
ACCY,410,62730,Advanced Financial Reporting,D3,LCD,2,15,5,2,7,2,0,0,0,0,0,0,0,0,3.6,"Ibrahim, Adel Nematallah"
ACCY,410,62731,Advanced Financial Reporting,E3,LCD,0,8,5,9,7,0,0,0,0,0,0,0,0,0,3.5,"Ibrahim, Adel Nematallah"
ACCY,410,62732,Advanced Financial Reporting,F3,LCD,1,5,3,1,2,6,1,2,1,0,1,0,2,0,2.78,"Kustanovich, Michael"
