Subject,Course,CRN,Course Title,Course Section,Sched Type,Term,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
AAS,100,41758,Intro Asian American Studies,AD1,DIS,120238,4,7,8,5,0,1,0,0,0,0,0,0,1,0,3.56,"Zheng, Reanne"
AAS,100,47100,Intro Asian American Studies,AD2,DIS,120238,7,9,1,2,4,0,0,0,2,1,0,0,0,0,3.5,"Zheng, Reanne"
AAS,100,47102,Intro Asian American Studies,AD3,DIS,120238,0,4,5,3,5,3,2,1,1,1,0,0,1,0,2.96,"Chapekar, Priyanka Anand"
AAS,100,51248,Intro Asian American Studies,AD4,DIS,120238,0,9,7,0,2,1,2,0,0,0,0,1,2,0,3.15,"Chapekar, Priyanka Anand"
AAS,100,51249,Intro Asian American Studies,AD5,DIS,120238,5,5,1,3,3,3,2,0,0,0,1,0,3,1,2.94,"Roy, Sayak"
AAS,100,51932,Intro Asian American Studies,AD6,DIS,120238,4,4,9,2,1,3,0,0,0,1,0,2,0,1,3.28,"Roy, Sayak"
AAS,100,59818,Intro Asian American Studies,AD7,DIS,120238,8,8,4,1,1,1,1,0,0,0,1,0,2,0,3.37,"Espiritu, Augusto F"
AAS,100,59819,Intro Asian American Studies,AD8,DIS,120238,6,7,3,2,3,1,0,1,0,0,0,0,0,0,3.62,"Wang, Yu"
AAS,100,59820,Intro Asian American Studies,AD9,DIS,120238,5,4,8,3,2,1,3,0,0,0,0,0,0,0,3.5,"Mukhopadhyay, Anirban"
AAS,100,59821,Intro Asian American Studies,ADA,DIS,120238,3,5,5,2,5,1,0,1,0,0,0,0,2,0,3.2,"Mukhopadhyay, Anirban"
AAS,200,67473,U.S. Race and Empire,C,LCD,120238,3,8,10,8,2,0,0,0,0,0,0,0,2,0,3.43,"Bui, Kevin X"
AAS,215,55765,US Citizenship Comparatively,A,LCD,120238,0,23,3,3,0,0,0,0,0,0,0,0,0,0,3.9,"Kashani, Maryam"
ABE,127,78644,Intro Agric & Biological Engr,RBH,LEC,120238,10,18,3,2,0,0,1,1,0,0,0,0,0,0,3.83,"Bhattarai, Rabin"
ABE,223,58927,ABE Principles: Machine Syst,AL1,LEC,120238,0,19,1,1,0,0,0,0,0,1,0,1,0,0,3.7,"Grift, Tony E"
ABE,224,58931,ABE Principles: Soil & Water,AL1,OLC,120238,5,16,0,3,0,0,0,0,0,0,1,0,0,0,3.8,"Kalita, Prasanta K"
ABE,232,75460,Context Intl Interventions,APW,LCD,120238,14,23,7,3,2,1,1,0,2,0,1,0,0,0,3.69,"Witmer, Ann-Perry"
ABE,430,64779,Project Management,AL1,OLC,120238,12,67,0,6,11,0,0,3,0,1,0,0,0,1,3.76,"Davidson, Paul C"
ACCY,200,39539,Fundamentals of Accounting,B,ONL,120238,57,70,17,21,10,7,3,0,2,0,0,0,2,0,3.7,"Zhang, Li"
ACCY,200,29670,Fundamentals of Accounting,OL,ONL,120238,89,87,42,34,17,14,5,2,3,0,2,0,0,0,3.67,"Green, Danielle H"
ACCY,201,36474,Accounting and Accountancy I,AL1,LEC,120238,48,48,20,26,26,20,9,15,14,1,10,3,5,1,3.11,"Fisher, Mitchell B"
ACCY,201,36477,Accounting and Accountancy I,AL2,LEC,120238,42,34,23,11,28,13,9,15,13,2,4,10,2,2,3.06,"Fisher, Mitchell B"
ACCY,202,36549,Accounting and Accountancy II,AL1,LEC,120238,42,71,14,27,41,17,16,13,8,0,7,0,0,1,3.3,"Shapland, Julia P"
ACCY,202,71328,Accounting and Accountancy II,AL2,LEC,120238,11,15,1,5,5,2,1,0,0,0,0,0,0,0,3.67,"Shapland, Julia P"
ACCY,301,36577,Atg Measurement & Disclosure,AE1,LCD,120238,3,7,2,0,1,3,4,3,2,0,0,0,2,0,2.85,"Wolfe, Karneisha T"
ACCY,301,36581,Atg Measurement & Disclosure,AE2,LCD,120238,9,3,4,6,2,4,0,1,0,0,0,1,0,0,3.4,"Wolfe, Karneisha T"
ACCY,301,36584,Atg Measurement & Disclosure,AE3,LCD,120238,1,6,8,5,6,0,2,2,1,0,0,0,0,0,3.3,"Johnson, Jennifer A"
ACCY,301,36587,Atg Measurement & Disclosure,AE4,LCD,120238,0,5,6,4,6,4,2,2,2,0,0,0,0,0,3.1,"Johnson, Jennifer A"
ACCY,301,36592,Atg Measurement & Disclosure,AE6,LCD,120238,9,5,3,4,2,3,1,1,2,0,0,0,0,0,3.4,"Wolfe, Karneisha T"
ACCY,301,36598,Atg Measurement & Disclosure,AE8,LCD,120238,2,5,2,6,4,3,1,2,2,0,1,0,0,0,3.07,"Johnson, Jennifer A"
ACCY,301,49255,Atg Measurement & Disclosure,AEB,LCD,120238,1,6,7,4,8,1,3,2,0,0,0,0,0,0,3.27,"Johnson, Jennifer A"
ACCY,302,36614,Decision Making for Atg,AE2,LCD,120238,6,6,5,6,5,3,0,0,1,0,0,0,0,1,3.47,"Samet, Jordan A"
ACCY,302,36618,Decision Making for Atg,AE3,LCD,120238,0,9,11,4,6,4,0,1,0,0,1,0,0,0,3.37,"Curtis, Susan M"
ACCY,302,36677,Decision Making for Atg,AE4,LCD,120238,7,4,6,6,4,5,2,1,0,0,0,0,0,0,3.37,"Samet, Jordan A"
ACCY,302,36680,Decision Making for Atg,AE5,LCD,120238,1,12,12,5,2,1,1,0,0,0,0,0,0,1,3.64,"Curtis, Susan M"
ACCY,302,36688,Decision Making for Atg,AE8,LCD,120238,1,10,7,4,2,1,2,3,1,2,0,0,0,1,3.23,"Curtis, Susan M"
ACCY,302,49258,Decision Making for Atg,AEA,LCD,120238,4,8,4,1,8,1,2,0,0,0,0,0,0,0,3.48,"Samet, Jordan A"
ACCY,303,36700,Atg Institutions and Reg,AE2,LCD,120238,11,7,3,2,2,0,0,1,3,1,1,1,0,0,3.3,"Godsell, David"
ACCY,303,36713,Atg Institutions and Reg,AE4,LCD,120238,5,10,7,0,2,0,2,3,1,0,2,0,0,0,3.31,"Godsell, David"
