CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Standard Deviation,% 4.0's
30107,AAS,100,Intro Asian American Studies,AD1,DIS,120131,"Arnaldo, Constancio",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41729,AAS,100,Intro Asian American Studies,AD2,DIS,120131,"Arnaldo, Constancio",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43832,AAS,100,Intro Asian American Studies,AD3,DIS,120131,"Davis, Thomas E",0,5,1,6,5,3,0,1,0,0,0,0,0,0,3.27,0.983776736,24%
48232,AAS,100,Intro Asian American Studies,AD4,DIS,120131,"Davis, Thomas E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
48234,AAS,100,Intro Asian American Studies,AD5,DIS,120131,"Carter, Regina S",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
50105,AAS,100,Intro Asian American Studies,AD6,DIS,120131,"Carter, Regina S",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51886,AAS,100,Intro Asian American Studies,B,LCD,120131,"Mariano, Lorena",0,11,11,4,3,3,0,1,0,0,0,0,0,0,3.54,1.16924477,33%
59194,AAS,120,Intro to Asian Am Pop Culture,B,LCD,120131,"Chin, Christina B",0,8,1,4,5,6,0,2,3,0,1,0,0,0,3,1.599218559,27%
52317,AAS,215,US Citizenship Comparatively,A,LCD,120131,"Cacho, Lisa M",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
57231,AAS,246,Asian American Youth in Film,A,LCD,120131,"Kwon, Soo Ah",1,21,4,3,4,1,0,0,0,0,0,0,0,0,3.75,0.943839676,65%
48574,AAS,299,Politics Hip Hop/Urban Space,DC,LCD,120131,"Coyoca, Wilfred D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
55769,AAS,315,"War, Memory, and Cinema",A,LCD,120131,"Ngo, Fiona",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46462,AAS,365,Asian American Media and Film,A,LCD,120131,"Ngo, Fiona",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
52839,AAS,561,Race and Cultural Critique,A,LCD,120131,"Rana, Junaid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
