Subject,Course,CRN,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
AAS,100,30107,Intro Asian American Studies,9,8,3,0,6,0,1,1,0,0,0,0,0,0,3.62,"Lee, Sang S"
AAS,100,41729,Intro Asian American Studies,7,5,5,4,3,3,2,2,1,1,0,0,0,0,3.28,"Lee, Sang S"
AAS,100,48232,Intro Asian American Studies,22,5,0,0,2,1,0,0,0,0,0,0,0,0,3.89,"Chung, Ga Young"
AAS,100,48234,Intro Asian American Studies,16,7,0,1,2,1,1,0,1,0,0,0,0,0,3.72,"Chung, Ga Young"
AAS,100,50105,Intro Asian American Studies,12,1,5,1,1,1,1,0,0,1,0,0,0,0,3.61,"Lee, Jean Y"
AAS,120,59194,Intro to Asian Am Pop Culture,1,15,3,2,3,1,1,0,0,0,0,0,0,1,3.68,"Eng, Christopher A"
AAS,200,64396,U.S. Race and Empire,7,7,3,1,0,2,1,0,0,0,0,0,0,0,3.71,"Sharif, Lila A"
AAS,215,52317,US Citizenship Comparatively,1,9,1,0,2,4,2,1,1,1,0,1,3,1,2.72,"Cacho, Lisa M"
ABE,141,54768,ABE Principles: Biological,0,18,12,10,3,3,0,0,0,0,2,0,4,0,3.24,"Bhalerao, Kaustubh"
ABE,225,57089,ABE Principles: Bioenvironment,3,17,2,4,8,2,1,0,1,0,0,0,1,0,3.44,"Zhang, Yuanhui"
ABE,226,57086,ABE Principles: Bioprocessing,2,5,13,6,4,4,2,1,0,0,0,0,0,0,3.38,"Singh, Vijay"
ABE,425,39997,Engrg Measurement Systems,1,30,3,3,0,1,1,0,0,0,0,0,0,0,3.85,"Grift, Tony E"
ABE,436,47444,Renewable Energy Systems,4,8,5,12,7,5,3,1,0,0,1,0,1,0,3.21,"Wang, Xinlei"
ABE,446,51916,Biological Nanoengineering,1,6,12,2,0,1,0,0,0,0,0,0,0,0,3.7,"Bhalerao, Kaustubh"
ACCY,200,45418,Fundamentals of Accounting,7,24,22,19,14,14,16,8,4,3,1,0,2,0,3.08,"Silhan, Peter A"
ACCY,200,30111,Fundamentals of Accounting,8,11,7,3,0,1,0,0,0,0,0,0,0,0,3.81,"Li, Wei"
ACCY,201,30112,Accounting and Accountancy I,4,5,6,3,5,6,3,5,4,0,2,0,4,1,2.65,"Gebhardt, Abbey L"
ACCY,201,30113,Accounting and Accountancy I,4,9,7,6,5,4,0,3,2,0,6,0,1,0,2.95,"Gebhardt, Abbey L"
ACCY,201,30115,Accounting and Accountancy I,4,7,7,7,6,3,3,3,2,0,8,0,0,1,2.87,"Jones, Brock A"
ACCY,201,30116,Accounting and Accountancy I,1,4,5,4,6,7,3,3,3,0,3,0,3,2,2.6,"Pietura, Magdalena"
ACCY,201,30117,Accounting and Accountancy I,2,4,11,5,5,3,3,3,1,0,2,0,3,2,2.87,"Pietura, Magdalena"
ACCY,201,45631,Accounting and Accountancy I,5,10,8,6,6,3,5,1,1,0,3,0,0,2,3.2,"Jones, Brock A"
ACCY,202,30147,Accounting and Accountancy II,2,9,0,3,6,3,3,2,2,0,0,0,0,0,3.14,"Shen, Haoqing"
ACCY,202,30121,Accounting and Accountancy II,2,3,1,7,9,3,3,2,1,0,0,0,0,0,3.05,"Shen, Haoqing"
ACCY,202,30123,Accounting and Accountancy II,3,3,1,5,7,3,4,0,2,0,2,0,0,1,2.93,"Valentine, Courtney M"
ACCY,202,30140,Accounting and Accountancy II,3,4,1,7,7,2,2,1,2,0,0,0,0,0,3.15,"Silver, Paige R"
ACCY,202,30143,Accounting and Accountancy II,4,3,2,15,4,4,1,0,0,0,1,0,1,1,3.18,"Waddock, Madeleine K"
ACCY,202,30151,Accounting and Accountancy II,4,8,0,7,5,5,2,1,2,0,1,0,0,0,3.16,"Waddock, Madeleine K"
ACCY,202,30155,Accounting and Accountancy II,3,4,2,9,7,4,1,4,1,0,0,0,0,0,3.11,"Agapito, Christina N"
ACCY,202,30159,Accounting and Accountancy II,3,10,1,8,3,5,2,2,1,0,0,0,0,0,3.29,"Valentine, Courtney M"
ACCY,202,30161,Accounting and Accountancy II,5,4,3,6,6,2,2,5,0,0,1,0,0,0,3.12,"Silver, Paige R"
ACCY,202,30164,Accounting and Accountancy II,1,5,2,6,8,2,3,0,2,0,3,0,0,1,2.94,"Agapito, Christina N"
ACCY,202,30168,Accounting and Accountancy II,1,4,4,3,11,5,1,2,1,0,1,0,0,0,3.03,"Coady, Jennifer J"
ACCY,202,30171,Accounting and Accountancy II,1,4,2,12,6,0,4,2,1,0,0,0,0,0,3.13,"Chen, Monica S"
ACCY,202,30176,Accounting and Accountancy II,2,6,0,6,9,2,3,3,2,0,0,0,0,1,3.05,"Schraiber, Rebecca L"
ACCY,202,30179,Accounting and Accountancy II,1,4,2,7,7,3,4,2,2,0,0,0,0,0,3.01,"Schraiber, Rebecca L"
ACCY,202,30182,Accounting and Accountancy II,2,3,2,8,4,5,3,1,4,0,0,0,0,0,2.97,"Coady, Jennifer J"
ACCY,202,30186,Accounting and Accountancy II,2,6,2,9,5,4,0,1,1,0,0,0,0,0,3.29,"Chen, Monica S"
ACCY,301,30192,Atg Measurement & Disclosure,4,3,4,3,5,2,1,0,1,2,0,1,4,1,2.68,"Davis, Gregory L"
ACCY,301,30195,Atg Measurement & Disclosure,8,8,5,2,5,1,3,2,0,0,0,0,0,0,3.46,"Davis, Gregory L"
ACCY,301,30197,Atg Measurement & Disclosure,8,8,8,2,3,1,1,1,0,1,0,0,0,0,3.56,"Davis, Gregory L"
ACCY,301,30200,Atg Measurement & Disclosure,7,5,9,7,2,1,1,0,0,0,0,1,0,1,3.52,"Winn, Amanda M"
ACCY,301,30201,Atg Measurement & Disclosure,4,3,8,7,5,1,3,3,1,0,0,0,0,0,3.23,"Winn, Amanda M"
ACCY,301,30203,Atg Measurement & Disclosure,1,10,4,5,5,3,3,1,1,1,1,0,0,0,3.18,"Winn, Amanda M"
ACCY,302,60043,Decision Making for Atg,0,8,7,10,4,1,4,0,0,0,0,0,0,0,3.38,"Fanning, Kirsten B"
ACCY,302,30211,Decision Making for Atg,0,4,12,7,6,2,3,1,1,0,0,0,0,0,3.26,"Fanning, Kirsten B"
ACCY,302,30212,Decision Making for Atg,0,8,4,6,9,5,2,0,1,1,0,0,0,0,3.19,"Finnegan, Thomas"
