Subject,Course ,CRN,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
AAS,100,41729,Intro Asian American Studies,3,6,4,0,3,2,3,2,0,1,0,0,0,0,3.22,"Paik, Angela N"
AAS,100,43832,Intro Asian American Studies,1,4,5,4,7,1,1,1,0,1,0,0,0,0,3.24,"Kang, Yoonjung"
AAS,100,48232,Intro Asian American Studies,5,10,5,3,2,2,0,1,1,0,1,1,0,0,3.39,"Paik, Angela N"
AAS,100,48234,Intro Asian American Studies,1,5,4,4,3,1,1,1,1,0,2,0,0,1,3.12,"Paik, Angela N"
AAS,215,52317,US Citizenship Comparatively,4,4,5,3,4,2,0,1,1,0,0,0,1,0,3.25,"Cacho, Lisa M"
AAS,258,51119,Muslims in America,0,9,8,1,0,0,1,0,1,0,0,0,1,0,3.46,"Rana, Junaid"
ABE,141,54768,ABE Principles: Biological,0,25,19,4,0,1,0,0,1,0,0,0,0,1,3.75,"Bhalerao, Kaustubh"
ABE,225,57089,ABE Principles: Bioenvironment,3,3,5,5,11,1,0,0,1,0,0,0,1,0,3.21,"Zhang, Yuanhui"
ABE,226,57086,ABE Principles: Bioprocessing,2,10,5,0,5,3,4,0,0,0,0,0,2,0,3.18,"Singh, Vijay"
ABE,425,39997,Engrg Measurement Systems,3,20,3,2,2,0,1,0,0,0,0,0,0,0,3.81,"Grift, Tony E"
ABE,469,29872,Industry-Linked Design Project,3,17,20,1,3,2,0,0,0,0,0,0,0,0,3.72,"Zahos, Stephen C"
ABE,598,65726,Autonomous Decision Making,3,13,5,3,1,0,0,0,0,0,0,0,0,1,3.81,"Chowdhary, Girish"
ACCY,200,45418,Fundamentals of Accounting,2,32,16,18,13,12,10,7,2,1,3,1,2,1,3.12,"Silhan, Peter A"
ACCY,200,30111,Fundamentals of Accounting,9,17,4,0,3,2,0,0,0,0,0,0,0,0,3.8,"Zhang, Li"
ACCY,201,30112,Accounting and Accountancy I,4,7,9,5,5,1,3,4,0,0,0,0,4,0,3.01,"Sylvestri, Ross J"
ACCY,201,30113,Accounting and Accountancy I,10,4,9,8,2,6,0,0,1,0,4,0,1,0,3.19,"Sylvestri, Ross J"
ACCY,201,30115,Accounting and Accountancy I,14,7,5,5,3,2,3,0,3,0,1,0,1,0,3.33,"Leman, Grant W"
ACCY,201,30116,Accounting and Accountancy I,8,3,3,5,5,7,4,1,2,0,4,0,0,0,2.95,"Hennessy, Thomas J"
ACCY,201,30117,Accounting and Accountancy I,6,3,7,5,5,2,2,1,5,0,6,0,3,1,2.66,"Hennessy, Thomas J"
ACCY,201,45631,Accounting and Accountancy I,11,12,12,2,4,3,1,0,0,0,2,0,0,0,3.55,"Leman, Grant W"
ACCY,202,30147,Accounting and Accountancy II,3,5,1,2,5,5,4,1,1,0,1,0,0,0,3.02,"Wu, Tony Y"
ACCY,202,30121,Accounting and Accountancy II,2,6,1,5,8,2,0,3,1,0,0,0,0,1,3.19,"Wu, Tony Y"
ACCY,202,30123,Accounting and Accountancy II,3,3,4,2,12,1,2,1,0,0,1,0,0,0,3.16,"McDermott, John P"
ACCY,202,30140,Accounting and Accountancy II,1,8,2,4,6,1,4,1,1,0,1,0,0,1,3.15,"Christiansen, Ryan S"
ACCY,202,30143,Accounting and Accountancy II,4,4,1,3,9,0,3,1,0,0,1,0,0,2,3.18,"Ye, Yina"
ACCY,202,30151,Accounting and Accountancy II,5,10,1,6,6,0,2,1,2,0,0,0,0,0,3.38,"McDermott, John P"
ACCY,202,30159,Accounting and Accountancy II,4,5,0,4,6,5,4,1,1,0,1,0,0,0,3.05,"Ye, Yina"
ACCY,202,30161,Accounting and Accountancy II,4,4,1,7,4,2,0,1,2,0,3,0,1,0,2.92,"Christiansen, Ryan S"
ACCY,202,30168,Accounting and Accountancy II,1,3,4,3,8,1,4,4,1,0,0,0,0,0,2.98,"Arends, Alyssa M"
ACCY,202,30171,Accounting and Accountancy II,0,3,1,6,8,3,2,2,2,0,0,0,1,1,2.85,"Ducker, Merik R"
ACCY,202,30176,Accounting and Accountancy II,3,7,1,7,7,1,1,3,0,0,2,0,0,0,3.16,"Balkan, Alexander C"
ACCY,202,30179,Accounting and Accountancy II,3,5,2,5,6,3,2,1,0,0,0,0,0,0,3.28,"Balkan, Alexander C"
ACCY,202,30182,Accounting and Accountancy II,4,3,1,5,8,1,2,3,1,0,0,0,0,0,3.12,"Arends, Alyssa M"
ACCY,202,30186,Accounting and Accountancy II,0,7,1,4,8,1,4,4,0,0,1,0,0,0,3,"Ducker, Merik R"
ACCY,301,30192,Atg Measurement & Disclosure,1,6,2,3,5,1,0,1,1,1,0,0,2,0,2.96,"Davis, Gregory L"
ACCY,301,30195,Atg Measurement & Disclosure,5,12,5,3,5,1,1,1,0,0,1,1,0,0,3.43,"Davis, Gregory L"
ACCY,301,30197,Atg Measurement & Disclosure,5,8,3,3,4,1,3,0,1,0,0,1,0,0,3.34,"Davis, Gregory L"
ACCY,301,30200,Atg Measurement & Disclosure,3,6,10,1,4,2,3,1,0,1,0,0,1,0,3.24,"Mendoza, Kimberly"
ACCY,301,30201,Atg Measurement & Disclosure,7,7,5,2,1,3,4,1,1,0,0,0,0,0,3.39,"Mendoza, Kimberly"
ACCY,301,30203,Atg Measurement & Disclosure,2,4,8,4,8,4,1,1,0,0,0,0,0,0,3.3,"Mendoza, Kimberly"
ACCY,302,60043,Decision Making for Atg,0,5,3,5,9,1,1,1,0,0,0,0,0,0,3.27,"Fanning, Kirsten B"
ACCY,302,30211,Decision Making for Atg,0,2,9,4,2,2,1,1,0,0,1,0,0,0,3.23,"Fanning, Kirsten B"
ACCY,302,30212,Decision Making for Atg,0,4,9,8,0,1,3,0,1,0,0,0,0,0,3.35,"Finnegan, Thomas"
ACCY,302,30216,Decision Making for Atg,0,6,8,2,2,5,2,0,0,0,0,0,0,0,3.36,"Shin, Jae Yong"
ACCY,302,30228,Decision Making for Atg,0,1,7,8,8,3,0,0,0,0,0,0,0,0,3.27,"Finnegan, Thomas"
