Subject,Course ,CRN,Course Title,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
AAS,100,69781,Intro Asian American Studies,LCD,2,13,4,3,3,2,0,3,1,0,0,0,2,0,3.23,"Espiritu, Augusto F"
AAS,100,30107,Intro Asian American Studies,DIS,1,5,9,1,3,1,0,0,1,0,0,0,1,0,3.35,"Thomas, Merin A"
AAS,100,41729,Intro Asian American Studies,DIS,0,7,9,3,2,3,0,0,0,0,0,0,2,0,3.27,"Thomas, Merin A"
AAS,100,43832,Intro Asian American Studies,DIS,0,8,7,1,4,5,1,0,1,1,0,0,0,1,3.28,"Lee, Sang S"
AAS,100,48232,Intro Asian American Studies,DIS,0,7,4,2,5,5,0,2,0,1,0,0,2,0,2.97,"Lee, Sang S"
AAS,100,48234,Intro Asian American Studies,DIS,1,7,3,1,3,2,3,3,0,0,0,1,0,0,3.1,"Kang, Yoonjung"
AAS,100,50105,Intro Asian American Studies,DIS,1,5,4,0,3,6,1,2,1,0,1,0,0,1,3.03,"Kang, Yoonjung"
AAS,215,52317,US Citizenship Comparatively,LCD,16,9,1,0,1,0,0,0,1,1,0,0,0,0,3.78,"Kwon, Soo Ah"
ABE,225,57089,ABE Principles: Bioenvironment,LCD,0,7,4,4,10,9,3,1,3,1,2,0,0,0,2.89,"Zhang, Yuanhui"
ABE,226,57086,ABE Principles: Bioprocessing,LCD,11,10,10,2,4,4,1,1,1,1,0,0,2,0,3.35,"Singh, Vijay"
ABE,425,39997,Engrg Measurement Systems,LCD,1,26,2,4,7,0,1,1,0,0,0,0,0,0,3.67,"Grift, Tony E"
ABE,469,29872,Industry-Linked Design Project,LCD,1,14,5,6,3,3,0,0,1,0,0,0,0,0,3.55,"Kalita, Prasanta K"
ABE,498,69694,Special Topics,LCD,0,13,6,2,0,0,0,0,0,0,0,0,0,0,3.84,"Wang, Xinlei"
ACCY,200,45418,Fundamentals of Accounting,ONL,5,61,30,32,26,18,16,9,6,2,1,3,1,3,3.23,"Silhan, Peter A"
ACCY,200,30111,Fundamentals of Accounting,LCD,12,14,1,2,0,0,0,0,0,0,0,0,0,0,3.94,"Zhang, Li"
ACCY,201,30112,Accounting and Accountancy I,DIS,4,6,1,6,5,2,0,2,0,0,0,1,4,1,2.86,"Sweetwood, Jason A"
ACCY,201,30113,Accounting and Accountancy I,DIS,4,5,2,6,7,5,3,0,0,0,1,0,1,0,3.11,"Fisher, Mitchell B"
ACCY,201,30114,Accounting and Accountancy I,DIS,6,3,5,1,6,4,4,2,2,0,0,0,0,0,3.12,"Fisher, Mitchell B"
ACCY,201,30115,Accounting and Accountancy I,DIS,7,3,4,4,2,2,4,4,0,0,1,1,0,0,3.07,"Fisher, Mitchell B"
ACCY,201,30116,Accounting and Accountancy I,DIS,1,3,5,4,7,3,4,1,0,0,0,0,2,0,2.93,"Fisher, Mitchell B"
ACCY,201,30117,Accounting and Accountancy I,DIS,0,7,4,2,3,2,4,2,1,0,2,1,0,0,2.91,"Fisher, Mitchell B"
ACCY,201,45631,Accounting and Accountancy I,DIS,5,10,6,1,3,3,0,0,1,1,1,0,1,0,3.32,"Fisher, Mitchell B"
ACCY,201,68828,Accounting and Accountancy I,DIS,3,7,5,3,2,2,3,2,0,1,0,1,1,0,3.09,"Fisher, Mitchell B"
ACCY,201,68829,Accounting and Accountancy I,DIS,4,6,2,5,3,4,1,1,1,0,1,0,2,1,3.02,"Fisher, Mitchell B"
ACCY,201,68830,Accounting and Accountancy I,DIS,2,3,1,8,5,1,1,1,4,1,2,1,0,0,2.77,"Fisher, Mitchell B"
ACCY,201,68831,Accounting and Accountancy I,DIS,3,7,2,4,6,3,1,1,4,2,0,0,0,0,3.04,"Fisher, Mitchell B"
ACCY,202,30147,Accounting and Accountancy II,DIS,7,8,1,7,3,3,0,1,2,0,0,0,0,0,3.42,"Shapland, Julia P"
ACCY,202,30121,Accounting and Accountancy II,DIS,3,6,0,2,7,6,3,2,1,0,1,0,0,0,3.01,"Shapland, Julia P"
ACCY,202,30123,Accounting and Accountancy II,DIS,7,8,3,4,10,0,2,0,2,0,1,0,0,0,3.33,"Shapland, Julia P"
ACCY,202,30140,Accounting and Accountancy II,DIS,2,8,2,5,10,1,2,0,2,0,2,0,0,0,3.14,"Shapland, Julia P"
