Subject,Course,CRN,Course Title,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
AAS,100,30107,Intro Asian American Studies,DIS,12,12,1,0,2,1,0,1,0,0,0,0,1,0,3.68,"Boonsripaisal, Simon"
AAS,100,41729,Intro Asian American Studies,DIS,5,12,4,1,4,1,2,0,0,0,0,0,1,0,3.51,"Boonsripaisal, Simon"
AAS,100,43832,Intro Asian American Studies,DIS,0,8,7,3,6,3,2,0,2,0,0,0,0,0,3.28,"Uhall, Michael B"
AAS,100,48232,Intro Asian American Studies,DIS,8,6,2,0,4,1,1,2,1,0,0,0,0,0,3.44,"Uhall, Michael B"
AAS,100,48234,Intro Asian American Studies,DIS,5,4,3,1,4,1,1,2,1,1,0,1,1,0,3,"Kang, Yoonjung"
AAS,100,50105,Intro Asian American Studies,DIS,3,6,2,1,5,0,3,2,0,0,0,0,3,0,2.91,"Kang, Yoonjung"
AAS,100,54572,Intro Asian American Studies,DIS,3,14,0,0,11,1,0,3,0,0,0,0,0,0,3.43,"Park, Doo Jae"
AAS,100,51886,Intro Asian American Studies,DIS,4,15,0,1,3,0,0,7,0,1,0,0,1,0,3.24,"Park, Doo Jae"
AAS,100,70761,Intro Asian American Studies,LCD,3,4,9,5,3,1,1,2,3,0,0,0,1,0,3.15,"Thomas, Merin A"
AAS,100,70762,Intro Asian American Studies,LCD,0,17,3,1,3,2,0,2,1,0,0,0,0,0,3.53,"Lee, Sang S"
AAS,215,52317,US Citizenship Comparatively,LCD,7,16,2,2,2,0,0,3,0,0,0,0,0,0,3.69,"Compoc, Kimberly M"
AAS,258,51119,Muslims in America,LCD,3,19,1,1,0,1,0,0,0,0,0,0,0,0,3.91,"Rana, Junaid"
ABE,225,57089,ABE Principles: Bioenvironment,LCD,1,8,2,7,16,1,1,1,0,0,2,0,1,1,3.09,"Zhang, Yuanhui"
ABE,226,57086,ABE Principles: Bioprocessing,LCD,2,7,11,6,5,7,1,2,0,0,0,0,0,0,3.33,"Singh, Vijay"
ABE,425,39997,Engrg Measurement Systems,LCD,5,22,5,6,3,0,0,1,0,0,0,0,0,0,3.75,"Grift, Tony E"
ABE,469,70549,Industry-Linked Design Project,LCD,4,14,7,4,1,1,0,2,0,0,0,0,0,0,3.66,"Witmer, Ann-Perry"
ACCY,200,45418,Fundamentals of Accounting,ONL,11,61,54,36,23,45,31,23,13,1,3,0,1,0,3.11,"Silhan, Peter A"
ACCY,200,30111,Fundamentals of Accounting,ONL,23,11,3,2,2,0,0,0,0,0,0,0,0,0,3.89,
ACCY,201,30112,Accounting and Accountancy I,DIS,6,10,5,4,5,3,0,1,0,0,0,0,1,0,3.45,"Sumbada, Jason"
ACCY,201,30113,Accounting and Accountancy I,DIS,8,7,3,7,3,0,2,6,1,0,1,0,0,0,3.23,
ACCY,201,30114,Accounting and Accountancy I,DIS,5,9,3,1,7,2,3,2,0,0,1,0,0,0,3.29,
ACCY,201,30115,Accounting and Accountancy I,DIS,3,15,3,3,4,3,3,2,0,0,0,0,1,0,3.35,
ACCY,201,30116,Accounting and Accountancy I,DIS,6,10,6,5,4,1,2,3,1,0,0,0,0,0,3.41,
ACCY,201,30117,Accounting and Accountancy I,DIS,6,9,5,4,3,2,4,1,0,0,1,0,1,0,3.29,
ACCY,201,45631,Accounting and Accountancy I,DIS,3,11,7,5,3,2,3,1,0,0,0,0,1,0,3.38,
ACCY,201,68828,Accounting and Accountancy I,DIS,7,8,10,7,3,3,1,0,0,1,0,0,0,0,3.52,
ACCY,201,68829,Accounting and Accountancy I,DIS,12,11,7,2,2,1,1,1,0,0,1,0,0,0,3.64,
ACCY,201,68830,Accounting and Accountancy I,DIS,2,7,5,6,6,1,4,3,0,1,1,0,0,0,3.13,
ACCY,201,68831,Accounting and Accountancy I,DIS,3,12,6,3,4,3,1,2,1,0,0,0,1,0,3.33,
ACCY,201,70222,Accounting and Accountancy I,DIS,10,10,2,6,4,3,3,0,0,0,0,0,0,0,3.53,
ACCY,202,30147,Accounting and Accountancy II,DIS,5,10,1,6,6,3,1,3,0,0,0,0,0,0,3.37,
ACCY,202,30121,Accounting and Accountancy II,DIS,3,6,0,3,4,2,2,1,0,0,0,0,0,0,3.33,
ACCY,202,30123,Accounting and Accountancy II,DIS,6,6,1,1,11,1,1,2,0,0,0,0,0,0,3.34,
ACCY,202,30134,Accounting and Accountancy II,DIS,4,7,1,7,7,6,0,1,1,0,0,0,0,0,3.28,
ACCY,202,30138,Accounting and Accountancy II,DIS,4,5,2,4,10,4,2,2,1,0,0,0,0,0,3.17,
ACCY,202,30140,Accounting and Accountancy II,DIS,1,10,0,5,1,3,7,1,1,0,0,0,0,0,3.16,
ACCY,202,30143,Accounting and Accountancy II,DIS,1,5,0,8,5,3,4,0,0,0,0,0,0,0,3.19,
ACCY,202,30151,Accounting and Accountancy II,DIS,4,9,1,5,6,2,3,2,2,0,0,0,0,0,3.24,"O'Neill, Peyton D"
ACCY,202,30159,Accounting and Accountancy II,DIS,2,14,1,6,4,0,2,3,1,0,0,0,0,0,3.39,"Siebert, Julia E"
ACCY,202,30161,Accounting and Accountancy II,DIS,2,7,2,8,12,0,2,2,0,0,0,0,0,0,3.28,"McNamee, Daniel B"
ACCY,202,30168,Accounting and Accountancy II,DIS,4,7,1,5,12,3,0,1,0,0,0,0,0,0,3.34,"Li, Xiongjie"
ACCY,202,30171,Accounting and Accountancy II,DIS,4,6,1,5,10,4,2,2,1,0,0,0,0,0,3.18,"Boals, Jennifer L"
ACCY,202,30176,Accounting and Accountancy II,DIS,3,7,1,4,8,3,2,1,0,0,0,0,0,0,3.3,"Kwon, Jieun"
ACCY,202,30179,Accounting and Accountancy II,DIS,0,10,3,5,5,3,2,3,0,0,0,0,0,0,3.27,"Kwon, Jieun"
ACCY,202,30182,Accounting and Accountancy II,DIS,5,8,1,1,12,3,3,0,1,0,0,0,0,0,3.28,"Li, Xiongjie"
ACCY,202,30186,Accounting and Accountancy II,DIS,3,8,1,4,6,1,3,3,0,0,0,0,0,0,3.26,"Boals, Jennifer L"
ACCY,301,30192,Atg Measurement & Disclosure,LCD,1,7,4,6,4,2,1,0,1,0,0,0,0,0,3.38,"Davis, Gregory L"
ACCY,301,30195,Atg Measurement & Disclosure,LCD,0,4,5,3,9,3,2,0,0,0,0,0,0,0,3.23,"Davis, Gregory L"
ACCY,301,30197,Atg Measurement & Disclosure,LCD,2,4,6,4,6,2,1,0,0,1,0,0,0,0,3.32,"Mendoza, Scott A"
ACCY,301,30200,Atg Measurement & Disclosure,LCD,1,5,8,6,3,1,2,0,1,0,0,0,0,0,3.38,"Anderson, Spencer B"
ACCY,301,30201,Atg Measurement & Disclosure,LCD,5,2,3,5,2,2,1,0,1,0,0,0,0,0,3.38,"Anderson, Spencer B"
ACCY,301,30203,Atg Measurement & Disclosure,LCD,5,2,4,5,5,3,1,1,0,0,0,0,0,0,3.33,"Anderson, Spencer B"
ACCY,302,60043,Decision Making for Atg,LCD,0,10,7,3,5,1,0,1,0,0,0,0,0,0,3.53,"Herbold, T J"
ACCY,302,30211,Decision Making for Atg,LCD,0,12,3,2,3,0,2,0,1,0,0,0,0,0,3.52,"Herbold, T J"
ACCY,302,30212,Decision Making for Atg,LCD,1,10,6,6,3,0,1,0,0,0,0,0,0,0,3.6,"Curtis, Susan M"
ACCY,302,30228,Decision Making for Atg,LCD,0,3,10,9,3,1,0,0,0,0,0,0,0,0,3.47,"Curtis, Susan M"
ACCY,302,30232,Decision Making for Atg,LCD,0,9,4,7,6,0,0,0,0,0,0,0,0,0,3.54,"Herbold, T J"
ACCY,302,30255,Decision Making for Atg,LCD,4,5,8,8,4,1,0,0,0,0,0,0,0,0,3.56,"Zhang, Zheng"
ACCY,303,30267,Atg Institutions and Reg,LCD,0,13,6,4,6,2,0,0,1,0,0,0,0,0,3.51,"Hamm, Brian K"
ACCY,303,30271,Atg Institutions and Reg,LCD,6,10,5,1,4,1,3,0,4,0,0,0,0,0,3.35,"Schwartz, Rachel"
ACCY,303,30274,Atg Institutions and Reg,LCD,0,6,2,0,6,6,1,1,1,1,0,0,1,0,2.91,"Hamm, Brian K"
ACCY,303,30276,Atg Institutions and Reg,LCD,0,14,5,2,5,2,1,1,0,1,2,0,0,0,3.3,"Hamm, Brian K"
