Subject,Course,CRN,Course Title,Section,Sched Type,Term,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
AAS,100,30107,Intro Asian American Studies,AD1,OD,120211,14,9,0,2,2,0,0,0,1,1,0,1,0,0,3.61,"Boonsripaisal, Simon"
AAS,100,41729,Intro Asian American Studies,AD2,OD,120211,12,8,1,2,0,2,0,1,0,0,0,0,3,0,3.37,"Boonsripaisal, Simon"
AAS,100,43832,Intro Asian American Studies,AD3,OD,120211,0,13,8,1,3,0,1,0,0,0,1,0,1,0,3.47,"Guruparan, Akil"
AAS,100,48232,Intro Asian American Studies,AD4,OD,120211,0,11,8,2,3,1,0,0,0,0,0,0,1,0,3.53,"Guruparan, Akil"
AAS,100,48234,Intro Asian American Studies,AD5,OD,120211,1,8,5,4,1,1,0,0,1,0,0,0,2,0,3.26,"Kang, Yoonjung"
AAS,100,50105,Intro Asian American Studies,AD6,OD,120211,2,4,11,4,5,0,0,0,0,0,1,0,0,0,3.47,"Kang, Yoonjung"
AAS,100,54572,Intro Asian American Studies,AD7,OD,120211,2,19,1,1,2,0,0,1,0,0,0,0,1,0,3.67,"Wang, Yu"
AAS,100,51886,Intro Asian American Studies,AD8,OD,120211,3,19,1,2,1,0,1,1,0,0,0,0,1,0,3.64,"Wang, Yu"
AAS,100,70761,Intro Asian American Studies,AD9,OD,120211,3,18,2,0,1,0,3,1,0,0,1,0,0,0,3.6,"Horton, Christina M"
AAS,100,70762,Intro Asian American Studies,ADA,OD,120211,4,16,2,1,1,0,2,2,0,0,0,0,0,0,3.65,"Horton, Christina M"
AAS,215,52317,US Citizenship Comparatively,A,ONL,120211,7,0,8,8,1,1,2,0,0,1,2,0,1,0,3.15,"Tabares, Leland"
AAS,246,66231,Asian American Youth in Film,B,ONL,120211,23,11,0,0,0,0,0,0,0,0,0,0,1,0,3.89,"Kwon, Soo Ah"
AAS,258,51119,Muslims in America,A,ONL,120211,1,16,4,1,0,0,0,0,1,0,1,1,0,0,3.57,"Rana, Junaid"
ABE,225,57089,ABE Principles: Bioenvironment,AE1,OLC,120211,3,5,3,7,4,0,2,1,0,0,0,1,0,0,3.29,"Zhang, Yuanhui"
ABE,226,57086,ABE Principles: Bioprocessing,AE1,OLC,120211,3,2,5,3,2,4,0,0,1,0,1,1,1,0,2.97,"Singh, Vijay"
ABE,425,39997,Engrg Measurement Systems,AE1,OLC,120211,11,26,0,0,1,0,0,0,0,0,0,0,0,0,3.97,"Grift, Tony E"
ABE,457,51989,NPS Pollution Processes,RBH,ONL,120211,1,12,7,4,2,1,1,0,1,0,0,0,0,0,3.58,"Bhattarai, Rabin"
ABE,469,70549,Industry-Linked Design Project,APW,OD,120211,4,15,5,3,1,0,0,0,0,0,0,0,0,0,3.83,"Witmer, Ann-Perry"
ACCY,200,45418,Fundamentals of Accounting,OL,ONL,120211,14,67,47,40,31,29,31,30,14,9,5,4,4,0,3,"Silhan, Peter A"
ACCY,200,30111,Fundamentals of Accounting,TM,OLC,120211,13,17,3,3,0,0,0,0,0,0,0,0,0,0,3.92,"Zhang, Li"
ACCY,201,30118,Accounting and Accountancy I,AL1,OLC,120211,18,26,13,10,24,14,15,8,16,9,16,10,14,0,2.48,"Fisher, Mitchell B"
ACCY,201,68539,Accounting and Accountancy I,AL2,OLC,120211,12,15,18,11,17,16,10,23,13,22,12,8,13,0,2.33,"Fisher, Mitchell B"
ACCY,201,51202,Accounting and Accountancy I,AL3,OLC,120211,10,11,3,2,4,4,0,1,1,0,0,1,1,0,3.39,"Fisher, Mitchell B"
ACCY,202,30119,Accounting and Accountancy II,AL1,OLC,120211,16,35,18,45,74,29,17,16,14,0,5,0,0,0,3.05,"Shapland, Julia P"
ACCY,202,30120,Accounting and Accountancy II,AL2,OLC,120211,11,29,12,25,40,11,10,11,14,0,5,0,0,0,3.04,"Shapland, Julia P"
ACCY,202,69229,Accounting and Accountancy II,AL3,OLC,120211,6,14,5,8,5,0,0,1,0,0,0,0,0,0,3.64,"Shapland, Julia P"
ACCY,301,30192,Atg Measurement & Disclosure,AE1,OLC,120211,0,6,7,4,7,4,2,3,0,1,0,0,0,0,3.14,"Davis, Gregory L"
ACCY,301,30195,Atg Measurement & Disclosure,AE2,LCD,120211,1,5,7,4,1,2,1,0,0,1,0,0,0,0,3.41,"Davis, Gregory L"
ACCY,301,30197,Atg Measurement & Disclosure,AE3,LCD,120211,1,6,8,6,2,1,0,0,0,0,0,0,0,0,3.58,"Davis, Gregory L"
ACCY,301,30200,Atg Measurement & Disclosure,AE4,OLC,120211,6,7,6,2,5,1,4,0,1,1,0,0,1,0,3.26,"Anderson, Spencer B"
ACCY,301,30201,Atg Measurement & Disclosure,AE5,OLC,120211,5,7,9,5,3,3,1,0,0,0,0,0,1,0,3.44,"Anderson, Spencer B"
ACCY,301,30203,Atg Measurement & Disclosure,AE6,OLC,120211,2,8,5,6,3,3,0,3,0,1,0,0,0,0,3.31,"Anderson, Spencer B"
ACCY,302,60043,Decision Making for Atg,AE1,OLC,120211,8,9,10,5,2,3,0,1,0,0,0,0,1,0,3.52,"Sani, Jalal"
ACCY,302,30211,Decision Making for Atg,AE2,OLC,120211,6,12,9,5,3,0,1,0,0,0,0,0,1,0,3.59,"Sani, Jalal"
ACCY,302,30212,Decision Making for Atg,AE3,OLC,120211,2,18,10,3,3,0,0,0,1,1,0,0,0,0,3.65,"Curtis, Susan M"
ACCY,302,30228,Decision Making for Atg,AE5,OLC,120211,1,10,11,9,3,1,0,0,2,0,0,1,0,0,3.42,"Curtis, Susan M"
ACCY,302,30232,Decision Making for Atg,AE6,OLC,120211,4,9,13,4,2,3,4,0,0,0,0,0,0,0,3.5,"Sani, Jalal"
ACCY,303,30267,Atg Institutions and Reg,AE2,OLC,120211,2,15,7,4,4,6,1,1,1,0,0,0,0,0,3.44,"Mendoza, Scott A"
ACCY,303,30271,Atg Institutions and Reg,AE3,OLC,120211,5,7,7,4,6,3,1,1,1,0,0,1,0,0,3.32,"Schwartz, Rachel"
ACCY,303,30274,Atg Institutions and Reg,AE4,OLC,120211,1,10,3,9,4,2,3,3,2,1,0,1,0,0,3.09,"Mendoza, Scott A"
ACCY,303,30276,Atg Institutions and Reg,AE5,OLC,120211,8,15,3,3,3,1,1,3,2,1,1,0,0,0,3.38,"Mendoza, Scott A"
ACCY,303,30278,Atg Institutions and Reg,AE6,OLC,120211,10,9,4,6,3,2,2,2,2,0,0,0,0,0,3.43,"Schwartz, Rachel"
ACCY,303,46358,Atg Institutions and Reg,AE7,OLC,120211,5,9,5,6,4,3,0,2,0,2,0,2,0,0,3.22,"Schwartz, Rachel"
ACCY,304,30286,Accounting Control Systems,AE1,OLC,120211,1,6,6,11,10,1,1,1,0,0,0,0,0,0,3.34,"Kink, Dawn M"
ACCY,304,30288,Accounting Control Systems,AE2,OLC,120211,1,12,4,8,7,1,1,3,0,0,0,0,0,0,3.39,"Kink, Dawn M"
ACCY,304,30291,Accounting Control Systems,AE3,OLC,120211,6,8,10,5,2,3,0,1,1,0,0,0,0,0,3.53,"Wu, Martin G"
ACCY,304,30294,Accounting Control Systems,AE4,OLC,120211,1,6,4,8,10,3,1,0,0,0,0,0,0,0,3.32,"Wu, Martin G"
ACCY,304,30296,Accounting Control Systems,AE5,OLC,120211,1,16,4,0,4,3,5,0,1,0,1,0,0,0,3.34,"Wang, Wei"
ACCY,304,30299,Accounting Control Systems,AE6,OLC,120211,0,9,8,3,7,5,2,0,0,0,1,0,0,0,3.3,"Wang, Wei"
ACCY,312,30334,Principles of Taxation,A,OLC,120211,1,5,9,3,5,4,0,0,0,0,0,0,0,0,3.43,"Vuong, Anh"
ACCY,312,30335,Principles of Taxation,B,OLC,120211,4,3,5,5,4,4,0,0,0,0,0,0,0,0,3.43,"Vuong, Anh"
ACCY,312,30336,Principles of Taxation,C,OLC,120211,2,1,6,2,3,8,1,0,0,0,0,0,0,0,3.19,"Osswald, Benjamin"
ACCY,312,39460,Principles of Taxation,D,OLC,120211,2,2,5,5,7,5,0,0,0,0,0,0,0,0,3.28,"Vuong, Anh"
ACCY,312,48959,Principles of Taxation,E,OLC,120211,4,4,4,2,5,7,0,0,0,0,0,0,0,0,3.35,"Osswald, Benjamin"
ACCY,312,56978,Principles of Taxation,F,OLC,120211,3,4,9,8,2,1,0,0,0,0,0,0,1,0,3.44,"Osswald, Benjamin"
ACCY,312,63525,Principles of Taxation,G,OLC,120211,0,14,0,0,11,0,0,2,0,0,0,0,0,0,3.44,"Holder, Daniel E"
ACCY,398,30412,Practical Problems in Atg,A,ONL,120211,13,27,0,0,3,0,0,9,0,0,0,0,0,0,3.6,"Hutchens, Matthew"
ACCY,398,63823,Practical Problems in Atg,B,ONL,120211,2,16,0,0,7,0,0,6,0,0,0,0,1,0,3.28,"Hutchens, Matthew"
ACCY,405,30311,Assurance and Attestation,AE1,OLC,120211,0,6,6,8,1,1,1,2,0,2,2,0,0,0,3.08,"Lullo, Michael J"
ACCY,405,30315,Assurance and Attestation,AE2,OLC,120211,0,3,12,2,3,2,1,0,1,0,0,0,0,0,3.38,"Lullo, Michael J"
ACCY,405,30324,Assurance and Attestation,AE3,OLC,120211,0,7,9,4,3,3,0,2,1,0,0,0,0,0,3.35,"Lullo, Michael J"
ACCY,405,30332,Assurance and Attestation,AE4,OLC,120211,0,12,2,4,0,2,4,2,1,0,0,0,0,0,3.3,"Ciconte, William"
