Subject,Course,CRN,Course Title,Course Section,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
AAS,100,69781,Intro Asian American Studies,AB,LCD,6,13,0,0,4,1,0,3,0,1,1,0,0,0,3.41,"Lee, Sang S"
AAS,100,30107,Intro Asian American Studies,AD1,DIS,0,11,5,3,1,2,1,0,1,1,0,0,0,0,3.44,"Zheng, Reanne"
AAS,100,41729,Intro Asian American Studies,AD2,DIS,0,10,7,4,3,1,0,0,0,0,0,0,2,0,3.36,"Zheng, Reanne"
AAS,100,43832,Intro Asian American Studies,AD3,DIS,17,8,1,1,1,0,0,0,0,0,0,0,0,0,3.93,"Rosado-Torres, Alexander"
AAS,100,48234,Intro Asian American Studies,AD5,OD,0,8,4,1,1,2,1,0,0,0,0,1,3,1,2.92,"Wang, Yu"
AAS,100,50105,Intro Asian American Studies,AD6,OD,0,11,2,1,3,3,0,0,0,0,1,0,1,0,3.3,"Wang, Yu"
AAS,100,51886,Intro Asian American Studies,AD8,DIS,1,10,5,4,1,1,3,0,1,0,0,0,0,0,3.46,"Gonzalez, Daniel A"
AAS,100,70761,Intro Asian American Studies,AD9,DIS,0,10,6,4,3,2,1,0,1,0,0,0,0,0,3.47,"Atienza, Paul Michael L"
AAS,100,70762,Intro Asian American Studies,ADA,DIS,0,15,5,1,1,0,2,0,1,0,0,0,0,0,3.64,"Atienza, Paul Michael L"
AAS,215,52317,US Citizenship Comparatively,A,LCD,7,12,6,5,0,0,1,0,0,1,0,0,0,0,3.7,"Park, Doo Jae"
ABE,152,73114,Water in Global Environment,WGE,ONL,91,15,3,7,5,2,4,3,0,0,1,0,7,0,3.59,"Kalita, Prasanta K"
ABE,225,57089,ABE Principles: Bioenvironment,AE1,LCD,2,8,3,5,3,0,0,1,0,0,0,0,2,0,3.28,"Zhang, Yuanhui"
ABE,226,57086,ABE Principles: Bioprocessing,AE1,LCD,1,5,4,4,3,4,0,1,0,0,0,0,2,0,3.07,"Singh, Vijay"
ABE,469,70549,Industry-Linked Design Project,APW,LCD,4,15,7,5,7,1,0,0,0,0,0,0,0,0,3.64,"Witmer, Ann-Perry"
ABE,498,69694,Special Topics,XW3,LCD,5,12,3,3,2,0,0,0,0,0,2,0,1,0,3.53,"Wang, Xinlei"
ACCY,200,56973,Fundamentals of Accounting,BM,ONL,45,62,5,10,14,8,4,0,0,0,0,0,0,0,3.73,"Zhang, Li"
ACCY,200,45418,Fundamentals of Accounting,OL,ONL,16,63,26,41,35,22,23,10,6,2,1,0,3,0,3.22,"Silhan, Peter A"
ACCY,200,30111,Fundamentals of Accounting,TM,LCD,8,15,5,5,1,0,2,0,0,0,0,0,0,0,3.74,"Zhang, Li"
ACCY,201,30118,Accounting and Accountancy I,AL1,LEC,43,32,21,19,15,12,8,13,2,10,3,5,3,3,3.15,"Fisher, Mitchell B"
ACCY,201,68539,Accounting and Accountancy I,AL2,LEC,57,44,22,12,14,8,6,6,2,5,4,3,2,0,3.41,"Fisher, Mitchell B"
ACCY,202,30119,Accounting and Accountancy II,AL1,LEC,33,48,14,32,34,6,13,12,4,0,3,0,0,0,3.34,"Shapland, Julia P"
ACCY,202,30120,Accounting and Accountancy II,AL2,LEC,15,19,10,26,33,7,7,10,10,0,2,0,2,0,3.06,"Shapland, Julia P"
ACCY,202,69229,Accounting and Accountancy II,AL3,LEC,18,8,3,3,4,1,1,0,0,0,0,0,0,0,3.74,"Shapland, Julia P"
ACCY,301,30192,Atg Measurement & Disclosure,AE1,LCD,3,6,3,4,6,1,2,0,0,0,0,0,0,0,3.43,"Pachera, Susan"
