Subject,Course,CRN,Course Title,Course Section,Sched Type,Term,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
AAS,100,41729,Intro Asian American Studies,AD2,DIS,120231,0,11,5,1,4,0,0,0,0,0,0,0,1,0,3.53,"Shin, Jeongsu"
AAS,100,43832,Intro Asian American Studies,AD3,DIS,120231,0,17,2,1,2,1,0,0,0,0,0,0,0,1,3.8,"Shin, Jeongsu"
AAS,100,48232,Intro Asian American Studies,AD4,DIS,120231,0,13,2,2,0,2,0,0,1,0,0,0,1,0,3.48,"Lee, Sabrina Y"
AAS,200,64396,U.S. Race and Empire,A,LCD,120231,6,15,5,2,3,0,0,0,0,0,1,0,1,0,3.61,"Sawada, Emilia"
AAS,215,52317,US Citizenship Comparatively,A,LCD,120231,16,12,2,1,1,1,0,0,0,0,0,0,0,0,3.89,"Kwon, Soo Ah"
ABE,141,54768,ABE Principles: Biological,MGD,LEC,120231,0,5,4,6,5,2,0,3,1,0,1,0,0,0,3.1,"Leonelli, Laurie B"
ABE,152,73114,Water in Global Environment,WGE,ONL,120231,55,115,0,4,9,0,0,1,0,1,2,0,5,1,3.78,"Kalita, Prasanta K"
ABE,232,74481,Context Intl Interventions,APW,OLC,120231,3,13,5,5,1,0,0,0,0,0,0,0,0,0,3.78,"Witmer, Ann-Perry"
ABE,425,39997,Engrg Measurement Systems,AE1,LCD,120231,0,22,0,2,0,0,0,0,0,0,0,0,0,0,3.94,"Grift, Tony E"
ABE,457,51989,NPS Pollution Processes,RBH,LCD,120231,1,14,4,0,2,0,0,1,0,0,0,0,0,0,3.76,"Bhattarai, Rabin"
ABE,498,69694,Special Topics,XW3,LCD,120231,2,38,9,2,3,0,0,0,0,0,0,0,0,1,3.86,"Wang, Xinlei"
ACCY,200,56973,Fundamentals of Accounting,BM,ONL,120231,65,68,27,14,12,0,4,2,0,0,0,0,2,1,3.75,"Zhang, Li"
ACCY,200,45418,Fundamentals of Accounting,OL,ONL,120231,62,81,19,27,60,8,6,11,0,0,5,0,2,0,3.47,"Green, Danielle H"
ACCY,200,30111,Fundamentals of Accounting,TM,LCD,120231,26,6,4,2,0,0,0,0,0,0,0,0,0,1,3.93,"Zhang, Li"
ACCY,201,30118,Accounting and Accountancy I,AL1,LEC,120231,42,28,16,29,19,10,11,12,4,2,4,5,6,1,3.11,"Fisher, Mitchell B"
ACCY,201,68539,Accounting and Accountancy I,AL2,LEC,120231,37,46,23,18,14,13,8,7,9,0,3,6,3,3,3.25,"Fisher, Mitchell B"
ACCY,201,51202,Accounting and Accountancy I,AL3,LEC,120231,13,6,1,1,0,0,0,0,0,0,0,0,0,0,3.95,"Fisher, Mitchell B"
ACCY,202,30119,Accounting and Accountancy II,AL1,LEC,120231,17,60,10,37,37,12,19,7,5,0,1,0,1,0,3.29,"Shapland, Julia P"
ACCY,202,30120,Accounting and Accountancy II,AL2,LEC,120231,14,48,14,25,48,10,7,6,12,0,2,0,1,2,3.23,"Shapland, Julia P"
ACCY,202,69229,Accounting and Accountancy II,AL3,LEC,120231,9,14,5,4,4,2,0,1,0,0,0,0,0,0,3.67,"Shapland, Julia P"
ACCY,301,30192,Atg Measurement & Disclosure,AE1,LCD,120231,10,7,1,3,4,0,1,0,0,0,0,0,0,0,3.69,"Johnson, Jennifer A"
ACCY,301,30195,Atg Measurement & Disclosure,AE2,LCD,120231,4,7,4,2,7,1,0,1,0,0,1,0,0,0,3.41,"Johnson, Jennifer A"
ACCY,301,30197,Atg Measurement & Disclosure,AE3,LCD,120231,4,8,6,4,4,0,0,0,1,0,1,0,1,0,3.38,"Johnson, Jennifer A"
ACCY,301,30200,Atg Measurement & Disclosure,AE4,LCD,120231,0,16,6,3,3,0,0,0,0,0,2,0,0,0,3.57,"Ulla, Jennifer W"
ACCY,301,30201,Atg Measurement & Disclosure,AE5,LCD,120231,6,2,4,3,6,5,1,2,0,0,1,0,0,0,3.18,"Johnson, Jennifer A"
ACCY,301,30203,Atg Measurement & Disclosure,AE6,LCD,120231,0,10,2,3,5,3,0,1,1,2,0,0,0,0,3.21,"Ulla, Jennifer W"
ACCY,302,60043,Decision Making for Atg,AE1,LCD,120231,5,11,3,5,1,2,0,1,1,0,0,0,0,0,3.57,"Sani, Jalal"
ACCY,302,30211,Decision Making for Atg,AE2,LCD,120231,8,4,6,3,5,0,1,0,1,0,0,0,0,0,3.54,"Sani, Jalal"
ACCY,302,30212,Decision Making for Atg,AE3,LCD,120231,1,8,8,4,4,1,0,1,0,0,0,0,0,0,3.53,"Curtis, Susan M"
ACCY,302,30228,Decision Making for Atg,AE5,LCD,120231,1,9,7,3,2,4,2,0,0,0,0,0,0,0,3.47,"Curtis, Susan M"
ACCY,302,30232,Decision Making for Atg,AE6,LCD,120231,1,7,9,5,2,5,0,0,1,0,0,0,0,0,3.42,"Curtis, Susan M"
ACCY,302,30255,Decision Making for Atg,AE7,LCD,120231,3,4,3,3,4,3,3,2,1,1,1,0,0,0,3,"Sani, Jalal"
ACCY,303,30267,Atg Institutions and Reg,AE2,LCD,120231,4,6,6,4,3,1,1,0,0,1,0,1,0,0,3.38,"Schwartz, Rachel"
ACCY,303,30271,Atg Institutions and Reg,AE3,LCD,120231,4,5,5,2,2,0,0,4,1,0,0,0,0,0,3.33,"Pachera, Susan"
ACCY,303,30276,Atg Institutions and Reg,AE5,LCD,120231,6,13,2,0,0,3,1,0,0,1,0,1,0,0,3.54,"Schwartz, Rachel"
