CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
41729,AAS,100,Intro Asian American Studies,AD2,DIS,120241,"Zheng, Reanne",2,4,5,2,4,3,2,0,0,0,0,0,0,0,3.35
48232,AAS,100,Intro Asian American Studies,AD4,DIS,120241,"Wang, Yu",5,11,4,0,1,0,0,0,1,0,0,0,0,0,3.79
64396,AAS,200,U.S. Race and Empire,A,LCD,120241,"Sawada, Emilia R",0,31,1,0,1,0,0,0,0,0,0,0,1,0,3.84
73114,ABE,152,Water in Global Environment,WGE,ONL,120241,"Kalita, Prasanta K",161,77,0,0,4,0,0,0,0,0,0,0,2,1,3.95
69694,ABE,498,Special Topics,XW3,LCD,120241,"Wang, Xinlei",8,29,6,2,0,0,0,0,0,0,0,0,0,1,3.93
56973,ACCY,200,Fundamentals of Accounting,BM,ONL,120241,"Zhang, Li",43,59,32,23,20,6,4,1,0,2,1,0,5,0,3.54
45418,ACCY,200,Fundamentals of Accounting,OL,ONL,120241,"Green, Danielle H",98,82,40,26,22,8,8,6,0,2,1,0,0,0,3.67
30111,ACCY,200,Fundamentals of Accounting,TM,LCD,120241,"Zhang, Li",11,11,4,5,3,2,0,0,0,0,1,0,0,0,3.64
30118,ACCY,201,Accounting and Accountancy I,AL1,LEC,120241,"Fisher, Mitchell B",57,32,15,9,11,10,7,10,9,0,3,6,4,4,3.23
68539,ACCY,201,Accounting and Accountancy I,AL2,LEC,120241,"Fisher, Mitchell B",94,38,20,12,8,5,5,9,6,1,0,4,1,1,3.56
51202,ACCY,201,Accounting and Accountancy I,AL3,LEC,120241,"Fisher, Mitchell B",10,5,2,3,0,1,0,0,1,0,0,0,0,1,3.71
30119,ACCY,202,Accounting and Accountancy II,AL1,LEC,120241,"Shapland, Julia P",28,41,26,26,31,17,13,13,6,0,5,0,1,0,3.23
30120,ACCY,202,Accounting and Accountancy II,AL2,LEC,120241,"Shapland, Julia P",5,21,18,16,33,13,12,9,8,0,3,0,3,1,2.97
69229,ACCY,202,Accounting and Accountancy II,AL3,LEC,120241,"Shapland, Julia P",9,9,3,2,3,1,0,1,1,0,0,0,0,0,3.62
30192,ACCY,301,Atg Measurement & Disclosure,AE1,LCD,120241,"Pieper, Lena",9,5,7,4,1,2,0,0,1,1,0,0,0,0,3.55
30195,ACCY,301,Atg Measurement & Disclosure,AE2,LCD,120241,"Johnson, Jennifer A",1,3,8,2,7,3,2,2,2,0,0,0,0,0,3.1
30197,ACCY,301,Atg Measurement & Disclosure,AE3,LCD,120241,"Johnson, Jennifer A",3,5,3,7,4,7,1,1,0,0,0,0,1,0,3.17
30200,ACCY,301,Atg Measurement & Disclosure,AE4,LCD,120241,"Mongold, Cassie A",1,11,6,6,1,1,2,0,1,0,0,0,0,0,3.52
30201,ACCY,301,Atg Measurement & Disclosure,AE5,LCD,120241,"Pieper, Lena",3,8,4,1,5,1,3,2,2,0,1,0,0,0,3.17
30203,ACCY,301,Atg Measurement & Disclosure,AE6,LCD,120241,"Mongold, Cassie A",0,11,3,2,4,3,3,0,2,0,0,0,0,1,3.29
60043,ACCY,302,Decision Making for Atg,AE1,LCD,120241,"Sani, Jalal",5,8,7,6,2,1,1,1,1,0,0,0,0,0,3.51
30211,ACCY,302,Decision Making for Atg,AE2,LCD,120241,"Sani, Jalal",11,6,2,5,4,2,2,0,0,0,0,0,0,0,3.56
30212,ACCY,302,Decision Making for Atg,AE3,LCD,120241,"Sani, Jalal",8,5,2,5,5,3,1,1,0,0,0,0,0,0,3.44
30228,ACCY,302,Decision Making for Atg,AE5,LCD,120241,"Sani, Jalal",2,7,9,4,3,3,4,0,0,0,0,0,0,0,3.4
30232,ACCY,302,Decision Making for Atg,AE6,LCD,120241,"Samet, Jordan A",4,7,7,5,2,2,1,1,1,1,1,0,0,0,3.31
30255,ACCY,302,Decision Making for Atg,AE7,LCD,120241,"Sani, Jalal",7,7,3,5,4,2,1,2,0,0,1,0,1,0,3.28
30267,ACCY,303,Atg Institutions and Reg,AE2,LCD,120241,"Schwartz, Rachel",3,14,6,4,2,2,0,1,0,0,0,0,0,0,3.65
30271,ACCY,303,Atg Institutions and Reg,AE3,LCD,120241,"Pachera, Susan",11,2,3,3,4,4,1,1,2,0,0,0,0,0,3.33
30274,ACCY,303,Atg Institutions and Reg,AE4,LCD,120241,"Schwartz, Rachel",1,5,3,0,6,3,2,1,0,0,2,0,3,0,2.68
30276,ACCY,303,Atg Institutions and Reg,AE5,LCD,120241,"Schwartz, Rachel",6,14,3,2,4,1,0,0,0,0,1,0,0,0,3.66
30278,ACCY,303,Atg Institutions and Reg,AE6,LCD,120241,"Pachera, Susan",9,5,6,2,3,1,1,3,1,0,1,0,0,0,3.35
46358,ACCY,303,Atg Institutions and Reg,AE7,LCD,120241,"Pachera, Susan",4,8,6,4,2,2,4,0,0,1,1,0,0,0,3.32
30288,ACCY,304,Accounting Control Systems,AE2,LCD,120241,"Kink, Dawn M",2,9,5,3,12,1,0,1,0,0,0,0,0,0,3.42
30291,ACCY,304,Accounting Control Systems,AE3,LCD,120241,"Hayne, Christie",1,8,8,2,8,1,0,2,0,0,1,0,0,0,3.34
30294,ACCY,304,Accounting Control Systems,AE4,LCD,120241,"Hayne, Christie",4,10,4,4,3,1,1,1,1,1,2,0,0,0,3.28
30299,ACCY,304,Accounting Control Systems,AE6,LCD,120241,"Kink, Dawn M",1,9,7,3,9,1,2,0,0,0,0,0,0,1,3.44
48420,ACCY,304,Accounting Control Systems,AE7,LCD,120241,"Dahle, Andrew J",5,7,6,2,5,5,1,2,0,0,0,0,0,0,3.37
48421,ACCY,304,Accounting Control Systems,AE8,LCD,120241,"Hayne, Christie",3,6,3,2,4,0,1,3,0,0,0,0,0,0,3.36
30334,ACCY,312,Principles of Taxation,A,LCD,120241,"Hutchens, Michelle L",1,9,4,7,4,0,0,1,0,0,0,0,0,0,3.54
30335,ACCY,312,Principles of Taxation,B,LCD,120241,"Hutchens, Michelle L",0,5,2,4,5,5,0,0,1,1,0,0,1,0,3
