CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A Range,B Range,C Range,D Range,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
69781,AAS,100,Intro Asian American Studies,AB,LCD,120251,"Geng, Zhe",,,,,3,21,1,1,0,0,0,1,0,0,0,0,1,0,3.75
30107,AAS,100,Intro Asian American Studies,AD1,DIS,120251,"Wang, Yu",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41729,AAS,100,Intro Asian American Studies,AD2,DIS,120251,"Wang, Yu",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43832,AAS,100,Intro Asian American Studies,AD3,DIS,120251,"Kim, Gabriel D",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
48232,AAS,100,Intro Asian American Studies,AD4,DIS,120251,"Kim, Gabriel D",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
48234,AAS,100,Intro Asian American Studies,AD5,DIS,120251,"Mukhopadhyay, Anirban",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
50105,AAS,100,Intro Asian American Studies,AD6,DIS,120251,"Mukhopadhyay, Anirban",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
54572,AAS,100,Intro Asian American Studies,AD7,DIS,120251,"Charity, Hannah L",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51886,AAS,100,Intro Asian American Studies,AD8,DIS,120251,"Charity, Hannah L",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
70761,AAS,100,Intro Asian American Studies,AD9,DIS,120251,"Roy, Sayak",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
70762,AAS,100,Intro Asian American Studies,ADA,DIS,120251,"Roy, Sayak",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
64396,AAS,200,U.S. Race and Empire,A,LCD,120251,"Sawada, Emilia R",,,,,0,33,0,0,0,0,0,0,0,0,0,0,1,0,3.88
54575,AAS,211,Asian Americans and the Arts,A,LCD,120251,"Sawada, Emilia R",,,,,0,22,1,1,0,0,0,0,0,0,0,0,0,0,3.96
