Subject,Course,CRN,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
ACCY,200,37453,Fundamentals of Accounting,5,31,13,12,7,5,6,3,1,1,2,0,1,1,3.34,"Silhan, Peter A"
ACCY,301,30026,Atg Measurement & Disclosure,1,8,4,2,3,0,1,2,1,0,0,0,0,0,3.38,"Balaminut, Lucas S"
ACCY,302,30037,Decision Making for Atg,0,2,5,9,4,1,0,1,0,0,0,0,0,0,3.32,"Williams, Jeffrey O"
ACCY,303,30041,Atg Institutions and Reg,1,3,4,5,5,3,0,1,0,0,0,0,0,0,3.29,"Wang, Dongyi"
ACCY,304,30061,Accounting Control Systems,2,2,5,7,3,4,0,0,0,0,0,0,0,0,3.36,"Kim, Minjeong"
ACCY,410,38235,Advanced Financial Reporting,3,5,1,4,4,3,1,0,0,0,0,0,0,0,3.4,"Kustanovich, Michael"
ACCY,501,30083,Accounting Analysis I,7,16,4,4,6,0,0,0,0,0,0,0,0,0,3.73,"Ahmed, Waqar"
ACCY,501,30086,Accounting Analysis I,2,14,8,1,5,0,0,0,0,0,0,0,0,0,3.72,"Ahmed, Waqar"
ACCY,501,32912,Accounting Analysis I,0,11,6,9,3,3,0,0,1,0,0,0,0,0,3.47,"Ibrahim, Adel Nematallah"
ACCY,550,39306,Multistate Taxation,1,5,9,4,3,2,1,0,0,0,0,0,0,0,3.48,"Bergmann, Gregory A"
ACCY,551,32291,Corporate Income Taxation,8,3,5,5,4,0,0,0,0,0,0,0,0,0,3.64,"Shaw, Jeffrey M"
ACCY,556,32292,Tax Research,0,15,7,3,0,0,0,0,0,0,0,0,0,0,3.83,"Fotzler, Jonathan B"
ACCY,559,37074,Tax Policy,2,10,8,4,1,0,0,0,0,0,0,0,0,0,3.75,"Giertz, J F"
ACCY,562,39260,Tax Procedures,1,4,6,7,4,1,1,1,0,0,0,0,0,0,3.37,"Meier, Walter K"
ACCY,593,30098,Special Research Problems,0,24,3,3,2,0,0,0,0,0,0,0,0,0,3.84,"Kustanovich, Michael"
ACE,240,37924,Personal Financial Planning,14,18,11,10,3,4,1,0,0,3,0,0,2,0,3.45,"Stoddard, Paul B"
ADV,281,38283,Advertising Research Methods,0,0,4,5,4,5,4,2,1,0,0,1,0,0,2.78,"Sar, Sela"
AGED,260,36784,Intro to Leadership Studies,4,12,5,1,0,1,2,1,0,0,0,1,1,1,3.42,"Keating, Kari H"
