CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A Range,B Range,C Range,D Range,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
37453,ACCY,200,Fundamentals of Accounting,ONL,ONL,120185,"Silhan, Peter A",,,,,4,28,5,5,10,5,3,2,1,0,1,0,2,0,3.33
30026,ACCY,301,Atg Measurement & Disclosure,AE2,LCD,120185,"Keblusek, Matthew D",,,,,4,6,2,2,0,1,0,3,0,3,0,0,0,0,3.17
30037,ACCY,302,Decision Making for Atg,AE2,LCD,120185,"Kim, Minjeong",,,,,2,3,5,4,4,3,0,0,0,0,0,0,0,0,3.41
38235,ACCY,410,Advanced Financial Reporting,A3,LCD,120185,"Penn, Michael W",,,,,0,9,1,3,7,6,0,0,0,0,0,0,0,0,3.34
30083,ACCY,501,Accounting Analysis I,A,LCD,120185,"Augusto Sampaio, Gerlando",,,,,3,11,15,3,2,1,1,0,0,0,0,0,0,0,3.67
30086,ACCY,501,Accounting Analysis I,B,LCD,120185,"Augusto Sampaio, Gerlando",,,,,0,11,14,12,5,1,0,0,0,0,0,0,0,0,3.56
32912,ACCY,501,Accounting Analysis I,C,LCD,120185,"Ibrahim, Adel Nematallah",,,,,0,10,2,7,7,0,0,0,1,0,0,0,0,0,3.46
30098,ACCY,593,Special Research Problems,AT1,LCD,120185,"Kustanovich, Michael",,,,,1,22,7,2,1,1,0,0,0,0,0,0,0,0,3.82
30119,ACE,161,Microcomputer Applications,S,ONL,120185,"Parthum, Bryan M",,,,,0,20,0,0,2,0,0,0,0,0,0,0,0,0,3.91
37924,ACE,240,Personal Financial Planning,0NL,ONL,120185,"Stoddard, Paul B",,,,,7,8,14,11,9,3,2,1,2,0,2,1,1,1,3.21
38681,ADV,312,Advertising History,A,ONL,120185,"Chambers, Jason P",,,,,0,1,0,4,4,4,3,2,0,1,0,1,2,0,2.41
37829,AFST,222,Introduction to Modern Africa,A,ONL,120185,"Barro, Maimouna A",,,,,15,6,5,1,1,0,0,0,1,0,1,1,0,0,3.61
36784,AGED,260,Intro to Leadership Studies,A,ONL,120185,"Emmert, Jason L",,,,,2,8,4,0,2,2,1,3,1,1,0,1,0,0,3.12
36296,ANTH,103,Anthro in a Changing World,ONL,ONL,120185,"Krupp, Benjamin P",,,,,20,15,8,3,4,3,1,1,2,0,0,1,5,0,3.3
36297,ANTH,143,Biology of Human Behavior,ONL,ONL,120185,"Zachwieja, Alexandra J",,,,,12,3,3,3,2,0,0,0,0,0,0,1,2,0,3.37
38262,ANTH,246,Forensic Science,ONL,ONL,120185,"Lee, Amanda",,,,,15,11,8,3,2,2,1,2,0,0,0,0,0,0,3.66
35192,ART,100,Understanding Visual Culture,JB,ONL,120185,"Burns, Jennifer",,,,,1,14,7,4,1,2,0,1,0,0,0,0,3,0,3.31
39198,ART,140,Introduction to Art,JB,ONL,120185,"Bergmark, Jennifer L",,,,,4,6,3,0,2,2,0,2,1,0,0,2,2,0,2.89
