Subject,Course,CRN,Course Title,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
ACCY,200,37453,Fundamentals of Accounting,ONL,6,17,16,11,9,12,5,4,3,4,1,0,1,1,3.12,"Silhan, Peter A"
ACCY,301,30026,Atg Measurement & Disclosure,LCD,0,6,3,4,4,5,0,5,0,3,1,1,0,0,2.79,"Jang, Hansol"
ACCY,302,30037,Decision Making for Atg,LCD,5,8,4,7,0,3,0,0,0,0,0,0,0,0,3.63,"Han, Jong Won"
ACCY,410,38235,Advanced Financial Reporting,LCD,0,5,4,3,4,5,0,0,0,0,0,0,0,0,3.35,"Penn, Michael W"
ACCY,500,40211,"Atg Measuremnt, Rpting & Cntrl",LCD,17,4,1,0,0,1,0,0,0,0,0,0,0,0,3.93,"Augusto Sampaio, Gerlando"
ACCY,501,30083,Accounting Analysis I,LCD,3,10,8,3,4,4,1,0,0,0,0,0,0,0,3.53,"Augusto Sampaio, Gerlando"
ACCY,501,30086,Accounting Analysis I,LCD,4,14,8,4,3,1,0,0,0,0,0,0,0,0,3.72,"Augusto Sampaio, Gerlando"
ACCY,501,32912,Accounting Analysis I,LCD,0,13,2,9,8,2,0,1,0,0,0,0,0,1,3.45,"Ibrahim, Adel Nematallah"
ACCY,503,36386,Managerial Accounting,LCD,7,29,7,6,4,2,0,1,0,0,0,0,0,0,3.73,"Fisher, Mitchell B"
ACCY,593,30098,Special Research Problems,LCD,3,21,8,0,3,4,0,0,0,0,0,0,0,0,3.72,"Kustanovich, Michael"
ACCY,593,30096,Special Research Problems,LCD,1,21,7,2,6,2,1,0,0,0,0,0,0,0,3.65,"Kustanovich, Michael"
ACCY,593,32293,Prof Soft Skills I,LCD,0,60,0,0,0,0,0,1,0,0,0,0,0,0,3.97,"Reierson, Timothy J"
ACE,240,37924,Personal Financial Planning,ONL,3,11,7,14,10,0,1,0,1,1,1,1,1,0,3.24,"Stoddard, Paul B"
ADV,281,38283,Advertising Research Methods,ONL,0,1,3,5,2,6,5,3,1,1,0,1,0,0,2.68,"Sar, Sela"
ADV,312,38681,Advertising History,ONL,0,6,4,2,1,0,1,1,0,3,0,5,1,0,2.5,"Chambers, Jason P"
