Subject,Course,CRN,Course Title,Course Section,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
ACCY,200,37453,Fundamentals of Accounting,ONL,ONL,6,11,15,10,14,4,6,4,3,3,1,0,3,0,3.01,"Silhan, Peter A"
ACCY,202,30562,Accounting and Accountancy II,A,ONL,4,6,2,6,5,1,3,1,1,0,0,0,1,3,3.19,"Shapland, Julia P"
ACCY,410,38235,Advanced Financial Reporting,A3,ONL,5,8,3,2,7,1,3,0,3,0,0,0,1,0,3.24,"Penn, Michael W"
ACCY,501,32912,Accounting Analysis I,C,LCD,2,5,5,6,3,0,0,1,0,0,0,0,0,0,3.52,"Ibrahim, Adel Nematallah"
ACCY,501,41040,Accounting Analysis I,OA,ONL,22,22,4,3,2,2,0,0,0,0,1,0,0,0,3.8,"Augusto Sampaio, Gerlando"
ACCY,503,40498,Managerial Accounting,IMB,ONL,100,320,195,110,94,37,10,9,3,0,0,0,4,2,3.62,"Hecht, Gary W"
ACCY,503,38412,Managerial Accounting,ONL,ONL,1,10,8,4,7,4,1,0,0,0,0,1,2,1,3.19,"Hecht, Gary W"
ACCY,516,40284,Ethics,DA1,ONL,1,15,7,6,4,2,0,1,0,0,0,0,1,0,3.49,"Curtis, Susan M"
ACCY,550,40958,Multistate Taxation,DA1,ONL,5,13,0,6,3,3,0,0,0,0,0,0,0,0,3.63,"Hutchens, Matthew"
ACCY,593,30098,Special Research Problems,AT1,LCD,0,16,2,2,2,0,0,0,0,0,0,0,0,0,3.82,"Kustanovich, Michael"
ACCY,593,41052,Prof Soft Skills I,OS2,ONL,2,29,1,3,0,1,0,0,0,0,0,0,0,0,3.9,"Noonan, James R"
ACCY,593,41053,Prof Soft Skills I,OS3,ONL,0,22,2,1,0,0,0,0,0,0,0,0,0,0,3.95,"Noonan, James R"
ACCY,593,41050,Special Research Problems,OT2,ONL,3,19,9,4,7,3,2,1,0,0,1,0,0,0,3.49,"Kustanovich, Michael"
ACE,240,37924,Personal Financial Planning,0NL,ONL,2,4,9,5,3,5,1,0,0,0,0,0,0,0,3.39,"Stoddard, Paul B"
ADV,281,38283,Advertising Research Methods,1,ONL,0,4,3,5,4,2,1,0,0,1,0,0,1,0,3.08,"Sar, Sela"
AFRO,100,31247,Intro to African American St,A,ONL,21,10,5,4,2,5,0,2,1,0,0,0,2,0,3.47,"McMillion, Desiree Y"
AFRO,132,41330,African American Music,A,ONL,0,14,4,7,9,0,6,3,1,3,1,0,6,3,2.73,"Meyers, John P"
AFST,222,37829,Introduction to Modern Africa,A,ONL,3,8,2,1,1,5,1,0,1,0,0,5,0,0,2.9,"Barro, Maimouna A"
ANSC,110,30180,Life With Animals and Biotech,1,ONL,1,9,1,0,5,1,2,3,1,0,0,0,0,2,3.2,"Allen, Crystal A"
ANSC,205,40206,World Animal Resources,A,ONL,25,21,6,3,5,2,0,4,1,0,1,2,4,1,3.36,"Emmert, Jason L"
ANSC,250,40201,Companion Animals in Society,B,ONL,6,11,4,1,2,2,0,1,0,0,0,0,0,0,3.68,"Richardson, Sarah D"
ANTH,103,36296,Anthro in a Changing World,ONL,ONL,21,15,1,3,5,0,3,4,1,0,1,1,2,0,3.35,"Cox, Nicole A"
ANTH,209,34763,"Food, Culture, and Society",ONL,ONL,12,6,0,0,3,0,0,0,0,0,0,0,0,0,3.86,"Silverman, Helaine I"
ANTH,246,38262,Forensic Science,ONL,ONL,3,25,1,5,1,2,1,1,0,0,0,0,4,3,3.37,"Sgheiza, Valerie"
ART,100,35192,Understanding Visual Culture,LH,ONL,3,10,2,1,4,0,0,2,0,0,1,0,2,0,3.19,"Hetrick, Laura"
ARTS,220,41283,Introduction to Fashion,SB,ONL,6,10,4,2,3,1,1,1,0,0,0,0,1,0,3.49,"Becker, Susan E"
ASTR,330,39057,Extraterrestrial Life,ONL,ONL,2,19,1,3,5,1,2,1,2,0,2,0,0,1,3.35,"Looney, Leslie W"
ATMS,120,36300,Severe and Hazardous Weather,ONL,ONL,6,16,3,9,13,6,2,7,3,1,1,3,9,2,2.68,"Choate, Jessica J"
BADM,300,37386,The Legal Environment of Bus,OL,ONL,68,28,8,3,7,2,1,0,1,1,0,0,0,1,3.82,"Wright, Margaret"
BADM,310,36472,Mgmt and Organizational Beh,OL,ONL,0,47,27,15,10,5,4,3,1,0,2,1,6,0,3.31,"Gill, Shahbaz"
BADM,311,40660,Leading Individuals and Teams,OL,ONL,11,35,3,2,4,1,1,2,1,0,1,0,0,1,3.69,"Luckman, Elizabeth"
BADM,320,36473,Principles of Marketing,OL,ONL,0,69,11,3,7,3,1,1,1,0,0,0,4,2,3.61,"Gill, Shahbaz"
BADM,350,36474,IT for Networked Organizations,OL,ONL,1,18,4,2,2,0,0,2,2,1,0,0,0,0,3.5,"Sachdev, Vishal"
BADM,380,36475,International Business,OL,ONL,10,15,3,1,1,1,0,0,0,1,0,1,0,1,3.7,"Bucheli, Marcelo"
BADM,403,39625,Corporate & Commercial Law,MSA,ONL,82,36,6,3,2,0,1,0,1,0,0,0,2,0,3.86,"Fricke, Michael R"
BADM,544,38785,Strategic Management,IMB,ONL,157,281,266,141,104,56,26,11,6,2,0,3,12,4,3.53,"Somaya, Deepak"
BADM,544,38783,Strategic Management,ONL,ONL,4,9,9,8,5,5,2,1,1,0,0,0,2,0,3.23,"Somaya, Deepak"
BADM,550,39215,Technology Practicum,AG,ONL,9,35,0,0,3,0,0,0,0,0,0,0,0,0,3.94,"Kurtz, Jeffrey M"
BADM,590,34792,DataStorytelling&Visualization,AG,ONL,0,35,7,4,2,2,2,3,0,0,0,0,0,0,3.65,"Guggenheim, David R"
BADM,590,13359,Global Business Capstone,GBC,ONL,2,22,0,3,0,0,0,0,0,0,0,0,0,0,3.93,"Noonan, James R"
CHEM,102,38250,General Chemistry I,O,ONL,2,3,4,1,7,4,7,10,4,7,10,13,13,1,1.66,"Marville, Kelly"
CHEM,104,38251,General Chemistry II,O,ONL,7,8,10,14,16,16,12,24,8,8,7,0,7,1,2.49,"Ray, Christian R"
CHEM,232,33499,Elementary Organic Chemistry I,A,ONL,3,6,1,3,9,1,1,6,2,3,6,1,4,0,2.34,"Kell, David A"
CHLH,100,36278,Contemporary Health,ON2,ONL,5,7,4,1,6,3,0,2,0,1,1,0,2,0,3.07,"Trask, Jeffrey T"
CHLH,101,38368,Introduction to Public Health,ON2,ONL,2,4,5,1,2,3,4,3,2,0,0,0,2,0,2.8,"Fujimoto, Elinor M"
CHLH,206,36274,Human Sexuality,ON2,ONL,0,13,2,1,3,0,0,3,1,0,1,0,2,0,3.09,"Rinaldi-Miles, Anna I"
CHLH,210,39366,Community Health Organizations,ON,ONL,7,5,7,3,1,0,0,0,3,0,1,2,4,0,2.85,"Pellum, Danielle M"
CHLH,243,36276,Drug Use and Abuse,OL,ONL,5,20,8,5,7,1,0,0,1,0,1,1,2,0,3.39,"Kersh, Renique"
CLCV,224,40509,American Race and Ethiniciy Cl,A,OLC,9,6,1,0,1,1,0,0,1,0,0,0,2,0,3.38,"Merkley, Kyle G"
CLCV,224,40510,Amer Race&Ethnicity ClasicTrad,B,OLC,19,0,0,0,0,0,2,0,0,0,0,0,0,0,3.84,"Weed, Ashley K"
CMN,502,40292,Health Comm Research Methods I,1,ONL,5,9,4,1,2,0,0,0,0,0,0,0,0,0,3.81,"Reznik, Rachel M"
CMN,503,40293,Health Comm Research MethodsII,1,ONL,6,5,3,3,1,3,1,0,0,0,0,0,0,0,3.56,"Reznik, Rachel M"
CS,105,40585,Intro Computing: Non-Tech,LS1,OLC,8,5,2,1,2,1,2,0,1,2,1,0,5,1,2.71,"Smith, David H"
CS,125,30760,Intro to Computer Science,AL1,OLC,1,29,4,5,4,2,3,5,4,0,0,0,11,1,2.83,"Challen, Geoffrey W"
CS,173,36796,Discrete Structures,AL1,OLC,10,29,25,14,10,11,4,7,4,0,6,2,3,4,3.13,"Evans, Graham C"
CS,199,41325,Intro to Comp Sci II,128,ONL,0,20,1,2,1,0,1,1,0,0,0,0,1,2,3.62,"Nowak, Michael"
CS,411,40317,Database Systems,S3,OLC,51,29,6,7,4,3,3,1,1,1,2,0,4,0,3.57,"Alawini, Abdussalam A"
CS,416,41345,Data Visualization,DV,OLC,17,12,5,2,5,2,1,0,0,1,1,0,2,0,3.46,"Hart, John C"
CS,416,41346,Data Visualization,DVV,ONL,265,113,25,14,10,0,2,0,0,0,0,0,3,8,3.9,"Hart, John C"
CS,421,37194,Progrmg Languages & Compilers,ON2,ONL,50,20,5,4,4,1,0,2,0,0,2,0,4,2,3.61,"Beckman, Mattox A"
CS,421,30792,Progrmg Languages & Compilers,P3,OLC,17,8,6,6,7,1,2,4,0,0,6,0,5,3,2.98,"Beckman, Mattox A"
CS,598,40018,Cloud Capstone,CC1,ONL,55,15,3,0,0,0,0,1,0,0,1,0,0,0,3.92,"Farivar, Reza"
CS,598,40021,Data Mining Capstone,DM,ONL,11,16,1,1,0,0,0,0,0,0,0,0,0,0,3.97,"Farivar, Reza"
DANC,100,36010,Intro to Contemporary Dance,OL1,ONL,33,7,0,0,0,1,0,0,0,0,0,0,1,0,3.87,"Sapozhnikov, Anna"
DANC,100,40642,Intro to Contemporary Dance,OL2,ONL,15,9,4,2,0,0,1,0,1,0,0,0,0,0,3.79,"Anderson, Bevara"
ECE,210,40788,Analog Signal Processing,ONL,OLB,5,2,3,4,4,1,5,1,1,0,2,0,2,2,2.81,"Chen, Xu"
ECE,220,38727,Computer Systems & Programming,ONL,ONL,6,7,5,1,3,1,2,2,2,3,0,0,0,1,3.17,"Chen, Yuting W"
ECE,310,40118,Digital Signal Processing,ONL,ONL,6,14,3,12,4,6,1,0,1,0,0,0,1,0,3.4,"Radhakrishnan, Chandrasek"
ECE,311,36227,Digital Signal Processing Lab,A,ONL,9,6,2,0,1,1,0,1,1,1,0,0,0,0,3.55,"Snyder, Corey E"
ECE,313,40119,Probability with Engrg Applic,ONL,ONL,1,4,4,5,8,7,3,3,4,0,1,0,2,2,2.73,"Alvarez, Juan"
ECE,329,40120,Fields and Waves I,ONL,ONL,7,5,4,0,5,0,0,3,0,0,2,0,2,0,3.06,"Kudeki, Erhan"
ECE,340,40121,Semiconductor Electronics,ONL,ONL,2,2,0,3,2,2,1,3,2,1,2,0,2,1,2.38,"Leburton, Jean-Pierre"
ECE,385,30418,Digital Systems Laboratory,AL1,OLC,15,4,1,0,1,1,0,1,0,0,0,1,4,2,3.14,"Cheng, Zuofu"
ECON,102,36304,Microeconomic Principles,ONL,ONL,23,17,10,6,6,5,1,3,3,1,2,0,0,0,3.44,"DiIanni, Isaac"
ECON,103,37312,Macroeconomic Principles,ONL,ONL,12,30,15,5,8,1,1,0,3,1,1,2,3,1,3.38,"McDermott, Eric M"
ECON,203,37858,Economic Statistics II,ONL,ONL,1,4,7,9,6,2,2,4,0,0,0,1,0,1,3.12,"Armendariz Buau, Ramses Y"
ECON,302,38740,Inter Microeconomic Theory,ONL,ONL,12,2,6,5,4,4,4,5,1,2,2,0,3,4,2.86,"Buckley, Bryan D"
ECON,303,38741,Inter Macroeconomic Theory,ONL,ONL,1,11,7,11,8,3,4,5,2,1,6,1,2,4,2.79,"Arvin-Rad, Hassan"
ECON,415,40192,Environmental Economics,ONL,ONL,2,1,4,2,1,4,2,2,1,0,0,0,2,0,2.73,"Buckley, Bryan D"
ECON,420,40226,International Economics,ONL,ONL,10,21,10,6,4,2,1,1,1,0,0,0,0,0,3.64,"DiIanni, Isaac"
ECON,437,40662,Game Theory,ONL,ONL,13,6,9,4,1,2,5,2,1,1,3,0,2,2,3.12,"Armendariz Buau, Ramses Y"
ECON,529,39329,Macroeconomics for Business,IMB,ONL,15,378,155,80,94,28,24,13,5,2,1,1,6,5,3.56,"Esfahani, Hadi S"
ECON,529,39330,Macroeconomics for Business,ONL,ONL,1,31,26,17,18,7,6,7,3,2,0,0,4,2,3.18,"Esfahani, Hadi S"
EIL,411,37367,Intro to TESL Methodology,HB3,ONL,0,24,0,0,1,1,0,0,0,0,0,0,0,0,3.92,"Bishop, Hugh"
EPOL,515,41348,Intro to Diversity & Equity,ONL,ONL,0,62,5,2,2,2,0,1,0,0,0,0,0,0,3.87,"Pak, Yoon K"
EPOL,531,41245,"Diversity, Leadership & Policy",ONL,ONL,0,22,2,3,2,0,0,1,0,0,0,0,0,0,3.78,"Nelson, Jennifer L"
EPS,405,35150,Historical and Social Barriers,ONL,ONL,0,29,13,6,4,1,2,1,1,0,1,0,0,0,3.58,"Hale, Jon N"
EPS,415,34485,Technology &Educational Reform,ONL,ONL,0,51,18,9,7,3,0,0,0,0,0,0,0,0,3.74,"Burbules, Nicholas C"
EPS,420,30094,Sociology of Education,ONL,ONL,20,5,2,0,2,0,0,0,0,0,0,0,0,0,3.91,"Barnett, Bernice M"
EPS,423,32893,Politics of Education,ONL,ONL,0,73,9,3,2,2,1,0,0,0,0,0,0,0,3.87,"Mason, Terrence C"
EPSY,407,34334,Adult Learning and Development,A,ONL,10,28,9,6,4,0,1,0,0,0,0,0,1,0,3.72,"Stine-Morrow, Elizabeth A"
ESE,320,36940,"Water Planet, Water Crisis",A,ONL,3,4,3,1,3,2,1,2,1,0,1,0,2,0,2.86,"Cole, Todd M"
ESE,360,38688,Environmental Writing,A,ONL,0,13,1,4,5,2,1,3,4,2,1,1,7,0,2.47,"Tomkin, Jonathan H"
FIN,221,29940,Corporate Finance,ONL,ONL,5,54,2,6,9,0,1,6,0,0,0,0,2,1,3.58,"Dyer, Michael A"
FIN,300,30694,Financial Markets,C,ONL,8,3,1,3,3,2,2,4,0,3,0,1,1,0,2.88,"Peters, Stephen R"
FIN,435,36167,Personal Wealth Management,PWM,ONL,0,4,3,11,3,1,0,0,1,0,0,0,0,0,3.35,"Raskie, Sterling"
FIN,511,30708,Investments,MSA,ONL,16,16,16,14,14,10,9,0,0,0,0,0,0,0,3.4,"Spencer, Xiangyi X"
FIN,521,41131,Advanced Corporate Finance,MSA,ONL,11,29,13,0,7,2,0,2,0,1,1,0,0,0,3.64,"Yang, Xi"
