Subject,Course,CRN,Course Title,Course Section,Sched Type,Term,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
ACCY,550,40958,Multistate Taxation,DA1,ONL,120235,8,7,5,0,2,0,0,0,0,0,0,0,0,0,3.83,"Hutchens, Matthew"
ANTH,209,34763,"Food, Culture, and Society",ONL,ONL,120235,16,6,0,1,1,0,0,0,0,0,0,0,2,0,3.63,"Silverman, Helaine I"
ART,100,35192,Understanding Visual Culture,LH,ONL,120235,3,11,2,1,3,0,0,1,0,0,0,0,1,0,3.53,"Hetrick, Laura"
ART,140,39198,Introduction to Art,JB,ONL,120235,3,4,3,0,1,0,1,1,0,0,0,0,9,0,2.11,"Bergmark, Jennifer L"
DANC,100,36010,Intro to Contemporary Dance,OL1,ONL,120235,10,16,5,2,0,1,1,1,1,1,0,0,1,0,3.56,"Rogovoy, Anna P"
DANC,100,40642,Intro to Contemporary Dance,OL2,ONL,120235,9,10,1,0,3,1,0,2,0,0,0,0,2,1,3.41,"Amiri, Banafsheh"
ECON,102,36304,Microeconomic Principles,ONL,ONL,120235,31,30,25,11,9,3,3,2,2,0,0,0,0,0,3.64,"DiIanni, Isaac"
EPOL,409,41239,Sociology of Education,A,ONL,120235,7,5,6,2,1,1,0,0,0,0,0,0,0,0,3.74,"Barnett, Bernice M"
EPOL,480,41243,Technology &Educational Reform,A,ONL,120235,0,21,8,1,1,0,0,0,0,0,0,0,0,0,3.86,"Burbules, Nicholas C"
EPOL,534,41564,Assessment for Learning,A,ONL,120235,16,4,0,1,0,0,0,0,0,0,0,0,0,0,3.97,"Cope, William"
ESE,360,38688,Environmental Writing,A,ONL,120235,0,4,1,5,0,2,2,1,2,1,0,4,4,0,2.14,"Tomkin, Jonathan H"
GWS,275,41559,The Politics of Fashion,A,ONL,120235,9,8,1,1,1,0,0,1,1,0,0,0,1,0,3.55,"Rijo Sanchez, Amaury J"
IS,403,40670,Children's Materials,OAG,ONL,120235,24,3,0,0,0,1,0,0,0,0,0,0,0,0,3.95,"Betts-Green, Crystal D"
LER,522,39676,"Employ Law-Discrim, Comp, Priv",B1,ONL,120235,2,18,1,1,0,0,0,0,0,0,0,0,0,0,3.95,"Leroy, Michael H"
MUS,132,38377,History of Rock,A,ONL,120235,74,53,14,8,7,3,2,3,0,3,2,0,1,0,3.72,"Eagen-Jones, Megan K"
MUS,132,38696,History of Rock,B,ONL,120235,37,27,15,8,7,5,4,3,0,0,4,0,5,0,3.4,"Eagen-Jones, Megan K"
MUS,133,30110,Introduction to World Music,A,ONL,120235,80,13,0,0,1,0,0,0,0,0,0,0,0,0,3.99,"Silvers, Michael B"
MUS,133,30111,Introduction to World Music,B,ONL,120235,62,1,0,0,0,0,0,2,0,0,0,0,1,0,3.88,"Silvers, Michael B"
PSYC,100,39086,Intro Psych,1ON,ONL,120235,4,7,6,3,5,2,1,4,1,0,1,0,3,0,2.96,"Shenouda, Christine K"
SOC,101,39088,Sociology of Gender,ONL,ONL,120235,8,8,1,1,1,0,2,2,3,0,2,0,1,0,3.09,"Moussawi, Ghassan"
SOC,310,36338,Sociology of Deviance,ONL,ONL,120235,23,4,3,2,0,1,0,0,1,0,0,0,2,0,3.61,"Atiles Osoria, Jose M"
SOCW,451,37492,HBSE I: Human Development,23A,ONL,120235,20,5,1,1,0,0,0,0,0,0,0,0,0,0,3.96,"Cintron, Valerie"
SOCW,451,38380,HBSE I: Human Development,23B,ONL,120235,18,2,0,1,0,2,0,0,0,0,0,0,0,0,3.86,"Simmons, Takila C"
