CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
37453,ACCY,200,Fundamentals of Accounting,ONL,ONL,120245,"Zhang, Li",8,9,9,3,7,4,0,5,0,0,1,0,0,0,3.34
30562,ACCY,202,Accounting and Accountancy II,A,ONL,120245,"Shapland, Julia P",11,12,1,7,11,2,3,6,2,0,0,0,0,1,3.27
30083,ACCY,501,Accounting Analysis I,A,LCD,120245,"Ibrahim, Adel Nematallah",2,17,2,6,3,11,1,4,1,0,1,0,0,0,3.22
32912,ACCY,501,Accounting Analysis I,C,LCD,120245,"Augusto Sampaio, Gerlando",4,10,8,4,2,1,0,0,0,0,0,0,0,0,3.7
41040,ACCY,501,Accounting Analysis I,D,LCD,120245,"Augusto Sampaio, Gerlando",6,9,12,1,1,2,0,0,0,0,0,0,0,0,3.73
40958,ACCY,550,Multistate Taxation,DA1,ONL,120245,"Hutchens, Matthew",6,27,6,2,0,0,0,0,0,0,0,0,0,0,3.92
41527,ACCY,554,International Taxation,DA1,ONL,120245,"Hutchens, Matthew",13,21,3,1,1,0,0,0,0,0,0,0,1,0,3.83
30098,ACCY,593,Adv Accy Theory & Practice,AT1,LCD,120245,"Kustanovich, Michael",1,12,2,3,3,1,0,1,0,0,0,0,0,0,3.61
30096,ACCY,593,Adv Accy Theory & Practice,AT2,LCD,120245,"Kustanovich, Michael",1,10,2,3,1,2,2,1,1,0,0,0,0,0,3.39
37924,ACE,240,Personal Financial Planning,0NL,ONL,120245,"Stoddard, Paul B",2,4,6,1,5,5,4,0,0,2,1,1,0,0,2.95
41901,ADV,175,Intro to Multicultural Adverti,ONL,OLC,120245,"Chambers, Jason P",0,8,8,6,5,1,1,1,0,0,0,0,0,0,3.44
38283,ADV,281,Advertising Research Methods,ONL,ONL,120245,"Ham, Chang Dae",0,19,1,0,0,0,0,2,0,0,0,0,1,0,3.64
36921,ADV,310,Intro to Public Relations,ONL,ONL,120245,"Hitchon, Jacqueline C",12,7,1,5,6,0,0,2,1,0,0,1,2,2,3.26
31247,AFRO,100,Intro to African American St,A,ONL,120245,"McMillion, Desiree Y",0,7,5,0,9,2,1,1,0,0,2,0,1,0,3.04
41330,AFRO,132,African American Music,A,ONL,120245,"Meyers, John P",0,7,8,5,2,2,0,0,0,1,0,0,1,0,3.33
40206,ANSC,205,World Animal Resources,A,ONL,120245,"Emmert, Jason L",14,17,2,4,2,1,3,1,1,1,2,0,2,0,3.35
36296,ANTH,103,Anthro in a Changing World,ONL,ONL,120245,"Escamilla, Breanna S",26,16,6,5,6,4,4,4,0,1,2,1,2,0,3.33
40187,ANTH,180,The Archaeology of Death,ONL,ONL,120245,"Shaw, Joanna G",23,5,0,1,0,0,0,0,0,1,0,0,0,0,3.89
38262,ANTH,246,Forensic Science,ONL,ONL,120245,"Reich, Arielle Y",4,26,3,1,2,0,0,0,0,0,2,1,0,0,3.67
39057,ASTR,330,Extraterrestrial Life,ONL,ONL,120245,"Dunne, Bryan C",4,14,14,5,7,0,1,1,0,0,0,0,2,0,3.45
36300,ATMS,120,Severe and Hazardous Weather,ONL,ONL,120245,"Choate, Jessica J",2,9,1,5,11,2,1,3,1,1,1,0,3,2,2.87
41540,BADM,275,Operations Management,OL,ONL,120245,"Baddam, Swathi Reddy",0,58,11,4,3,2,1,0,0,0,0,0,1,1,3.78
37386,BADM,300,The Legal Environment of Bus,OL,ONL,120245,"Warnick, Emerson T",80,17,2,2,0,0,1,0,1,0,0,0,2,0,3.87
36472,BADM,310,Mgmt and Organizational Beh,OL,ONL,120245,"Ji, Mingshuang",37,74,4,2,1,3,1,1,1,0,1,0,0,0,3.87
40660,BADM,311,Leading Individuals and Teams,OL,ONL,120245,"Luckman, Elizabeth",14,17,1,1,0,1,0,1,0,0,0,0,3,0,3.57
36473,BADM,320,Principles of Marketing,OL,ONL,120245,"Kim, Myoung Hee",12,96,10,11,7,1,2,1,1,0,0,1,0,0,3.79
36474,BADM,350,IT for Networked Organizations,OL,ONL,120245,"Sachdev, Vishal",0,20,4,0,0,1,0,1,0,0,0,0,1,0,3.68
