CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Standard Deviation,% 4.0's
10003,ADV,312,Advertising History,A,ONL,120160,"Chambers, Jason P",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10005,ASTR,100,Introduction to Astronomy,ONL,ONL,120160,"Dunne, Bryan C",4,19,2,6,4,5,0,2,2,1,1,1,1,2,3.23,2.019966996,0.479166667
10002,ATMS,120,Severe and Hazardous Weather,ONL,ONL,120160,"Snodgrass, Eric R",210,98,0,12,10,5,0,2,0,1,0,1,2,0,3.87,2.927245577,0.903225806
10013,BADM,300,The Legal Environment of Bus,A,ONL,120160,"Marrs, Gregory A",12,40,14,13,11,2,2,2,0,1,1,0,2,2,3.52,2.355650846,0.52
10014,BADM,310,Mgmt and Organizational Beh,A,ONL,120160,"Shabbir, Muhammad S",0,73,10,4,1,0,2,1,1,2,1,0,1,0,3.72,2.257706801,0.760416667
10015,BADM,350,IT for Networked Organizations,A,ONL,120160,"Sachdev, Vishal",1,23,5,2,3,1,1,1,0,0,1,0,0,0,3.63,1.371382109,0.631578947
10016,BADM,375,Business Process Management,A,ONL,120160,"Chhajed, Dilip",2,13,3,3,2,0,0,1,0,0,0,0,0,0,3.71,0.974542628,0.625
10017,BADM,380,International Business,A,ONL,120160,"Bucheli, Marcelo",1,4,9,10,7,2,2,0,0,0,0,0,0,0,3.35,1.010480791,0.142857143
10022,CHLH,101,Introduction to Public Health,OL,ONL,120160,"Kaplan, Justine",15,34,29,16,9,4,3,2,0,0,0,0,0,1,3.61,1.81035908,0.4375
10023,ECON,102,Microeconomic Principles,ON2,ONL,120160,"Sarmiento Barbi, Ignacio",15,39,5,3,7,0,0,1,1,0,3,0,1,1,3.63,2.376540436,0.72
10019,ECON,102,Microeconomic Principles,ONL,ONL,120160,"Sarmiento Barbi, Ignacio",13,39,3,3,4,1,1,1,1,0,1,0,1,1,3.69,1.857143457,0.764705882
10020,ECON,103,Macroeconomic Principles,ONL,ONL,120160,"Petry, Joseph A",4,8,5,4,12,3,4,2,2,5,3,1,4,2,2.64,2.524635541,0.210526316
10021,ECON,203,Economic Statistics II,ONL,ONL,120160,"Petry, Joseph A",1,6,10,7,9,8,5,8,2,8,0,1,2,1,2.67,2.346421034,0.104477612
10004,GEOG,210,Contemp Social & Env Problems,ONL,ONL,120160,"Burga Cahuana, Carol M",9,8,4,0,0,3,1,1,0,0,0,1,2,0,3.3,2.271563338,0.586206897
10006,GEOL,100,Planet Earth,A,ONL,120160,"Tomkin, Jonathan H",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10007,GEOL,118,Natural Disasters,A,ONL,120160,"Altaner, Stephen P",9,6,5,3,2,2,0,0,0,0,0,0,1,0,3.56,1.602890247,0.535714286
10011,MACS,356,Sex & Gender in Popular Media,A,ONL,120160,"Cole, Cheryl L",0,23,0,1,6,0,0,1,0,0,0,0,0,1,3.72,1.418485107,0.741935484
10018,SOC,100,Introduction to Sociology,ONL,ONL,120160,"Steward, Daniel J",0,70,10,8,8,5,1,4,3,0,2,2,0,0,3.53,2.675998879,0.619469027
