Subject,Course,CRN,Course Title,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
ACE,240,10035,Personal Financial Planning,ONL,9,12,6,6,6,0,2,3,1,0,0,0,0,0,3.47,"Stoddard, Paul B"
ART,100,10045,Understanding Visual Culture,ONL,4,8,3,5,4,2,2,1,0,0,1,0,1,0,3.25,"Burns, Jennifer"
ASTR,330,10064,Extraterrestrial Life,ONL,3,12,1,1,2,2,0,0,0,0,0,0,0,0,3.73,"Looney, Leslie W"
ATMS,120,10002,Severe and Hazardous Weather,ONL,7,38,14,9,22,4,2,4,1,0,0,1,0,1,3.46,"Snodgrass, Eric R"
BADM,300,10013,The Legal Environment of Bus,ONL,8,22,15,6,8,1,0,4,2,0,0,0,0,1,3.53,"Fricke, Michael R"
BADM,310,10014,Mgmt and Organizational Beh,ONL,0,64,6,1,2,0,1,1,1,0,0,0,2,0,3.76,"Gill, Shahbaz"
BADM,320,10056,Principles of Marketing,ONL,0,45,2,3,2,1,1,0,0,0,1,0,4,0,3.55,"Gill, Shahbaz"
BADM,350,10015,IT for Networked Organizations,ONL,1,17,5,3,1,0,0,2,0,0,0,0,0,0,3.7,"Sachdev, Vishal"
BADM,380,10017,International Business,ONL,2,9,1,5,2,0,2,1,1,0,0,1,0,0,3.31,"Bucheli, Marcelo"
CHLH,100,10028,Contemporary Health,ONL,4,12,7,1,4,1,1,0,2,0,0,0,2,1,3.33,"Trask, Jeffrey T"
CS,199,10030,Elements of Game Design,ONL,20,4,2,0,1,0,0,1,0,0,1,0,1,0,3.64,"Shaffer, Eric G"
DANC,100,10027,Intro to Contemporary Dance,ONL,49,16,6,2,2,1,1,0,0,0,0,0,0,0,3.89,"Ferrell, Rebecca"
ECON,102,10019,Microeconomic Principles,ONL,55,39,17,2,3,3,0,1,1,1,0,0,10,0,3.54,"Vazquez, Jose J"
ECON,103,10020,Macroeconomic Principles,ONL,6,18,10,8,13,3,5,4,2,0,1,1,0,0,3.25,"McDermott, Eric M"
ECON,203,10021,Economic Statistics II,ONL,4,6,1,4,4,4,6,0,1,0,1,0,3,0,2.83,"Petry, Joseph A"
ECON,302,10026,Inter Microeconomic Theory,ONL,10,10,9,5,3,7,1,6,2,3,4,1,7,3,2.7,"Buckley, Bryan D"
ECON,303,10052,Inter Macroeconomic Theory,ONL,10,7,3,2,8,2,2,3,0,0,0,0,0,0,3.4,"Petry, Joseph A"
MUS,130,10031,Introd to the Art of Music,ONL,34,7,1,0,0,0,0,0,0,0,0,0,1,0,3.9,"Magee, Gayle S"
PS,224,10029,Politics of the National Parks,ONL,6,13,7,1,1,1,0,0,0,0,0,0,0,0,3.82,"Uhall, Michael B"
PSYC,100,10034,Intro Psych,ONL,0,8,2,12,15,3,5,3,1,0,1,1,6,1,2.69,"Shenouda, Christine K"
PSYC,204,10060,Intro to Brain and Cognition,ONL,5,5,2,2,2,3,1,0,1,0,0,0,0,0,3.43,"Dolcos, Sanda M"
RST,100,10041,RST in Modern Society,ONL,10,17,6,2,6,0,2,0,0,0,1,1,0,0,3.58,"Shinew, Kimberly J"
SOC,100,10018,Introduction to Sociology,ONL,0,55,5,4,11,0,6,4,0,0,5,0,2,0,3.39,"Steward, Daniel J"
SPAN,142,10040,Spanish in the Professions,ONL,7,5,3,2,1,2,0,0,0,0,2,0,1,0,3.3,"Henshaw, Florencia G"
