Subject,Course,CRN,Course Title,Course Section,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
ACE,240,10035,Personal Financial Planning,ONL,ONL,0,6,4,3,5,3,2,1,0,0,0,0,1,1,3.13,"Stoddard, Paul B"
ART,205,10091,Experience & Meaning in Design,NT,ONL,6,8,4,0,1,2,0,0,0,1,0,0,1,0,3.49,"Thomas, Nekita S"
ASTR,100,10005,Introduction to Astronomy,ONL,ONL,2,9,2,4,2,1,0,2,0,0,0,0,3,0,3.09,"Dunne, Bryan C"
ASTR,330,10064,Extraterrestrial Life,ONL,ONL,6,29,7,4,2,1,2,1,2,0,0,0,1,0,3.59,"Looney, Leslie W"
ATMS,120,10002,Severe and Hazardous Weather,ONL,ONL,3,21,2,2,6,5,2,5,1,0,1,0,3,0,3.11,"Choate, Jessica J"
BADM,300,10013,The Legal Environment of Bus,OL,ONL,139,26,4,4,2,1,0,0,0,0,0,0,0,0,3.96,"Wright, Margaret"
BADM,310,10014,Mgmt and Organizational Beh,OL,ONL,42,67,8,7,3,0,0,0,0,0,0,0,1,0,3.89,"White, Judith B"
BADM,320,10056,Principles of Marketing,OL,ONL,0,75,1,0,3,1,0,0,0,1,0,0,1,0,3.86,"Gill, Shahbaz"
BADM,350,10015,IT for Networked Organizations,OL,ONL,5,7,3,3,4,1,0,1,1,0,0,1,1,0,3.26,"Basu, Saunak"
BADM,380,10017,International Business,OL,ONL,10,32,11,6,8,0,1,0,0,0,0,0,0,0,3.75,"Bucheli, Marcelo"
CHLH,101,10022,Introduction to Public Health,ONL,ONL,0,14,0,0,7,0,0,5,0,0,0,0,1,0,3.22,"Woodson, Markisha J"
CLCV,115,10083,Mythology of Greece and Rome,A,ONL,0,22,0,0,4,0,0,0,0,0,0,0,0,0,3.85,"Scheele, Genevieve V"
CMN,210,10085,Public Comm in Everyday Life,A,ONL,0,14,2,3,2,1,2,2,0,0,0,0,3,0,3.13,"O'Gorman, Thomas E"
DANC,100,10027,Intro to Contemporary Dance,OL1,ONL,16,10,8,0,0,2,0,2,0,1,1,0,0,0,3.63,"Beck, Kenneth D"
DANC,100,10068,Intro to Contemporary Dance,OL2,ONL,15,13,3,5,3,0,0,0,0,0,0,0,2,0,3.63,"Beck, Kenneth D"
ECON,102,10019,Microeconomic Principles,ONL,ONL,37,31,11,9,13,4,1,2,0,1,1,1,0,0,3.62,"DiIanni, Isaac"
ECON,103,10020,Macroeconomic Principles,ONL,ONL,9,34,8,6,12,4,3,1,1,1,1,0,1,0,3.47,"Armendariz Buau, Ramses Y"
ECON,302,10026,Inter Microeconomic Theory,ONL,ONL,16,13,8,3,2,1,1,0,0,1,0,2,3,0,3.38,"Buckley, Bryan D"
ECON,437,10116,Game Theory,ONL,ONL,21,28,9,4,1,1,2,0,0,0,0,0,1,0,3.77,"Vazquez, Jose J"
ESE,360,10076,Environmental Writing,A,ONL,0,6,5,5,1,1,0,0,0,0,0,1,2,1,3.11,"Tomkin, Jonathan H"
GEOG,204,10047,Cities of the World,ONL,ONL,4,5,1,3,5,1,1,0,0,0,2,0,1,0,3.12,"Melendez Bernar, Mishel M"
GLBL,100,10054,Intro to Global Studies,CF,ONL,1,13,3,2,0,0,1,1,0,0,0,0,0,1,3.71,"Schrag, David M"
MUS,132,10055,Popular Music Studies,A,ONL,130,49,17,11,9,6,3,3,0,1,2,0,3,0,3.74,"Eagen, Megan K"
MUS,133,10097,Introduction to World Music,A,ONL,108,22,3,1,0,1,0,2,0,0,0,0,2,0,3.89,"Nutting, Ian W"
PSYC,100,10034,Intro Psych,A,ONL,1,4,14,10,19,7,5,6,1,4,3,1,9,0,2.56,"Shenouda, Christine K"
PSYC,204,10060,Intro to Brain and Cognition,A,ONL,4,11,3,1,0,3,0,1,0,0,0,1,0,0,3.54,"Dolcos, Sanda M"
PSYC,216,10099,Child Psych,A,OLC,3,9,2,2,3,1,0,1,3,0,0,0,0,0,3.36,"Hyde, Daniel"
REL,110,10106,World Religions,AL1,ONL,0,27,10,7,13,6,4,5,0,0,1,0,9,0,2.97,"Layton, Richard A"
RST,100,10041,RST in Modern Society,ONL,ONL,4,7,4,0,6,1,1,0,0,1,0,0,0,0,3.46,"Shinew, Kimberly J"
SOC,101,10048,Sociology of Gender,1,OLC,14,5,3,1,1,1,0,1,1,0,2,0,2,0,3.28,"Moussawi, Ghassan"
SPAN,130,10039,Intermediate Spanish,A,ONL,9,5,3,2,2,1,1,1,1,0,0,0,0,0,3.53,"Albernaz Siquei, Caio"
SPAN,130,10102,Intermediate Spanish,B,ONL,5,6,1,2,4,1,1,0,0,3,0,1,1,0,3.04,"Henshaw, Florencia G"
SPAN,142,10040,Spanish in the Professions,A,ONL,8,7,2,1,2,0,1,2,1,1,2,1,2,0,2.96,"Henshaw, Florencia G"
