Subject,Course,CRN,Course Title,Course Section,Sched Type,Term,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
ACE,240,10035,Personal Financial Planning,ONL,ONL,120230,0,8,0,9,4,1,3,1,1,0,0,0,0,0,3.23,"Stoddard, Paul B"
ART,100,10045,Understanding Visual Culture,LH,ONL,120230,1,20,0,1,1,1,0,0,0,0,0,0,1,0,3.72,"Hetrick, Laura"
ASTR,330,10064,Extraterrestrial Life,ONL,ONL,120230,4,35,0,2,1,0,2,2,0,0,0,0,0,0,3.79,"Looney, Leslie W"
ATMS,120,10002,Severe and Hazardous Weather,ONL,ONL,120230,4,19,5,3,10,0,1,4,0,0,2,0,2,1,3.25,"Choate, Jessica J"
BADM,275,10121,Operations Management,OL,ONL,120230,14,40,4,2,3,4,2,0,0,0,0,0,0,0,3.79,"Hu, Junqi"
BADM,300,10013,The Legal Environment of Bus,OL,ONL,120230,140,16,4,6,0,2,2,0,0,0,1,0,2,0,3.87,"Wright, Margaret"
BADM,310,10014,Mgmt and Organizational Beh,OL,ONL,120230,22,91,2,3,1,0,0,0,0,0,0,0,0,0,3.97,"Ji, Mingshuang"
BADM,320,10056,Principles of Marketing,OL,ONL,120230,24,62,23,7,7,3,1,1,1,0,0,0,2,0,3.72,"Raquel, Steve A"
BADM,350,10015,IT for Networked Organizations,OL,ONL,120230,0,13,14,0,3,0,0,1,0,0,0,0,0,0,3.69,"Parthasarathy, Rangarajan"
BADM,380,10017,International Business,OL,ONL,120230,4,23,7,10,2,2,2,0,0,0,0,0,0,1,3.66,"Bucheli, Marcelo"
CLCV,115,10083,Mythology of Greece and Rome,A,ONL,120230,15,7,5,0,2,2,0,0,0,0,0,0,0,0,3.8,"Hay, Brenden"
DANC,100,10027,Intro to Contemporary Dance,OL1,ONL,120230,26,4,3,1,3,1,0,0,0,0,0,0,0,0,3.84,"Lewis, Tyesha"
DANC,100,10068,Intro to Contemporary Dance,OL2,ONL,120230,26,7,2,2,1,2,1,0,0,1,0,1,0,0,3.69,"De Jesus-Valent, Ricardo"
ECON,102,10019,Microeconomic Principles,ONL,ONL,120230,38,45,23,11,5,2,3,3,0,1,1,0,1,1,3.67,"DiIanni, Isaac"
ECON,103,10020,Macroeconomic Principles,ONL,ONL,120230,17,24,11,12,10,6,4,2,1,0,0,0,1,2,3.47,"Vazquez, Jose J"
ECON,203,10021,Economic Statistics II,ONL,ONL,120230,8,3,2,5,2,2,1,0,2,0,0,0,0,1,3.4,"Armendariz Buau, Ramses Y"
ESE,360,10076,Environmental Writing,A,ONL,120230,0,7,4,3,2,0,0,2,1,0,1,1,3,0,2.75,"Tomkin, Jonathan H"
GLBL,100,10054,Intro to Global Studies,CF,ONL,120230,2,14,2,2,0,0,0,0,0,0,0,0,1,0,3.71,"Schrag, David M"
IS,445,10120,Data Visualization,OAU,ONL,120230,28,3,3,2,3,2,1,0,0,0,0,0,0,0,3.77,"Besser, Stephanie A"
MACS,356,10011,Sex & Gender in Popular Media,A,ONL,120230,0,27,0,0,6,0,0,0,0,0,0,0,4,0,3.41,"Robinson, Jessica L"
MUS,132,10055,Popular Music Studies,A,ONL,120230,144,43,15,9,5,3,2,4,0,0,2,0,10,0,3.67,"Eagen-Jones, Megan K"
MUS,133,10097,Introduction to World Music,A,ONL,120230,124,12,0,0,0,0,0,1,0,0,2,0,1,0,3.91,"Silvers, Michael B"
PSYC,100,10034,Intro Psych,A,ONL,120230,1,12,5,10,20,2,5,5,2,4,3,0,7,5,2.66,"Shenouda, Christine K"
PSYC,204,10060,Intro to Brain and Cognition,A,ONL,120230,6,7,9,5,2,1,1,1,2,0,0,1,0,0,3.39,"Dolcos, Sanda M"
PSYC,216,10099,Child Psych,A,OLC,120230,1,9,5,4,5,1,1,0,0,1,0,0,1,0,3.32,"Hyde, Daniel"
PSYC,230,10061,Perception & Sensory Processes,A,ONL,120230,19,8,1,0,0,0,0,0,1,0,0,0,1,0,3.78,"Lleras Buetti, Simona"
REHB,330,10087,Disability in American Society,LR1,ONL,120230,5,6,3,4,4,4,2,3,0,0,0,0,0,0,3.28,"Rice, Laura A"
REL,110,10106,World Religions,AL1,ONL,120230,0,52,17,3,9,1,0,5,0,0,2,0,4,1,3.46,"Layton, Richard A"
RST,100,10041,RST in Modern Society,ONL,ONL,120230,0,26,0,0,2,0,0,1,0,0,0,0,1,0,3.73,"Simms, James A"
SOC,310,10126,Sociology of Deviance,JA,ONL,120230,12,7,1,3,1,0,3,1,0,0,1,0,1,0,3.42,"Atiles Osoria, Jose M"
SPAN,130,10039,Intermediate Spanish,A,ONL,120230,8,7,1,1,2,3,1,0,1,0,0,0,0,0,3.54,"Abbott, Annie R"
SPAN,130,10102,Intermediate Spanish,B,ONL,120230,3,3,2,3,3,2,0,1,1,1,1,0,2,0,2.8,"Hughes, Brady A"
SPAN,142,10040,Spanish in the Professions,A,ONL,120230,6,7,3,1,2,1,1,1,0,1,0,1,0,0,3.39,"Krushnowski, Jude P"
