Year,Term,YearTerm,Subject,Number,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor
2017,Fall,2017-fa,AAS,100,Intro Asian American Studies,2,17,0,6,5,0,1,0,0,0,1,0,0,0,"Espiritu, Augusto F"
2017,Fall,2017-fa,AAS,100,Intro Asian American Studies,1,5,6,1,3,4,0,1,1,0,2,1,3,0,"Paik, Angela N"
2017,Fall,2017-fa,AAS,100,Intro Asian American Studies,10,7,2,2,2,1,0,1,0,0,0,0,1,0,"Sharif, Lila A"
2017,Fall,2017-fa,AAS,100,Intro Asian American Studies,5,14,1,3,3,1,2,2,0,0,0,1,2,0,"Lee, Alexander J"
2017,Fall,2017-fa,AAS,100,Intro Asian American Studies,5,11,6,3,3,0,0,2,2,0,0,0,1,0,"Lee, Alexander J"
2017,Fall,2017-fa,AAS,100,Intro Asian American Studies,7,5,6,4,3,2,4,2,1,1,0,0,0,0,"Kang, Yoonjung"
2017,Fall,2017-fa,AAS,100,Intro Asian American Studies,7,5,2,1,4,1,1,3,1,1,0,3,3,0,"Kang, Yoonjung"
2017,Fall,2017-fa,AAS,100,Intro Asian American Studies,9,9,1,2,1,1,0,1,0,0,0,1,0,0,"Chung, Ga Young"
2017,Fall,2017-fa,AAS,100,Intro Asian American Studies,4,8,6,4,3,0,1,0,0,0,0,0,0,0,"Chung, Ga Young"
2017,Fall,2017-fa,ABE,100,Intro Agric & Biological Engrg,0,37,0,0,4,0,0,1,0,0,0,0,1,0,"Green, Angela R"
2017,Fall,2017-fa,ABE,223,ABE Principles: Machine Syst,0,24,9,3,5,3,3,1,0,0,0,1,0,0,"Grift, Tony E"
2017,Fall,2017-fa,ABE,224,ABE Principles: Soil & Water,1,23,9,6,4,0,0,0,0,0,0,0,1,0,"Bhattarai, Rabin"
2017,Fall,2017-fa,ABE,341,Transport Processes in ABE,0,12,7,2,6,2,1,0,0,0,0,0,0,0,"Rausch, Kent D"
2017,Fall,2017-fa,ABE,430,Project Management,0,105,7,9,6,0,0,0,0,1,1,0,0,0,"Davidson, Paul C"
2017,Fall,2017-fa,ABE,436,Renewable Energy Systems,1,6,4,5,7,4,1,1,0,0,0,0,0,0,"Wang, Xinlei"
2017,Fall,2017-fa,ABE,466,Engineering Off-Road Vehicles,1,3,9,3,5,4,1,0,0,0,0,0,1,0,"Hansen, Alan C"
2017,Fall,2017-fa,ABE,488,Bioprocessing Biomass for Fuel,2,6,6,5,0,1,0,1,0,0,0,0,0,0,"Singh, Vijay"
2017,Fall,2017-fa,ABE,498,Intro to Field Robotics,3,9,2,3,5,1,0,0,0,0,0,0,0,0,"Chowdhary, Girish"
2017,Fall,2017-fa,ACCY,200,Fundamentals of Accounting,7,82,39,23,36,23,16,10,5,2,1,2,1,0,"Silhan, Peter A"
2017,Fall,2017-fa,ACCY,201,Accounting and Accountancy I,4,4,6,2,3,3,5,2,2,0,0,0,1,0,"Arends, Alyssa M"
2017,Fall,2017-fa,ACCY,201,Accounting and Accountancy I,1,5,4,4,4,3,1,0,2,0,3,0,4,0,"Arends, Alyssa M"
2017,Fall,2017-fa,ACCY,201,Accounting and Accountancy I,0,2,3,0,2,6,2,1,3,0,2,0,2,0,"Hennessy, Thomas J"
2017,Fall,2017-fa,ACCY,201,Accounting and Accountancy I,3,4,5,3,2,1,3,1,1,0,0,0,2,1,"Kiesewetter, Nathalie A"
2017,Fall,2017-fa,ACCY,201,Accounting and Accountancy I,1,3,3,5,0,3,0,1,6,0,2,0,1,0,"Leman, Grant W"
2017,Fall,2017-fa,ACCY,201,Accounting and Accountancy I,3,7,4,3,2,6,2,1,1,0,0,0,2,1,"Kiesewetter, Nathalie A"
2017,Fall,2017-fa,ACCY,201,Accounting and Accountancy I,2,6,7,2,2,5,3,1,1,0,2,0,1,0,"Leman, Grant W"
2017,Fall,2017-fa,ACCY,201,Accounting and Accountancy I,3,5,1,2,3,6,0,2,2,0,1,0,5,0,"Christiansen, Ryan S"
2017,Fall,2017-fa,ACCY,201,Accounting and Accountancy I,1,3,4,4,3,4,4,1,3,0,1,0,0,2,"Ye, Yina"
2017,Fall,2017-fa,ACCY,201,Accounting and Accountancy I,2,6,6,4,4,4,2,2,2,0,1,0,0,0,"Mammen, Gilbert G"
2017,Fall,2017-fa,ACCY,201,Accounting and Accountancy I,1,3,5,3,3,6,1,6,2,0,5,0,1,0,"Sylvestri, Ross J"
2017,Fall,2017-fa,ACCY,201,Accounting and Accountancy I,0,6,2,1,1,6,1,2,4,0,2,0,2,0,"Christiansen, Ryan S"
2017,Fall,2017-fa,ACCY,201,Accounting and Accountancy I,2,4,5,4,4,2,4,2,0,0,1,0,2,0,"Mammen, Gilbert G"
2017,Fall,2017-fa,ACCY,201,Accounting and Accountancy I,1,5,5,1,2,1,4,1,5,0,5,0,1,1,"McDermott, John P"
2017,Fall,2017-fa,ACCY,201,Accounting and Accountancy I,6,3,2,0,3,4,1,1,1,0,2,0,5,2,"Ye, Yina"
