Season,Date,Location,Opponent,Result,IlliniScore,OpponentScore,Note
2019,8/31/2019,vs.,Akron,W,42,3,
2019,9/7/2019,@,UConn,W,31,23,
2019,9/14/2019,vs.,Eastern Michigan,L,31,34,
2019,9/21/2019,vs.,Nebraska,L,38,42,
2019,10/5/2019,@,Minnesota,L,17,40,
2019,10/12/2019,vs.,Michigan,L,25,42,
2019,10/19/2019,vs.,Wisconsin,W,24,23,Homecoming
2019,10/26/2019,@,Purdue,W,24,6,
2019,11/2/2019,vs.,Rutgers,W,38,10,
2019,11/9/2019,@,Michigan State,W,37,34,
2019,11/23/2019,@,Iowa,L,10,19,
2019,11/30/2019,vs.,Northwestern,L,10,29,
2019,12/30/2019,"Santa Clara, CA",California,L,20,35,Red Box Bowl
2018,9/1/2018,vs.,Kent State,W,31,24,
2018,9/8/2018,vs.,Western Illinois,W,34,14,
2018,9/15/2018,"Chicago, IL",South Florida,L,19,25,
2018,9/21/2018,vs.,Penn State,L,24,63,
2018,10/6/2018,@,Rutgers,W,38,17,
2018,10/13/2018,vs.,Purdue,L,7,46,Homecoming
2018,10/20/2018,@,Wisconsin,L,20,49,
2018,10/27/2018,@,Maryland,L,33,63,
2018,11/3/2018,vs.,Minnesota,W,55,31,
2018,11/10/2018,@,Nebraska,L,35,54,
2018,11/17/2018,vs.,Iowa,L,0,63,
2018,11/24/2018,@,Northwestern,L,16,24,
2017,9/2/2017,vs.,Ball State,W,24,21,
2017,9/9/2017,vs.,Western Kentucky,W,20,7,
2017,9/15/2017,@,South Florida,L,23,47,
2017,9/29/2017,vs.,Nebraska,L,6,28,
2017,10/7/2017,@,Iowa,L,16,45,
2017,10/14/2017,vs.,Rutgers,L,24,35,
2017,10/21/2017,@,Minnesota,L,17,24,
2017,10/28/2017,vs.,Wisconsin,L,10,24,Homecoming
2017,11/4/2017,@,Purdue,L,10,29,
2017,11/11/2017,vs.,Indiana,L,14,24,
2017,11/18/2017,@,Ohio State,L,14,52,
2017,11/25/2017,vs.,Northwestern,L,7,42,
2016,9/3/2016,vs.,Murray State,W,52,3,
2016,9/10/2016,vs.,North Carolina,L,23,48,
2016,9/17/2016,vs.,Western Michigan,L,10,34,
2016,10/1/2016,@,Nebraska,L,16,31,
2016,10/8/2016,vs.,Purdue,L,31,34,
2016,10/15/2016,@,Rutgers,W,24,7,
2016,10/22/2016,@,Michigan,L,8,41,
2016,10/29/2016,vs.,Minnesota,L,17,40,Homecoming
2016,11/5/2016,vs.,Michigan State,W,31,27,
2016,11/12/2016,@,Wisconsin,L,3,48,
2016,11/19/2016,vs.,Iowa,L,0,28,
2016,11/26/2016,@,Northwestern,L,21,42,
2015,9/5/2015,vs.,Kent State,W,52,3,
2015,9/12/2015,vs.,Western Illinois,W,44,0,
2015,9/19/2015,@,North Carolina,L,14,48,
2015,9/26/2015,vs.,Middle Tennessee State,W,27,25,
2015,10/3/2015,vs.,Nebraska,W,14,13,
2015,10/10/2015,@,Iowa,L,20,29,
2015,10/24/2015,vs.,Wisconsin,L,13,24,Homecoming
2015,10/31/2015,@,Penn State,L,0,39,
2015,11/7/2015,@,Purdue,W,48,14,
2015,11/14/2015,vs.,Ohio State,L,3,28,
2015,11/21/2015,@,Minnesota,L,23,32,
2015,11/28/2015,"Chicago, IL",Northwestern,L,14,24,
2014,8/30/2014,vs.,Youngstown State,W,28,17,
2014,9/6/2014,vs.,Western Kentucky,W,42,34,
2014,9/13/2014,@,Washington,L,19,44,
2014,9/20/2014,vs.,Texas State,W,42,35,
2014,9/27/2014,@,Nebraska,L,14,45,
2014,10/4/2014,vs.,Purdue,L,27,38,
2014,10/11/2014,@,Wisconsin,L,28,38,
2014,10/25/2014,vs.,Minnesota,W,28,24,Homecoming
2014,11/1/2014,@,Ohio State,L,14,55,
2014,11/15/2014,vs.,Iowa,L,14,30,
2014,11/22/2014,vs.,Penn State,W,16,14,
2014,11/29/2014,@,Northwestern,W,47,33,
2014,12/26/2014,"Dallas, TX",Louisiana Tech,L,18,35,Heart of Dallas Bowl
2013,8/31/2013,vs.,Southern Illinois,W,42,34,
2013,9/7/2013,vs.,Cincinnati,W,45,17,
2013,9/14/2013,"Chicago, IL",Washington,L,24,34,
2013,9/28/2013,vs.,Miami,W,50,14,
2013,10/5/2013,@,Nebraska,L,19,39,
2013,10/19/2013,vs.,Wisconsin,L,32,56,
2013,10/26/2013,vs.,Michigan State,L,3,42,Homecoming
2013,11/2/2013,@,Penn State,L,17,24,
2013,11/9/2013,@,Indiana,L,35,52,
2013,11/16/2013,vs.,Ohio State,L,35,60,
2013,11/23/2013,@,Purdue,W,20,16,
