CourseName,PrereqName,ConcurrentAllowed,PrereqGroupNum
AAS 215,AAS 100,False,0
AAS 215,AFRO 100,False,0
AAS 215,AIS 101,False,0
AAS 215,LLS 100,False,0
AAS 464,GWS 100,False,0
AAS 464,GWS 350,False,0
AAS 464,GWS 370,False,0
AAS 479,LLS 100,False,0
ABE 225,MATH 220,False,0
ABE 225,MATH 221,False,0
ABE 225,MATH 234,False,0
ABE 226,MATH 220,False,0
ABE 226,MATH 221,False,0
ABE 226,MATH 234,False,0
ABE 341,ABE 225,False,0
ABE 341,PHYS 213,False,1
ABE 341,ABE 223,False,2
ABE 341,ABE 226,False,3
ABE 341,ABE 224,False,4
ABE 425,ECE 205,False,0
ABE 456,TAM 335,True,0
ABE 457,ABE 224,False,0
ABE 457,CEE 350,False,0
ABE 458,ABE 457,False,0
ABE 469,ME 370,True,0
ABE 469,CHBE 421,False,1
ABE 469,TAM 335,False,1
ABE 526,STAT 400,False,0
ABE 526,MATH 416,False,1
ABE 526,MATH 225,False,2
ACCY 201,ACCY 201,False,0
ACCY 201,ECON 102,False,0
ACCY 201,ECON 103,False,0
ACCY 201,ECON 102,True,1
ACCY 201,ECON 103,True,1
ACCY 202,ACCY 201,False,0
ACCY 290,ACCY 201,False,0
ACCY 290,ACCY 202,False,0
ACCY 301,ACCY 202,True,0
ACCY 301,ACCY 302,True,0
ACCY 302,BADM 210,True,0
ACCY 302,ACCY 301,True,1
ACCY 302,ACCY 202,False,2
ACCY 303,FIN 221,False,0
ACCY 303,ACCY 301,False,1
ACCY 304,ACCY 302,False,0
ACCY 304,ACCY 301,False,1
ACCY 312,ACCY 202,False,0
ACCY 321,PS 101,False,0
ACCY 405,ACCY 304,False,0
ACCY 410,ACCY 303,False,0
ACCY 451,ACCY 312,False,0
ACCY 502,ACCY 501,False,0
ACCY 503,ACCY 501,True,0
ACCY 506,ACCY 501,True,0
ACCY 506,ACCY 502,True,0
ACCY 507,ACCY 505,False,0
ACCY 510,ACCY 410,False,0
ACCY 515,ACCY 405,False,0
ACCY 517,ACCY 500,False,0
ACCY 517,ACCY 410,True,1
ACCY 517,ACCY 502,False,2
ACCY 550,ACCY 451,True,0
ACCY 550,ACCY 507,True,0
ACCY 551,ACCY 451,True,0
ACCY 551,ACCY 556,True,0
ACCY 552,ACCY 451,True,0
ACCY 552,ACCY 556,True,0
ACCY 554,ACCY 451,True,0
ACCY 575,ACCY 570,False,0
ACCY 577,ACCY 576,False,0
ACCY 578,ACCY 576,False,0
ACCY 594,ACCY 592,True,0
ACE 251,ACE 100,False,0
ACE 251,ECON 102,False,0
ACE 264,MATH 124,False,0
ACE 264,ACE 262,False,1
ACE 300,ACE 100,False,0
ACE 300,ECON 102,False,0
ACE 310,ACE 100,False,0
ACE 310,ECON 102,False,0
ACE 321,PS 101,False,0
ACE 344,ACE 240,False,0
ACE 345,ACCY 201,False,0
ACE 349,ACE 240,False,0
ACE 360,ACE 161,False,0
ACE 360,CS 105,False,0
ACE 427,ACE 100,False,0
ACE 427,ECON 102,False,0
ACE 427,ACE 262,False,1
ACE 428,ACE 222,False,0
ACE 428,FIN 300,False,0
ACE 430,ACE 100,False,0
ACE 430,ECON 102,False,0
ACE 430,ACE 222,False,0
ACE 435,ACE 231,False,0
ACE 435,ACE 222,False,0
ACE 435,BADM 320,False,0
ACE 440,ACE 449,True,0
ACE 440,ACE 346,True,1
ACE 440,ACE 444,True,2
ACE 440,ACE 345,True,3
ACE 441,ACE 449,True,0
ACE 441,ACE 349,True,1
ACE 441,ACE 444,True,2
ACE 441,ACE 240,True,3
ACE 444,ACE 240,False,0
ACE 444,ACE 345,False,0
ACE 444,FIN 221,False,0
ACE 446,ACE 240,False,0
ACE 446,ACE 345,False,0
ACE 446,FIN 221,False,0
ACE 446,ACE 360,False,1
ACE 449,ACE 240,False,0
ACE 449,ACE 345,False,0
ACE 451,ACE 300,False,0
ACE 451,ECON 302,False,0
ACE 456,ACE 300,False,0
ACE 456,ECON 302,False,0
ACE 474,ACE 300,False,0
ACE 474,ECON 302,False,0
ACE 476,ACE 300,False,0
ACE 476,ECON 302,False,0
ACE 502,ECON 500,False,0
ACE 502,ACE 501,False,1
ACE 503,ECON 500,False,0
ACE 510,ECON 302,False,0
ACE 516,ECON 302,False,0
ACE 531,ACE 500,False,0
ACE 531,ECON 500,False,0
ADV 281,ADV 150,False,0
ADV 281,STAT 100,False,0
ADV 283,ADV 150,False,0
ADV 283,ADV 281,False,1
ADV 284,ADV 281,False,0
ADV 320,ADV 270,False,0
