Fall,Term Code,College,Department,Degree,Major Code,Major Name,Concentration Code,Concentration Name,Total,Male,Female,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,Academic Program Code
2018,120188,KP ,227,BS ,5163,Agricultural & Biological Engr ,  ,  ,52,30,22,0,33,6,1,3,0,0,1,7,1,1,0,0,7,37,15,10KP5163BS
2018,120188,KP ,227,BS ,5163,Agricultural & Biological Engr ,5270,Agricultural Engineering ,11,8,3,0,8,1,1,1,0,0,0,0,0,1,0,0,1,11,0,10KP5163BS
2018,120188,KP ,227,BS ,5163,Agricultural & Biological Engr ,5271,Biological Engineering ,17,10,7,0,6,2,2,0,0,0,3,4,0,2,0,0,5,10,7,10KP5163BS
2018,120188,KP ,227,MENGR ,1211,Engineering ,5370,Energy Systems ,30,23,7,0,12,1,0,0,0,0,0,17,0,0,0,0,1,9,21,10KS5370MENG
2018,120188,KP ,227,MS ,5163,Agricultural & Biological Engr ,  ,  ,25,20,5,0,10,0,0,0,0,0,0,15,0,0,0,0,0,7,18,10KS5163MS
2018,120188,KP ,227,NDEG ,67,Nondegree ,  ,  ,181,132,49,0,20,2,0,3,0,0,1,155,0,0,0,0,3,23,158,10KP0067NDEG
2018,120188,KP ,227,PHD ,5163,Agricultural & Biological Engr ,  ,  ,31,16,15,0,9,0,1,1,0,0,2,18,0,1,0,0,2,8,23,10KS5163PHD
2018,120188,KP ,227,PHD ,5163,Agricultural & Biological Engr ,5511,Computational Sci & Engr ,5,4,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,5,10KS5163PHD
2018,120188,KM ,230,MBA ,9875,Business Administration (MBA) ,  ,  ,92,61,31,0,34,7,8,4,0,0,4,35,0,9,2,0,10,42,50,10KS9875MBA
2018,120188,KM ,230,MBA ,9875,Business Administration (MBA) ,4064,MBA ,113,71,42,0,72,13,8,7,1,0,1,10,1,9,2,0,14,107,6,10KS4064MBA
2018,120188,KM ,230,MBA ,9875,Business Administration (MBA) ,5468,Corp Governance & Int Business ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10KS9875MBA
