Fall,Term Code,College,Department,Degree,Major Code,Major Name,Concentration Code,Concentration Name,Total,Male,Female,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,Academic Program Code,Legacy Advising Code,Legacy Department Code,Legacy Major Name
1981,,Business,,,,Accountancy,,,"1,433",816,617,3,"1,303",37,68,15,3,,,4,,,,,,"1,401",32,,1705,1705,ACCOUNT
1981,,Business,,,,Accountancy,,,172,109,63,,118,9,1,,1,,,43,,,,,,108,64,,1705,1705,ACCOUNT
1982,,Business,,,,Accountancy,,,"1,408",773,635,2,"1,279",30,70,21,2,,,4,,,,,,"1,382",26,,1705,1705,ACCOUNT
1982,,Business,,,,Accountancy,,,146,89,57,1,106,6,1,,1,,,31,,,,,,91,55,,1705,1705,ACCOUNT
1983,,Business,,,,Accountancy,,,"1,392",703,689,4,"1,251",37,73,20,1,,,6,,,,,,"1,361",31,,1705,1705,ACCOUNT
1983,,Business,,,,Accountancy,,,137,88,49,,100,5,2,,,,,30,,,,,,81,56,,1705,1705,ACCOUNT
2003,,Business,,,,Accountancy,,,859,447,412,18,552,141,31,36,2,,,79,,,,,,711,148,,1705,1705,ACCOUNT
2003,,Business,,,,Accountancy,,,20,12,8,3,6,3,1,,,,,7,,,,,,5,15,,1705,1705,ACCOUNT
2003,,Business,,,,Accountancy,3928,International Program,98,47,51,,4,7,,,,,,87,,,,,,3,95,,1705,1705,ACCOUNTANCY-INT
2003,,Business,,,,Accountancy,72,Accountancy (BS/Master Prg),84,41,43,,60,10,,5,,,,9,,,,,,67,17,,1705,1705,ACCOUNTANCY-MAS
2003,,Business,,,,Accountancy,193,Tax,54,22,32,,40,8,,2,,,,4,,,,,,48,6,,1705,1705,ACCOUNTANCY-TAX
2003,,Business,,,,Accountancy,73,Accountancy Postb,33,22,11,,24,2,,5,,,,2,,,,,,31,2,,1705,1705,ACCY POSTBAC
2003,,Business,,,,Accountancy,72,Accountancy (BS/Master Prg),83,39,44,1,57,19,3,1,,,,2,,,,,,77,6,,1705,1705,ACCY-BS/MASTER
1980,,Business,,,,Accountancy,,,"1,383",842,541,2,"1,268",36,62,9,3,,,3,,,,,,"1,362",21,,1705,1705,ACCOUNT
1980,,Business,,,,Accountancy,,,146,86,60,3,102,7,1,,1,,,32,,,,,,92,54,,1705,1705,ACCOUNT
1984,,Business,,,,Accountancy,,,"1,207",578,629,11,"1,068",36,62,19,2,,,9,,,,,,"1,180",27,,1705,1705,ACCOUNT
1984,,Business,,,,Accountancy,,,108,70,38,1,76,6,2,,,,,23,,,,,,65,43,,1705,1705,ACCOUNT
1985,,Business,,,,Accountancy,,,"1,082",503,579,11,965,29,53,17,,,,7,,,,,,"1,054",28,,1705,1705,ACCOUNT
1985,,Business,,,,Accountancy,,,130,83,47,5,85,11,6,,,,,23,,,,,,87,43,,1705,1705,ACCOUNT
1986,,Business,,,,Accountancy,,,942,435,507,8,820,31,58,19,,,,6,,,,,,915,27,,1705,1705,ACCOUNT
1986,,Business,,,,Accountancy,,,139,85,54,5,79,10,7,1,,,,37,,,,,,79,60,,1705,1705,ACCOUNT
1987,,Business,,,,Accountancy,,,904,430,474,4,773,48,60,15,,,,4,,,,,,870,34,,1705,1705,ACCOUNT
1987,,Business,,,,Accountancy,,,135,74,61,2,74,11,3,2,,,,43,,,,,,76,59,,1705,1705,ACCOUNT
1988,,Business,,,,Accountancy,,,"1,019",491,528,8,830,67,75,28,,,,11,,,,,,972,47,,1705,1705,ACCOUNT
1988,,Business,,,,Accountancy,,,117,63,54,,57,6,1,3,,,,50,,,,,,50,67,,1705,1705,ACCOUNT
1989,,Business,,,,Accountancy,,,976,484,492,7,760,69,85,40,1,,,14,,,,,,923,53,,1705,1705,ACCOUNT
1989,,Business,,,,Accountancy,,,109,60,49,,59,7,,2,,,,41,,,,,,52,57,,1705,1705,ACCOUNT
1990,,Business,,,,Accountancy,,,"1,087",553,534,9,799,113,106,41,1,,,18,,,,,,"1,016",71,,1705,1705,ACCOUNT
1990,,Business,,,,Accountancy,,,93,60,33,1,44,9,2,1,,,,36,,,,,,39,54,,1705,1705,ACCOUNT
1991,,Business,,,,Accountancy,,,"1,138",563,575,4,836,130,91,53,1,,,23,,,,,,"1,067",71,,1705,1705,ACCOUNT
1991,,Business,,,,Accountancy,,,115,63,52,4,58,12,2,2,,,,37,,,,,,55,60,,1705,1705,ACCOUNT
1992,,Business,,,,Accountancy,,,"1,136",573,563,9,821,140,88,52,1,,,25,,,,,,"1,069",67,,1705,1705,ACCOUNT
1992,,Business,,,,Accountancy,,,147,87,60,2,66,13,3,2,,,,61,,,,,,54,93,,1705,1705,ACCOUNT
1993,,Business,,,,Accountancy,,,"1,134",588,546,7,829,139,79,46,1,,,33,,,,,,"1,063",71,,1705,1705,ACCOUNT
1993,,Business,,,,Accountancy,,,125,80,45,2,58,10,2,2,,,,51,,,,,,46,79,,1705,1705,ACCOUNT
1994,,Business,,,,Accountancy,,,"1,041",525,516,6,765,130,58,43,1,,,38,,,,,,953,88,,1705,1705,ACCOUNT
1994,,Business,,,,Accountancy,,,109,47,62,2,45,12,3,2,,,,45,,,,,,43,66,,1705,1705,ACCOUNT
1995,,Business,,,,Accountancy,,,"1,027",525,502,5,755,138,55,41,2,,,31,,,,,,944,83,,1705,1705,ACCOUNT
1995,,Business,,,,Accountancy,,,107,56,51,1,43,14,3,,,,,46,,,,,,43,64,,1705,1705,ACCOUNT
1996,,Business,,,,Accountancy,,,977,501,476,2,711,130,59,39,1,,,35,,,,,,886,91,,1705,1705,ACCOUNT
1996,,Business,,,,Accountancy,,,116,50,66,1,34,7,4,,,,,70,,,,,,27,89,,1705,1705,ACCOUNT
1997,,Business,,,,Accountancy,,,893,456,437,2,625,116,68,45,1,,,36,,,,,,803,90,,1705,1705,ACCOUNT
1997,,Business,,,,Accountancy,,,31,18,13,,12,2,,,,,,17,,,,,,5,26,,1705,1705,ACCOUNT
1998,,Business,,,,Accountancy,,,855,430,425,2,613,112,55,37,,,,36,,,,,,776,79,,1705,1705,ACCOUNT
1998,,Business,,,,Accountancy,,,16,11,5,1,5,4,,,,,,6,,,,,,4,12,,1705,1705,ACCOUNT
1999,,Business,,,,Accountancy,,,790,399,391,3,571,104,40,36,1,,,35,,,,,,711,79,,1705,1705,ACCOUNT
1999,,Business,,,,Accountancy,,,22,13,9,,7,4,,,,,,11,,,,,,4,18,,1705,1705,ACCOUNT
2000,,Business,,,,Accountancy,,,719,347,372,5,499,101,42,34,1,,,37,,,,,,643,76,,1705,1705,ACCOUNT
2000,,Business,,,,Accountancy,,,16,10,6,,6,4,,,,,,6,,,,,,4,12,,1705,1705,ACCOUNT
2001,,Business,,,,Accountancy,,,664,313,351,6,439,97,34,41,1,,,46,,,,,,590,74,,1705,1705,ACCOUNT
2001,,Business,,,,Accountancy,,,18,11,7,2,4,2,,,,,,10,,,,,,3,15,,1705,1705,ACCOUNT
2002,,Business,,,,Accountancy,,,796,401,395,16,527,117,28,46,1,,,61,,,,,,695,101,,1705,1705,ACCOUNT
2002,,Business,,,,Accountancy,,,20,13,7,2,6,2,1,,,,,9,,,,,,3,17,,1705,1705,ACCOUNT
1997,,Business,,,,Accountancy,3928,International Program,34,18,16,1,,,,,,,,33,,,,,,0,34,,1705,1705,ACCOUNTANCY-INT
1998,,Business,,,,Accountancy,3928,International Program,54,31,23,3,,1,,1,,,,49,,,,,,2,52,,1705,1705,ACCOUNTANCY-INT
1999,,Business,,,,Accountancy,3928,International Program,48,27,21,1,,1,,,,,,46,,,,,,1,47,,1705,1705,ACCOUNTANCY-INT
2000,,Business,,,,Accountancy,3928,International Program,75,45,30,2,,1,,,,,,72,,,,,,1,74,,1705,1705,ACCOUNTANCY-INT
2001,,Business,,,,Accountancy,3928,International Program,78,42,36,3,,1,,,,,,74,,,,,,1,77,,1705,1705,ACCOUNTANCY-INT
2002,,Business,,,,Accountancy,3928,International Program,85,46,39,1,2,1,,,,,,81,,,,,,2,83,,1705,1705,ACCOUNTANCY-INT
1997,,Business,,,,Accountancy,72,Accountancy (BS/Master Prg),23,15,8,,5,1,,,,,,17,,,,,,5,18,,1705,1705,ACCOUNTANCY-MAS
1998,,Business,,,,Accountancy,72,Accountancy (BS/Master Prg),19,9,10,1,7,2,,,,,,9,,,,,,6,13,,1705,1705,ACCOUNTANCY-MAS
1999,,Business,,,,Accountancy,72,Accountancy (BS/Master Prg),10,5,5,1,3,2,,,,,,4,,,,,,4,6,,1705,1705,ACCOUNTANCY-MAS
2000,,Business,,,,Accountancy,72,Accountancy (BS/Master Prg),28,15,13,17,5,,,1,,,,5,,,,,,5,23,,1705,1705,ACCOUNTANCY-MAS
2001,,Business,,,,Accountancy,72,Accountancy (BS/Master Prg),117,59,58,12,87,10,1,2,,,,5,,,,,,79,38,,1705,1705,ACCOUNTANCY-MAS
2002,,Business,,,,Accountancy,72,Accountancy (BS/Master Prg),90,45,45,,65,12,1,1,,,,11,,,,,,74,16,,1705,1705,ACCOUNTANCY-MAS
1997,,Business,,,,Accountancy,193,Tax,15,4,11,,7,1,2,1,,,,4,,,,,,9,6,,1705,1705,ACCOUNTANCY-TAX
1998,,Business,,,,Accountancy,193,Tax,8,2,6,1,2,2,,,,,,3,,,,,,3,5,,1705,1705,ACCOUNTANCY-TAX
1999,,Business,,,,Accountancy,193,Tax,17,10,7,1,8,4,1,,,,,3,,,,,,8,9,,1705,1705,ACCOUNTANCY-TAX
2000,,Business,,,,Accountancy,193,Tax,9,6,3,1,6,1,,,,,,1,,,,,,5,4,,1705,1705,ACCOUNTANCY-TAX
2001,,Business,,,,Accountancy,193,Tax,28,15,13,2,19,4,,1,,,,2,,,,,,25,3,,1705,1705,ACCOUNTANCY-TAX
2002,,Business,,,,Accountancy,193,Tax,42,23,19,4,30,7,,,,,,1,,,,,,39,3,,1705,1705,ACCOUNTANCY-TAX
2001,,Business,,,,Accountancy,73,Accountancy Postb,4,1,3,,4,,,,,,,,,,,,,4,,,1705,1705,ACCY POSTBAC
2002,,Business,,,,Accountancy,73,Accountancy Postb,16,9,7,,9,4,1,1,,,,1,,,,,,14,2,,1705,1705,ACCY POSTBAC
2001,,Business,,,,Accountancy,72,Accountancy (BS/Master Prg),92,46,46,,71,16,1,2,,,,2,,,,,,83,9,,1705,1705,ACCY-BS/MASTER
2002,,Business,,,,Accountancy,72,Accountancy (BS/Master Prg),90,36,54,1,68,13,2,3,,,,3,,,,,,83,7,,1705,1705,ACCY-BS/MASTER
2000,,LAS,,,,Actuarial Science,,,3,3,,,,2,1,,,,,,,,,,,3,,,3254,3254,ACTUARIAL SCI
2001,,LAS,,,,Actuarial Science,,,14,10,4,1,1,2,1,,,,,9,,,,,,5,9,,3254,3254,ACTUARIAL SCI
2002,,LAS,,,,Actuarial Science,,,21,9,12,1,1,,,,,,,19,,,,,,2,19,,3254,3254,ACTUARIAL SCI
2003,,LAS,,,,Actuarial Science,,,19,5,14,,2,1,,,,,,16,,,,,,3,16,,3254,3254,ACTUARIAL SCI
1980,,Media,,,,Advertising,,,44,24,20,,7,,4,32,1,,,19,,,,,,0,25,,2803,2803,ADVERTIS
1980,,Media,,,,Advertising,,,196,53,143,,,1,5,187,3,,,5,,,,,,0,191,,2803,2803,ADVERTIS
1981,,Media,,,,Advertising,,,37,20,17,,27,1,2,,,,,7,,,,,,22,15,,2803,2803,ADVERTIS
1981,,Media,,,,Advertising,,,197,49,148,,192,4,,1,,,,,,,,,,193,4,,2803,2803,ADVERTIS
1982,,Media,,,,Advertising,,,42,20,22,,7,,3,30,2,,,18,,,,,,0,24,,2803,2803,ADVERTIS
1982,,Media,,,,Advertising,,,206,58,148,,,,2,202,2,,,3,,,,,,0,203,,2803,2803,ADVERTIS
1983,,Media,,,,Advertising,,,46,18,28,,34,1,2,,,,,9,,,,,,31,15,,2803,2803,ADVERTIS
1983,,Media,,,,Advertising,,,207,61,146,,196,2,8,1,,,,,,,,,,203,4,,2803,2803,ADVERTIS
1984,,Media,,,,Advertising,,,46,14,32,1,8,,1,34,2,,,15,,,,,,0,31,,2803,2803,ADVERTIS
1984,,Media,,,,Advertising,,,211,64,147,1,1,1,5,200,3,,,6,,,,,,0,205,,2803,2803,ADVERTIS
1985,,Media,,,,Advertising,,,37,18,19,,24,,1,,,,,12,,,,,,17,20,,2803,2803,ADVERTIS
1985,,Media,,,,Advertising,,,213,61,152,1,207,3,2,,,,,,,,,,,206,7,,2803,2803,ADVERTIS
1986,,Media,,,,Advertising,,,39,20,19,1,26,,,,,,,12,,,,,,20,19,,2803,2803,ADVERTIS
1986,,Media,,,,Advertising,,,217,55,162,1,208,8,,,,,,,,,,,,213,4,,2803,2803,ADVERTIS
1987,,Media,,,,Advertising,,,45,24,21,,34,,1,,1,,,9,,,,,,28,17,,2803,2803,ADVERTIS
1987,,Media,,,,Advertising,,,221,47,174,1,201,,14,,5,,,,,,,,,219,2,,2803,2803,ADVERTIS
1988,,Media,,,,Advertising,,,50,21,29,,34,,2,,,,,14,,,,,,24,26,,2803,2803,ADVERTIS
1988,,Media,,,,Advertising,,,212,46,166,,193,12,4,1,2,,,,,,,,,207,5,,2803,2803,ADVERTIS
1989,,Media,,,,Advertising,,,48,16,32,1,28,2,1,,,,,16,,,,,,21,27,,2803,2803,ADVERTIS
1989,,Media,,,,Advertising,,,214,51,163,,195,7,8,4,,,,,,,,,,207,7,,2803,2803,ADVERTIS
1990,,Media,,,,Advertising,,,40,17,23,,20,3,2,1,,,,14,,,,,,17,23,,2803,2803,ADVERTIS
1990,,Media,,,,Advertising,,,214,57,157,,182,6,19,6,1,,,,,,,,,208,6,,2803,2803,ADVERTIS
1991,,Media,,,,Advertising,,,35,15,20,,17,2,4,2,,,,10,,,,,,20,15,,2803,2803,ADVERTIS
1991,,Media,,,,Advertising,,,235,61,174,,192,5,29,7,2,,,,,,,,,230,5,,2803,2803,ADVERTIS
1992,,Media,,,,Advertising,,,38,10,28,,24,2,5,,,,,7,,,,,,25,13,,2803,2803,ADVERTIS
1992,,Media,,,,Advertising,,,199,65,134,,154,16,23,6,,,,,,,,,,190,9,,2803,2803,ADVERTIS
1993,,Media,,,,Advertising,,,28,7,21,1,13,1,2,,,,,11,,,,,,14,14,,2803,2803,ADVERTIS
1993,,Media,,,,Advertising,,,207,68,139,,152,26,23,6,,,,,,,,,,195,12,,2803,2803,ADVERTIS
1994,,Media,,,,Advertising,,,34,10,24,1,14,,2,,,,,17,,,,,,13,21,,2803,2803,ADVERTIS
