State,Year,Undergrad,Professional,Grad,Total
Alabama ,2018,16,2,21,39
Alaska ,2018,4,0,9,13
Arizona ,2018,32,8,70,110
Arkansas ,2018,5,2,12,19
California ,2018,1060,45,634,1739
Colorado ,2018,38,4,81,123
Connecticut ,2018,43,5,57,105
Delaware ,2018,7,1,7,15
District of Columbia ,2018,6,0,14,20
Florida ,2018,89,19,153,261
Georgia ,2018,87,8,88,183
Guam ,2018,1,0,0,1
Hawaii ,2018,10,0,11,21
Idaho ,2018,4,0,10,14
Illinois ,2018,24659,514,3572,28745
Indiana ,2018,58,18,116,192
Iowa ,2018,35,6,49,90
Kansas ,2018,27,1,33,61
Kentucky ,2018,24,2,24,50
Louisiana ,2018,7,2,18,27
Maine ,2018,0,0,11,11
Maryland ,2018,67,5,87,159
Massachusetts ,2018,101,14,84,199
Michigan ,2018,84,40,163,287
Minnesota ,2018,62,7,96,165
Mississippi ,2018,6,1,10,17
Missouri ,2018,102,9,108,219
Montana ,2018,1,0,5,6
Nebraska ,2018,7,2,27,36
Nevada ,2018,12,2,13,27
New Hampshire ,2018,18,0,10,28
New Jersey ,2018,304,14,141,459
New Mexico ,2018,5,0,22,27
New York ,2018,141,27,179,347
North Carolina ,2018,39,8,72,119
North Dakota ,2018,0,0,5,5
Ohio ,2018,74,28,114,216
Oklahoma ,2018,14,0,27,41
Oregon ,2018,17,0,47,64
Pennsylvania ,2018,64,16,104,184
Alabama,2017,20,2,14,36
Alaska,2017,5,0,6,11
Arizona,2017,39,7,59,105
Arkansas,2017,6,2,14,22
California,2017,1011,43,425,1479
Colorado,2017,47,5,67,119
Connecticut,2017,40,6,39,85
Delaware,2017,5,0,3,8
District of Columbia,2017,2,1,9,12
Florida,2017,89,20,101,210
Georgia,2017,89,4,56,149
Guam,2017,1,0,0,1
Hawaii,2017,9,0,10,19
Idaho,2017,5,1,14,20
Illinois,2017,24251,537,3330,28118
Indiana,2017,65,17,103,185
Iowa,2017,39,3,43,85
Kansas,2017,24,2,26,52
Kentucky,2017,30,3,24,57
Louisiana,2017,9,2,20,31
Maine,2017,3,0,12,15
Maryland,2017,62,5,69,136
Massachusetts,2017,98,14,72,184
Michigan,2017,86,41,131,258
Military,2017,6,1,3,10
Minnesota,2017,77,7,77,161
Mississippi,2017,6,0,10,16
Missouri,2017,122,10,127,259
Montana,2017,1,0,3,4
Nebraska,2017,7,1,28,36
Nevada,2017,11,3,7,21
New Hampshire,2017,16,1,10,27
New Jersey,2017,328,14,88,430
New Mexico,2017,8,0,24,32
New York,2017,176,19,154,349
North Carolina,2017,31,3,57,91
North Dakota,2017,0,1,4,5
Ohio,2017,101,22,103,226
Oklahoma,2017,17,0,13,30
Oregon,2017,17,0,41,58
Pennsylvania,2017,68,14,83,165
Puerto Rico,2017,3,3,20,26
Rhode Island,2017,6,0,6,12
South Carolina,2017,7,2,17,26
South Dakota,2017,3,1,4,8
Tennessee,2017,45,4,53,102
Texas,2017,162,18,188,368
Unknown,2017,282,59,1435,1776
Utah,2017,7,0,21,28
Vermont,2017,1,0,6,7
Virgin Islands,2017,0,0,1,1
Virginia,2017,133,7,77,217
Washington,2017,60,2,82,144
West Virginia,2017,1,3,12,16
Wisconsin,2017,66,17,87,170
Wyoming,2017,3,0,5,8
Alabama,2016,17,2,15,34
Alaska,2016,3,0,4,7
Arizona,2016,34,5,31,70
Arkansas,2016,10,1,13,24
California,2016,937,42,226,1205
Colorado,2016,52,3,33,88
Connecticut,2016,43,4,21,68
Delaware,2016,6,0,3,9
District of Columbia,2016,4,2,3,9
Florida,2016,99,26,56,181
Georgia,2016,81,3,33,117
Guam,2016,1,0,0,1
Hawaii,2016,8,0,9,17
Idaho,2016,3,1,12,16
Illinois,2016,24169,542,2458,27169
Indiana,2016,58,16,80,154
Iowa,2016,35,3,39,77
Kansas,2016,25,2,15,42
Kentucky,2016,30,3,23,56
Louisiana,2016,10,2,16,28
Maine,2016,5,0,9,14
Maryland,2016,66,7,46,119
Massachusetts,2016,105,10,45,160
Michigan,2016,81,46,101,228
Military,2016,8,0,1,9
Minnesota,2016,80,9,52,141
Mississippi,2016,5,0,6,11
